Product Class,Model Number,Annual Energy Use (kWh/yr),Adjusted Volume (ft3),Compact,energy_per_volume,code,adj_volume,annual_energy_use,regexed_model_no
3A-BI - Built-In All-Refrigerators - automatic defrost,T23IR900SP,281,13.0,No,21.615384615384617,3A-BI,13.0,281.0,T23IR900SP
3A-BI - Built-In All-Refrigerators - automatic defrost,T23IR905SP,270,13.0,No,20.76923076923077,3A-BI,13.0,270.0,T23IR905SP
3A-BI - Built-In All-Refrigerators - automatic defrost,T24IR800SP,283,13.3,No,21.278195488721803,3A-BI,13.3,283.0,T24IR800SP
3A-BI - Built-In All-Refrigerators - automatic defrost,T24IR900SP,264,13.0,No,20.307692307692307,3A-BI,13.0,264.0,T24IR900SP
3A-BI - Built-In All-Refrigerators - automatic defrost,T24IR902SP,264,13.0,No,20.307692307692307,3A-BI,13.0,264.0,T24IR902SP
3A-BI - Built-In All-Refrigerators - automatic defrost,T24IR905SP,254,13.0,No,19.53846153846154,3A-BI,13.0,254.0,T24IR905SP
15I - Compact Refrigerator-Freezer - automatic defrost bottom-mount- with an automatic icemaker,T24UC905DP,442,5.8,Yes,76.20689655172414,15I,5.8,442.0,T24UC905DP
15I - Compact Refrigerator-Freezer - automatic defrost bottom-mount- with an automatic icemaker,T24UC915DS,442,5.8,Yes,76.20689655172414,15I,5.8,442.0,T24UC915DS
15I - Compact Refrigerator-Freezer - automatic defrost bottom-mount- with an automatic icemaker,T24UC925DS,442,5.8,Yes,76.20689655172414,15I,5.8,442.0,T24UC925DS
13A - Compact All-Refrigerators - automatic defrost,T24UR900DP,274,5.0,Yes,54.8,13A,5.0,274.0,T24UR900DP
13A - Compact All-Refrigerators - automatic defrost,T24UR900LP,274,5.1,Yes,53.72549019607843,13A,5.1,274.0,T24UR900LP
13A - Compact All-Refrigerators - automatic defrost,T24UR900RP,274,5.1,Yes,53.72549019607843,13A,5.1,274.0,T24UR900RP
13A - Compact All-Refrigerators - automatic defrost,T24UR905DP,269,4.4,Yes,61.13636363636363,13A,4.4,269.0,T24UR905DP
13A - Compact All-Refrigerators - automatic defrost,T24UR905LP,274,5.2,Yes,52.69230769230769,13A,5.2,274.0,T24UR905LP
13A - Compact All-Refrigerators - automatic defrost,T24UR905RP,274,5.2,Yes,52.69230769230769,13A,5.2,274.0,T24UR905RP
13A - Compact All-Refrigerators - automatic defrost,T24UR910DS,274,5.0,Yes,54.8,13A,5.0,274.0,T24UR910DS
13A - Compact All-Refrigerators - automatic defrost,T24UR910LS,274,5.1,Yes,53.72549019607843,13A,5.1,274.0,T24UR910LS
13A - Compact All-Refrigerators - automatic defrost,T24UR910RS,274,5.1,Yes,53.72549019607843,13A,5.1,274.0,T24UR910RS
13A - Compact All-Refrigerators - automatic defrost,T24UR915DS,269,4.4,Yes,61.13636363636363,13A,4.4,269.0,T24UR915DS
5I - Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,WRFF5333P*,585,27.0,No,21.666666666666668,5I,27.0,585.0,WRFF5333P.
5I - Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,WRQA59CNKZ ,569,25.1,No,22.669322709163346,5I,25.1,569.0,WRQA59CNKZ 
3A - All-Refrigerators - automatic defrost,WRR56X18F***,293,17.8,No,16.46067415730337,3A,17.8,293.0,WRR56X18F...
7 - Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,WRS331FDD*0*,601,26.4,No,22.765151515151516,7,26.4,601.0,WRS331FDD.0.
7 - Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,WRS331SDH*0*,602,26.5,No,22.71698113207547,7,26.5,602.0,WRS331SDH.0.
7 - Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,WRS335FDD***,640,31.5,No,20.317460317460316,7,31.5,640.0,WRS335FDD...
7 - Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,WRS335SDH*0*,640,31.5,No,20.317460317460316,7,31.5,640.0,WRS335SDH.0.
7 - Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,WRS586FIE***,647,32.4,No,19.969135802469136,7,32.4,647.0,WRS586FIE...
7 - Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,WRS586FLD*,647,32.4,No,19.969135802469136,7,32.4,647.0,WRS586FLD.
7 - Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,WRS975SID***,610,31.6,No,19.30379746835443,7,31.6,610.0,WRS975SID...
3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,WRT134TFD*0*,336,17.3,No,19.421965317919074,3,17.3,336.0,WRT134TFD.0.
3I - Refrigerator-freezer - automatic defrost with op-mounted freezer with automatic icemaker without through-the-door ice,WRT134TFD*0*,420,17.3,No,24.277456647398843,3I,17.3,420.0,WRT134TFD.0.
3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,WRT138FFD*,370,22.1,No,16.7420814479638,3,22.1,370.0,WRT138FFD.
3I - Refrigerator-freezer - automatic defrost with op-mounted freezer with automatic icemaker without through-the-door ice,WRT138FFD*,454,22.1,No,20.542986425339365,3I,22.1,454.0,WRT138FFD.
3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,WRT138FZD*,370,22.1,No,16.7420814479638,3,22.1,370.0,WRT138FZD.
3I - Refrigerator-freezer - automatic defrost with op-mounted freezer with automatic icemaker without through-the-door ice,WRT138FZD*,454,22.1,No,20.542986425339365,3I,22.1,454.0,WRT138FZD.
3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,WRT148FZD*,370,22.1,No,16.7420814479638,3,22.1,370.0,WRT148FZD.
3I - Refrigerator-freezer - automatic defrost with op-mounted freezer with automatic icemaker without through-the-door ice,WRT148FZD*,455,22.1,No,20.588235294117645,3I,22.1,455.0,WRT148FZD.
