Product Class,Model Number,Annual Energy Use (kWh/yr),Adjusted Volume (ft3),Compact,energy_per_volume,code,adj_volume,annual_energy_use,regexed_model_no
11A - Compact All-Refrigerator - manual defrost,EFR176-CORAL_AMZ,206,1.6,Yes,128.75,11A,1.6,206.0,EFR176-CORAL_AMZ
11A - Compact All-Refrigerator - manual defrost,EFR177-B-BLACK,206,1.6,Yes,128.75,11A,1.6,206.0,EFR177-B-BLACK
11A - Compact All-Refrigerator - manual defrost,EFR177-B-BLUE,158,1.6,Yes,98.75,11A,1.6,158.0,EFR177-B-BLUE
11A - Compact All-Refrigerator - manual defrost,EFR177-B-BLUE,206,1.6,Yes,128.75,11A,1.6,206.0,EFR177-B-BLUE
11A - Compact All-Refrigerator - manual defrost,EFR177-B-RED,158,1.6,Yes,98.75,11A,1.6,158.0,EFR177-B-RED
11A - Compact All-Refrigerator - manual defrost,EFR177-B-RED,206,1.6,Yes,128.75,11A,1.6,206.0,EFR177-B-RED
12 - Compact Refrigerator-Freezer - partial automatic defrost,EUFM71001AS,343,8.2,Yes,41.82926829268293,12,8.2,343.0,EUFM71001AS
12 - Compact Refrigerator-Freezer - partial automatic defrost,453-6340,320,3.8,Yes,84.21052631578948,12,3.8,320.0,453-6340
12 - Compact Refrigerator-Freezer - partial automatic defrost,CR510VSE*,270,3.8,Yes,71.05263157894737,12,3.8,270.0,CR510VSE.
11A - Compact All-Refrigerator - manual defrost,DF1-07*,207,1.7,Yes,121.76470588235294,11A,1.7,207.0,DF1-07.
11A - Compact All-Refrigerator - manual defrost,DF1-11S*,220,3.2,Yes,68.75,11A,3.2,220.0,DF1-11S.
12 - Compact Refrigerator-Freezer - partial automatic defrost,263 TMF0700WH,345,8.5,Yes,40.588235294117645,12,8.5,345.0,263 TMF0700WH
12 - Compact Refrigerator-Freezer - partial automatic defrost,263 TMF0712BL,345,8.5,Yes,40.588235294117645,12,8.5,345.0,263 TMF0712BL
12 - Compact Refrigerator-Freezer - partial automatic defrost,263 TMF0724SSL,345,8.5,Yes,40.588235294117645,12,8.5,345.0,263 TMF0724SSL
13A - Compact All-Refrigerators - automatic defrost,3589-DL,219,5.1,Yes,42.94117647058824,13A,5.1,219.0,3589-DL
13A - Compact All-Refrigerators - automatic defrost,3589-DR,219,5.1,Yes,42.94117647058824,13A,5.1,219.0,3589-DR
13A - Compact All-Refrigerators - automatic defrost,RB36S,150,3.7,Yes,40.54054054054054,13A,3.7,150.0,RB36S
11A - Compact All-Refrigerator - manual defrost,EFR180,158,1.6,Yes,98.75,11A,1.6,158.0,EFR180
11A - Compact All-Refrigerator - manual defrost,EFR180,202,1.7,Yes,118.82352941176471,11A,1.7,202.0,EFR180
11A - Compact All-Refrigerator - manual defrost,EFR180-B-COM,206,1.6,Yes,128.75,11A,1.6,206.0,EFR180-B-COM
11A - Compact All-Refrigerator - manual defrost,EFR182,202,1.7,Yes,118.82352941176471,11A,1.7,202.0,EFR182
11A - Compact All-Refrigerator - manual defrost,EFR182,206,1.6,Yes,128.75,11A,1.6,206.0,EFR182
11A - Compact All-Refrigerator - manual defrost,EFR182_QVC,206,1.6,Yes,128.75,11A,1.6,206.0,EFR182_QVC
11A - Compact All-Refrigerator - manual defrost,EFR285,208,2.6,Yes,80.0,11A,2.6,208.0,EFR285
11A - Compact All-Refrigerator - manual defrost,EFR285-B,208,2.6,Yes,80.0,11A,2.6,208.0,EFR285-B
11A - Compact All-Refrigerator - manual defrost,EFR285-B-BLACK,208,2.6,Yes,80.0,11A,2.6,208.0,EFR285-B-BLACK
11A - Compact All-Refrigerator - manual defrost,EFR285-B-BLUE,208,2.6,Yes,80.0,11A,2.6,208.0,EFR285-B-BLUE
11A - Compact All-Refrigerator - manual defrost,EFR285-BLACK,208,2.6,Yes,80.0,11A,2.6,208.0,EFR285-BLACK
11A - Compact All-Refrigerator - manual defrost,EFR285-B-WHITE,208,2.6,Yes,80.0,11A,2.6,208.0,EFR285-B-WHITE
11A - Compact All-Refrigerator - manual defrost,EFR285-RED,208,2.6,Yes,80.0,11A,2.6,208.0,EFR285-RED
11A - Compact All-Refrigerator - manual defrost,EFR285-WHITE,208,2.6,Yes,80.0,11A,2.6,208.0,EFR285-WHITE
11A - Compact All-Refrigerator - manual defrost,EFR323,197,3.2,Yes,61.5625,11A,3.2,197.0,EFR323
11A - Compact All-Refrigerator - manual defrost,EFR323,206,3.0,Yes,68.66666666666667,11A,3.0,206.0,EFR323
11A - Compact All-Refrigerator - manual defrost,EFR331-B-BLACK,197,3.2,Yes,61.5625,11A,3.2,197.0,EFR331-B-BLACK
11A - Compact All-Refrigerator - manual defrost,EFR331-B-BLACK-COM,197,3.2,Yes,61.5625,11A,3.2,197.0,EFR331-B-BLACK-COM
11A - Compact All-Refrigerator - manual defrost,EFR331-BLACK-AB,197,3.2,Yes,61.5625,11A,3.2,197.0,EFR331-BLACK-AB
11A - Compact All-Refrigerator - manual defrost,EFR331-B-WHITE,197,3.2,Yes,61.5625,11A,3.2,197.0,EFR331-B-WHITE
11A - Compact All-Refrigerator - manual defrost,EFR331-B-WHITE-COM,197,3.2,Yes,61.5625,11A,3.2,197.0,EFR331-B-WHITE-COM
11A - Compact All-Refrigerator - manual defrost,EFR100,206,1.7,Yes,121.1764705882353,11A,1.7,206.0,EFR100
11A - Compact All-Refrigerator - manual defrost,EFR285-C,210,2.5,Yes,84.0,11A,2.5,210.0,EFR285-C
11A - Compact All-Refrigerator - manual defrost,EFR323,216,3.0,Yes,72.0,11A,3.0,216.0,EFR323
11A - Compact All-Refrigerator - manual defrost,EFR100-D-BLACK,200,1.6,Yes,125.0,11A,1.6,200.0,EFR100-D-BLACK
11A - Compact All-Refrigerator - manual defrost,EFR323-C,215,3.1,Yes,69.35483870967742,11A,3.1,215.0,EFR323-C
11A - Compact All-Refrigerator - manual defrost,EFR492,226,4.5,Yes,50.22222222222222,11A,4.5,226.0,EFR492
13A - Compact All-Refrigerators - automatic defrost,EFR492-B,264,4.5,Yes,58.666666666666664,13A,4.5,264.0,EFR492-B
12 - Compact Refrigerator-Freezer - partial automatic defrost,EFR341,312,3.9,Yes,80.0,12,3.9,312.0,EFR341
11A - Compact All-Refrigerator - manual defrost,EFR372-B-*****,219,3.2,Yes,68.4375,11A,3.2,219.0,EFR372-B-.....
11A - Compact All-Refrigerator - manual defrost,EFR372-*****-COM,219,3.2,Yes,68.4375,11A,3.2,219.0,EFR372-.....-COM
11A - Compact All-Refrigerator - manual defrost,EFR372-MINT,219,3.2,Yes,68.4375,11A,3.2,219.0,EFR372-MINT
11A - Compact All-Refrigerator - manual defrost,EFR376-B-BLACK-COM,197,3.2,Yes,61.5625,11A,3.2,197.0,EFR376-B-BLACK-COM
11A - Compact All-Refrigerator - manual defrost,EFR376-B-BLUE,197,3.2,Yes,61.5625,11A,3.2,197.0,EFR376-B-BLUE
11A - Compact All-Refrigerator - manual defrost,EFR376-B-BLUE-COM,197,3.2,Yes,61.5625,11A,3.2,197.0,EFR376-B-BLUE-COM
11A - Compact All-Refrigerator - manual defrost,EFR376-B-CORAL,193,3.2,Yes,60.3125,11A,3.2,193.0,EFR376-B-CORAL
11A - Compact All-Refrigerator - manual defrost,EFR376-B-PINK-COM,197,3.2,Yes,61.5625,11A,3.2,197.0,EFR376-B-PINK-COM
11A - Compact All-Refrigerator - manual defrost,EFR376-B-WHITE-COM,197,3.2,Yes,61.5625,11A,3.2,197.0,EFR376-B-WHITE-COM
11A - Compact All-Refrigerator - manual defrost,EFR376-C-BLACK,197,3.2,Yes,61.5625,11A,3.2,197.0,EFR376-C-BLACK
11A - Compact All-Refrigerator - manual defrost,EFR376-C-BLACK-COM,197,3.2,Yes,61.5625,11A,3.2,197.0,EFR376-C-BLACK-COM
11A - Compact All-Refrigerator - manual defrost,EFR376-CORAL-COM,197,3.2,Yes,61.5625,11A,3.2,197.0,EFR376-CORAL-COM
11A - Compact All-Refrigerator - manual defrost,EFR376-C-WHITE,197,3.2,Yes,61.5625,11A,3.2,197.0,EFR376-C-WHITE
11A - Compact All-Refrigerator - manual defrost,EFR376-C-WHITE-COM,197,3.2,Yes,61.5625,11A,3.2,197.0,EFR376-C-WHITE-COM
11A - Compact All-Refrigerator - manual defrost,EFR376-MOONBM-COM,197,3.2,Yes,61.5625,11A,3.2,197.0,EFR376-MOONBM-COM
11A - Compact All-Refrigerator - manual defrost,EFR492,204,4.6,Yes,44.34782608695652,11A,4.6,204.0,EFR492
11A - Compact All-Refrigerator - manual defrost,EFR492,218,4.5,Yes,48.44444444444444,11A,4.5,218.0,EFR492
