Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Annual_Energy_Use__Kilowatt_Hours_Year__d,Total_Adjusted_Volume__Cubic_Feet__d,Product_Group_Code_Description_s,energy_per_volume,source,adj_volume,annual_energy_use,regexed_model_no,exists_in_other_db
4w5ij22-04,JFC2290*,633.0,26.2,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,24.16030534351145,doe,26.2,633.0,JFC2290.,False
8w9i00-02,WZF79R20D*,610.0,34.6,(9I.) Upright freezers with automatic defrost with an automatic icemaker,17.63005780346821,doe,34.6,610.0,WZF79R20D.,False
8w9i00-01,WZF79R20D*,610.0,34.6,(9I.) Upright freezers with automatic defrost with an automatic icemaker,17.63005780346821,doe,34.6,610.0,WZF79R20D.,False
9w320,WRT112CZJ***,345.0,13.8,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,25.0,doe,13.8,345.0,WRT112CZJ...,False
9w3i20,6780*,429.0,13.8,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,31.08695652173913,doe,13.8,429.0,6780.,False
9w3i20-01,WRT112CZJ***,429.0,13.8,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,31.08695652173913,doe,13.8,429.0,WRT112CZJ...,False
9w3i20-01,6780*,429.0,13.8,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,31.08695652173913,doe,13.8,429.0,6780.,False
9w320-02,WRT112CZJ***,345.0,13.8,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,25.0,doe,13.8,345.0,WRT112CZJ...,False
9w320-02,6780*,345.0,13.8,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,25.0,doe,13.8,345.0,6780.,False
9w3i20-02,WRT112CZJ***,429.0,13.8,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,31.08695652173913,doe,13.8,429.0,WRT112CZJ...,False
9w320-03,6780*,345.0,13.8,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,25.0,doe,13.8,345.0,6780.,False
9w3i20-03,WRT112CZJ***,429.0,13.8,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,31.08695652173913,doe,13.8,429.0,WRT112CZJ...,False
9w320-04,6780*,345.0,13.8,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,25.0,doe,13.8,345.0,6780.,False
9w3i20-04,6780*,429.0,13.8,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,31.08695652173913,doe,13.8,429.0,6780.,False
9w3i20-05,WRT112CZJ***,429.0,13.8,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,31.08695652173913,doe,13.8,429.0,WRT112CZJ...,False
9w3i20-05,6780*,429.0,13.8,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,31.08695652173913,doe,13.8,429.0,6780.,False
9w730,KRSC703*****,684.0,29.4,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,23.26530612244898,doe,29.4,684.0,KRSC703.....,False
9w730,WRS973CIH***,684.0,29.4,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,23.26530612244898,doe,29.4,684.0,WRS973CIH...,False
9sif21,KSRV22FV**0*,537.0,26.4,(3I-BI.) Built-in refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,20.340909090909093,doe,26.4,537.0,KSRV22FV..0.,False
1bad51,7953*00*,474.0,29.4,(3-BI.) Built-in refrigerator-freezer - automatic defrost with top-mounted freezer without an automatic icemaker,16.122448979591837,doe,29.4,474.0,7953.00.,False
1taz81,3288*01*,378.0,20.1,(2.) Refrigerator-freezers - partial automatic defrost,18.80597014925373,doe,20.1,378.0,3288.01.,False
2tag90,3294*11*,345.0,22.2,(2.) Refrigerator-freezers - partial automatic defrost,15.54054054054054,doe,22.2,345.0,3294.11.,False
7sib23,5027*01*,537.0,26.4,(3I-BI.) Built-in refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,20.340909090909093,doe,26.4,537.0,5027.01.,False
4w9g00-11,WZF34X20D*,525.0,34.6,(9.) Upright freezers with automatic defrost without an automatic icemaker,15.173410404624278,doe,34.6,525.0,WZF34X20D.,False
HRQ215N6BVD,4103226,567.0,27.4,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,20.693430656934307,doe,27.4,567.0,4103226,False
RB17N6ASE,ABMS170E,449.0,20.4,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,22.00980392156863,doe,20.4,449.0,ABMS170E,False
RF15A4C*E,RF15A4C*E,483.0,18.8,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,25.691489361702125,doe,18.8,483.0,RF15A4C.E,False
6w3n80-29,WRT518SZKV***,400.0,20.7,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,19.32367149758454,doe,20.7,400.0,WRT518SZKV...,False
4w5ig00-10,WRFA60SFH*0*,618.0,24.5,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,25.224489795918366,doe,24.5,618.0,WRFA60SFH.0.,False
4w5ig00-10,WRF560SFY*0*,618.0,24.5,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,25.224489795918366,doe,24.5,618.0,WRF560SFY.0.,False
4w5ig00-10,MFB2055FR***,618.0,24.5,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,25.224489795918366,doe,24.5,618.0,MFB2055FR...,False
4w5ig00-10,MFB2055DR*0*,618.0,24.5,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,25.224489795918366,doe,24.5,618.0,MFB2055DR.0.,False
4w5g00-10,WRFA60SFH*0*,534.0,24.5,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,21.79591836734694,doe,24.5,534.0,WRFA60SFH.0.,False
4w5g00-10,WRF560SFY*0*,534.0,24.5,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,21.79591836734694,doe,24.5,534.0,WRF560SFY.0.,False
4w5g00-10,WRF560SFH*0*,534.0,24.5,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,21.79591836734694,doe,24.5,534.0,WRF560SFH.0.,False
4w5g00-10,MFB2055FR***,534.0,24.5,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,21.79591836734694,doe,24.5,534.0,MFB2055FR...,False
4w5g00-10,MFB2055DR*0*,534.0,24.5,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,21.79591836734694,doe,24.5,534.0,MFB2055DR.0.,False
4w3ig12-41,WRT311FZD*,520.0,25.1,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,20.717131474103585,doe,25.1,520.0,WRT311FZD.,False
4w3g12-41,WRT311FZD*,436.0,25.1,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,17.37051792828685,doe,25.1,436.0,WRT311FZD.,False
4w3n60-17,WRT106TFD*0*,387.0,19.0,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,20.36842105263158,doe,19.0,387.0,WRT106TFD.0.,False
4w3in60-17,WRT106TFD*0*,471.0,19.0,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,24.789473684210527,doe,19.0,471.0,WRT106TFD.0.,False
4w3in60-17,ART106TFD*0*,471.0,19.0,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,24.789473684210527,doe,19.0,471.0,ART106TFD.0.,False
4w3ig81-15,IK8FXNGFD*,495.0,22.0,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,22.5,doe,22.0,495.0,IK8FXNGFD.,False
9w3i20-07,6780*,429.0,13.8,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,31.08695652173913,doe,13.8,429.0,6780.,False
9w320-07,WRT112CZJ***,345.0,13.8,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,25.0,doe,13.8,345.0,WRT112CZJ...,False
4w3n40-24,WRT104TFD*0*,373.0,17.3,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,21.560693641618496,doe,17.3,373.0,WRT104TFD.0.,False
4w3n40-24,IK4TXWFD*0*,373.0,17.3,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,21.560693641618496,doe,17.3,373.0,IK4TXWFD.0.,False
4w3n40-24,ART104TFD*0*,373.0,17.3,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,21.560693641618496,doe,17.3,373.0,ART104TFD.0.,False
4w3in40-24,IK4TXWFD*0*,457.0,17.3,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,26.416184971098264,doe,17.3,457.0,IK4TXWFD.0.,False
4w3in40-24,ART104TFD*0*,457.0,17.3,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,26.416184971098264,doe,17.3,457.0,ART104TFD.0.,False
FFHT1425VW,1238128,332.0,13.9,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,23.884892086330936,doe,13.9,332.0,1238128,False
FFTR1425VW,1317917,369.0,13.9,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,26.546762589928058,doe,13.9,369.0,1317917,False
4w7z10-21,MSC21C6MD*0*,654.0,25.9,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,25.25096525096525,doe,25.9,654.0,MSC21C6MD.0.,False
4w7z10-21,MSC21C6M****,654.0,25.9,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,25.25096525096525,doe,25.9,654.0,MSC21C6M....,False
BFTF2716WHIM,FF1514SSIM**,426.0,16.1,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,26.459627329192543,doe,16.1,426.0,FF1514SSIM..,False
MDTF18SS,314197168,362.0,21.1,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,17.156398104265403,doe,21.1,362.0,314197168,False
MDTF18SSR*,317013048,362.0,21.1,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,17.156398104265403,doe,21.1,362.0,317013048,False
