Product Class,Model Number,Annual Energy Use (kWh/yr),Adjusted Volume (ft3),Compact,energy_per_volume,code,adj_volume,annual_energy_use,regexed_model_no
9I-BI - Built-In upright freezers with automatic defrost with an automatic icemaker,F 2801 Vi,493,27.7,No,17.79783393501805,9I-BI,27.7,493.0,F 2801 Vi
9I-BI - Built-In upright freezers with automatic defrost with an automatic icemaker,F 2811 SF,493,27.7,No,17.79783393501805,9I-BI,27.7,493.0,F 2811 SF
9I-BI - Built-In upright freezers with automatic defrost with an automatic icemaker,F 2811 Vi,493,27.7,No,17.79783393501805,9I-BI,27.7,493.0,F 2811 Vi
9I-BI - Built-In upright freezers with automatic defrost with an automatic icemaker,F 2812 Vi,479,27.8,No,17.230215827338128,9I-BI,27.8,479.0,F 2812 Vi
9I-BI - Built-In upright freezers with automatic defrost with an automatic icemaker,F 2901 Vi,543,34.1,No,15.92375366568915,9I-BI,34.1,543.0,F 2901 Vi
9I-BI - Built-In upright freezers with automatic defrost with an automatic icemaker,F 2911 SF,543,34.1,No,15.92375366568915,9I-BI,34.1,543.0,F 2911 SF
9I-BI - Built-In upright freezers with automatic defrost with an automatic icemaker,F 2911 Vi,543,34.1,No,15.92375366568915,9I-BI,34.1,543.0,F 2911 Vi
9I-BI - Built-In upright freezers with automatic defrost with an automatic icemaker,F 2912 Vi,528,34.2,No,15.438596491228068,9I-BI,34.2,528.0,F 2912 Vi
9I-BI - Built-In upright freezers with automatic defrost with an automatic icemaker,FNS 37492 iE,439,13.7,No,32.043795620437955,9I-BI,13.7,439.0,FNS 37492 iE
9I-BI - Built-In upright freezers with automatic defrost with an automatic icemaker,ZIF181NBR****,448,14.7,No,30.476190476190478,9I-BI,14.7,448.0,ZIF181NBR....
9I-BI - Built-In upright freezers with automatic defrost with an automatic icemaker,ZIF181NPN****,448,14.7,No,30.476190476190478,9I-BI,14.7,448.0,ZIF181NPN....
9I-BI - Built-In upright freezers with automatic defrost with an automatic icemaker,ZIF241NBR****,513,22.0,No,23.318181818181817,9I-BI,22.0,513.0,ZIF241NBR....
9I-BI - Built-In upright freezers with automatic defrost with an automatic icemaker,ZIF241NPN****,513,22.0,No,23.318181818181817,9I-BI,22.0,513.0,ZIF241NPN....
9I-BI - Built-In upright freezers with automatic defrost with an automatic icemaker,ZIF301NBR****,579,29.4,No,19.69387755102041,9I-BI,29.4,579.0,ZIF301NBR....
9I-BI - Built-In upright freezers with automatic defrost with an automatic icemaker,ZIF301NPN****,579,29.4,No,19.69387755102041,9I-BI,29.4,579.0,ZIF301NPN....
9I-BI - Built-In upright freezers with automatic defrost with an automatic icemaker,ZIF361NBR****,649,37.3,No,17.39946380697051,9I-BI,37.3,649.0,ZIF361NBR....
9I-BI - Built-In upright freezers with automatic defrost with an automatic icemaker,ZIF361NPR****,649,37.3,No,17.39946380697051,9I-BI,37.3,649.0,ZIF361NPR....
9 - Upright freezers with automatic defrost without an automatic ice maker,3730-937,394,24.3,No,16.213991769547324,9,24.3,394.0,3730-937
9 - Upright freezers with automatic defrost without an automatic ice maker,DCF035A5WDB,435,29.9,No,14.548494983277592,9,29.9,435.0,DCF035A5WDB
9 - Upright freezers with automatic defrost without an automatic ice maker,DCF050A5WDB,435,29.9,No,14.548494983277592,9,29.9,435.0,DCF050A5WDB
9 - Upright freezers with automatic defrost without an automatic ice maker,DCF070A5WDB,435,29.9,No,14.548494983277592,9,29.9,435.0,DCF070A5WDB
9 - Upright freezers with automatic defrost without an automatic ice maker,FV1405XW,396,24.6,No,16.097560975609756,9,24.6,396.0,FV1405XW
9 - Upright freezers with automatic defrost without an automatic ice maker,PFV13085MW,394,24.4,No,16.147540983606557,9,24.4,394.0,PFV13085MW
9 - Upright freezers with automatic defrost without an automatic ice maker,PFV13086MS,394,24.4,No,16.147540983606557,9,24.4,394.0,PFV13086MS
