Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Annual_Energy_Use__Kilowatt_Hours_Year__d,Total_Adjusted_Volume__Cubic_Feet__d,Product_Group_Code_Description_s,energy_per_volume,source,adj_volume,annual_energy_use,regexed_model_no,exists_in_other_db
G135D,G135D,242.0,4.5,(11A.) Compact all-refrigerators - manual defrost,53.77777777777778,doe,4.5,242.0,G135D,False
E45,E45,186.0,1.7,(11A.) Compact all-refrigerators - manual defrost,109.41176470588236,doe,1.7,186.0,E45,False
HCCFESS70,HCCFESS70**********,250.0,12.3,(18.) Compact chest freezers,20.32520325203252,doe,12.3,250.0,HCCFESS70..........,False
TA55,TA55,200.0,1.9,(11A.) Compact all-refrigerators - manual defrost,105.26315789473685,doe,1.9,200.0,TA55,False
TS50,TS50,140.0,1.8,(11A.) Compact all-refrigerators - manual defrost,77.77777777777777,doe,1.8,140.0,TS50,False
HBFR7500,"HBFR7500,HBFR727,HBFR7500-BLACK,HBFR7500-RED,HBFR7500-WHITE,HBFR725",380.0,8.8,(12.) Compact refrigerator-freezers - partial automatic defrost,43.18181818181818,doe,8.8,380.0,"HBFR7500,HBFR727,HBFR7500-BLACK,HBFR7500-RED,HBFR7500-WHITE,HBFR725",False
WMS053M6XVE,LMS053M6RVE,273.0,5.7,(11.) Compact refrigerator-freezers and refrigerators other than all-refrigerators with manual defrost,47.89473684210526,doe,5.7,273.0,LMS053M6RVE,False
BC-47/HC1(H),RC16A1GBE,246.0,1.6,(13A.) Compact all-refrigerators - automatic defrost,153.75,doe,1.6,246.0,RC16A1GBE,False
BC-47/HC1(H),RC16A1G*E,246.0,1.6,(13A.) Compact all-refrigerators - automatic defrost,153.75,doe,1.6,246.0,RC16A1G.E,False
BC-94DJ1NA1/HC1(Q),5131223,260.0,3.3,(13A.) Compact all-refrigerators - automatic defrost,78.7878787878788,doe,3.3,260.0,5131223,False
BC-73DJ1NA1/HC1(Q),LMS026M6RVE,254.0,2.5,(13A.) Compact all-refrigerators - automatic defrost,101.6,doe,2.5,254.0,LMS026M6RVE,False
BC/BD-256NA,111.1799####,218.0,15.5,(10.) Chest freezers and all other freezers except compact freezers,14.064516129032258,doe,15.5,218.0,111.1799....,False
BC/BD-256NA,1799#,218.0,15.5,(10.) Chest freezers and all other freezers except compact freezers,14.064516129032258,doe,15.5,218.0,1799.,False
BD-375NA,111.1768####,268.0,22.9,(10.) Chest freezers and all other freezers except compact freezers,11.703056768558953,doe,22.9,268.0,111.1768....,False
BD-375NA,1768#,268.0,22.9,(10.) Chest freezers and all other freezers except compact freezers,11.703056768558953,doe,22.9,268.0,1768.,False
9908#,9908#,228.0,4.4,(11A.) Compact all-refrigerators - manual defrost,51.81818181818181,doe,4.4,228.0,9908.,False
DF1-153,MCBR440S2,252.0,4.4,(11A.) Compact all-refrigerators - manual defrost,57.272727272727266,doe,4.4,252.0,MCBR440S2,False
DF1-153,MCBR440B2,252.0,4.4,(11A.) Compact all-refrigerators - manual defrost,57.272727272727266,doe,4.4,252.0,MCBR440B2,False
UL-BD142-D,POL50CF,210.0,8.6,(18.) Compact chest freezers,24.41860465116279,doe,8.6,210.0,POL50CF,False
UL-BD198-D,POL72CF,235.0,12.3,(18.) Compact chest freezers,19.10569105691057,doe,12.3,235.0,POL72CF,False
BC-73DJ1NA1/HC1(Q),5131220,254.0,2.5,(13A.) Compact all-refrigerators - automatic defrost,101.6,doe,2.5,254.0,5131220,False
BC-73DJ1NA1/HC1(Q),5131221,254.0,2.5,(13A.) Compact all-refrigerators - automatic defrost,101.6,doe,2.5,254.0,5131221,False
XOU30WDDG,XOU30BWDDGO,232.0,6.6,(13A.) Compact all-refrigerators - automatic defrost,35.151515151515156,doe,6.6,232.0,XOU30BWDDGO,False
XOU30WDDG,XOU30BWDDGS,232.0,6.6,(13A.) Compact all-refrigerators - automatic defrost,35.151515151515156,doe,6.6,232.0,XOU30BWDDGS,False
