Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Annual_Energy_Use__Kilowatt_Hours_Year__d,Total_Adjusted_Volume__Cubic_Feet__d,Product_Group_Code_Description_s,energy_per_volume
BCD-456WAEASCC,FFRBI1899-33B,460.0,20.2,(4.) Refrigerator-freezers - automatic defrost with side-mounted freezer without an automatic icemaker,22.772277227722775
BCD-456WAEASCC,FFRBI1882-33W,460.0,20.2,(4.) Refrigerator-freezers - automatic defrost with side-mounted freezer without an automatic icemaker,22.772277227722775
WTE21****D#,WTE21****D#,437.0,25.2,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,17.341269841269842
WTE21****E#,WTE21****E#,393.0,25.2,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,15.595238095238095
W*TG18***CD#,W*TG18***CD#,399.0,22.2,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,17.972972972972972
WTL18****D,WTL18****D,399.0,22.1,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,18.054298642533936
W*TG18***CE#,W*TG18***CE#,370.0,22.2,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,16.666666666666668
WTE18****E,WTE18****E,365.0,22.1,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,16.515837104072396
W*FU021A*E#,W*FU021A*E#,450.0,36.6,(9.) Upright freezers with automatic defrost without an automatic icemaker,12.295081967213115
W*FU021A*D#,W*FU021A*D#,543.0,36.6,(9.) Upright freezers with automatic defrost without an automatic icemaker,14.836065573770492
WRFS26AB**,WRFS26AB**,685.0,32.1,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,21.339563862928348
WFRSY22D2*,WFRSY22D2*,640.0,24.7,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,25.910931174089068
WRFS26D***,WRFS26D***,698.0,31.4,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,22.229299363057326
WRSR036H**E#,WRSR036H**E#,266.0,6.3,(17.) Compact upright freezers with automatic defrost,42.22222222222222
CUF208WD#*,CUF208WD#*,543.0,36.6,(9.) Upright freezers with automatic defrost without an automatic icemaker,14.836065573770492
CFRR261WD#*,CFRR261WD#*,685.0,32.1,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,21.339563862928348
CFRR255WD#*,CFRR255WD#*,698.0,31.4,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,22.229299363057326
CTMR183**#*,CTMR183**#*,370.0,22.2,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,16.666666666666668
BCD-523W,FFD18ESC250SS,442.0,22.7,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,19.47136563876652
BCD-513WI,FFD18ES250SS,512.0,21.3,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,24.037558685446008
BCD-606WAEASCC,GRD 637FFI-SBS,500.0,26.3,(4.) Refrigerator-freezers - automatic defrost with side-mounted freezer without an automatic icemaker,19.011406844106464
BCD-606WI,VSBS2001ES,560.0,25.0,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,22.4
