Brand_Name_s__s,Product_Group_Code_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Total_Adjusted_Volume__Cubic_Feet__d,Annual_Energy_Use__Kilowatt_Hours_Year__d,Total_Refrigerated_Volume__ft3__d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s,Link_to_FTC_EnergyGuide_Label_s,individual_model_number_modified
KITCHENAID,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,4w5ij91-06,KRBX109E****,23.0,553.0,18.7,No,No,https://www.whirlpool.com/services/manuals.html,KRBX109E....
IKEA,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,4w5ij91-06,IX3HHGXSS*,23.0,553.0,18.7,No,No,https://www.whirlpool.com/services/manuals.html,IX3HHGXSS.
KITCHENAID,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,4w5j20-02,KRBL102ESS**,27.0,500.0,22.1,No,No,https://www.whirlpool.com/services/manuals.html,KRBL102ESS..
KITCHENAID,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,4w5ij20-02,KRBR102ESS**,27.0,584.0,22.1,No,No,https://www.whirlpool.com/services/manuals.html,KRBR102ESS..
KITCHENAID,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,4w5ij20-02,KRBL102ESS**,27.0,584.0,22.1,No,No,https://www.whirlpool.com/services/manuals.html,KRBL102ESS..
KITCHENAID,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,4w5iz21-06,KRFF302E****,27.0,585.0,22.1,No,No,https://www.whirlpool.com/services/manuals.html,KRFF302E....
KITCHENAID,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,4w5iz21-05,KRFF302E****,27.0,585.0,22.1,No,No,https://www.whirlpool.com/services/manuals.html,KRFF302E....
KITCHENAID,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,4w5iz21-04,KRFF302E****,27.0,585.0,22.1,No,No,https://www.whirlpool.com/services/manuals.html,KRFF302E....
KITCHENAID,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,4w5iz21-03,KRFF302E****,27.0,585.0,22.1,No,No,https://www.whirlpool.com/services/manuals.html,KRFF302E....
WHIRLPOOL,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,4w5iz20-05,WRF532SMB*,27.0,585.0,22.1,No,No,https://www.whirlpool.com/services/manuals.html,WRF532SMB.
MAYTAG,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,4w5iz20-05,MFF2258FE*,27.0,585.0,22.1,No,No,https://www.whirlpool.com/services/manuals.html,MFF2258FE.
MAYTAG,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,4w5iz20-03,MFF2258FE*,27.0,585.0,22.1,No,No,https://www.whirlpool.com/services/manuals.html,MFF2258FE.
MAYTAG,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,4w5iz00-17,MFC2062FE***,24.3,563.0,20.0,No,No,https://www.whirlpool.com/services/manuals.html,MFC2062FE...
JENN-AIR,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,4w5iz00-17,JFC2089BE*,24.3,563.0,20.0,No,No,https://www.whirlpool.com/services/manuals.html,JFC2089BE.
KITCHENAID,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,4w5iz00-16,KRFC300E****,24.3,563.0,20.0,No,No,https://www.whirlpool.com/services/manuals.html,KRFC300E....
JENN-AIR,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,4w5iz00-16,JFC2089BE*,24.3,563.0,20.0,No,No,https://www.whirlpool.com/services/manuals.html,JFC2089BE.
WHIRLPOOL,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,4w5iz00-15,WRF540CWB*,24.3,563.0,20.0,No,No,https://www.whirlpool.com/services/manuals.html,WRF540CWB.
KITCHENAID,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,4w5iz00-15,KRFC300E****,24.3,563.0,20.0,No,No,https://www.whirlpool.com/services/manuals.html,KRFC300E....
JENN-AIR,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,4w5iz00-15,JFC2089BE*,24.3,563.0,20.0,No,No,https://www.whirlpool.com/services/manuals.html,JFC2089BE.
MAYTAG,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,4w5iz00-14,MFC2062FE***,24.3,563.0,20.0,No,No,https://www.whirlpool.com/services/manuals.html,MFC2062FE...
MAYTAG,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,4w5iz00-13,MFC2062FE***,24.3,563.0,20.0,No,No,https://www.whirlpool.com/services/manuals.html,MFC2062FE...
WHIRLPOOL,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,4w5iz00-12,WRF540CWB*,24.3,563.0,20.0,No,No,https://www.whirlpool.com/services/manuals.html,WRF540CWB.
KITCHENAID,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,4w5iz00-12,KRFC300E****,24.3,563.0,20.0,No,No,https://www.whirlpool.com/services/manuals.html,KRFC300E....
JENN-AIR,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,4w5iz00-11,JFC2089BE*,24.3,563.0,20.0,No,No,https://www.whirlpool.com/services/manuals.html,JFC2089BE.
JENN-AIR,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,4w5iz00-10,JFC2089BE*,24.3,563.0,20.0,No,No,https://www.whirlpool.com/services/manuals.html,JFC2089BE.
KITCHENAID,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,4w5iz00-09,KRFC300E****,24.3,563.0,20.0,No,No,https://www.whirlpool.com/services/manuals.html,KRFC300E....
WHIRLPOOL,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,4w5iz00-08,WRF540CWB*,24.3,563.0,20.0,No,No,https://www.whirlpool.com/services/manuals.html,WRF540CWB.
MAYTAG,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,4w5iz00-08,MFC2062FE***,24.3,563.0,20.0,No,No,https://www.whirlpool.com/services/manuals.html,MFC2062FE...
KITCHENAID,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,4w5iz00-08,KRFC300E****,24.3,563.0,20.0,No,No,https://www.whirlpool.com/services/manuals.html,KRFC300E....
KITCHENAID,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,4w5iz00-07,KRFC300E****,24.3,563.0,20.0,No,No,https://www.whirlpool.com/services/manuals.html,KRFC300E....
JENN-AIR,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,4w5iz00-07,JFC2089BE*,24.3,563.0,20.0,No,No,https://www.whirlpool.com/services/manuals.html,JFC2089BE.
KITCHENAID,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,4w5iz00-06,KRFC300E****,24.3,563.0,20.0,No,No,https://www.whirlpool.com/services/manuals.html,KRFC300E....
WHIRLPOOL,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,4w5iz00-05,WRF540CWB*,24.3,563.0,20.0,No,No,https://www.whirlpool.com/services/manuals.html,WRF540CWB.
MAYTAG,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,4w5iz00-05,MFC2062FE***,24.3,563.0,20.0,No,No,https://www.whirlpool.com/services/manuals.html,MFC2062FE...
WHIRLPOOL,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,4w5iz00-04,WRF540CWB*,24.3,563.0,20.0,No,No,https://www.whirlpool.com/services/manuals.html,WRF540CWB.
KITCHENAID,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,4w5iz00-04,KRFC300E****,24.3,563.0,20.0,No,No,https://www.whirlpool.com/services/manuals.html,KRFC300E....
KITCHENAID,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,4w5ij51-05,KRFF305E****,30.8,615.0,25.2,No,No,https://www.whirlpool.com/services/manuals.html,KRFF305E....
KITCHENAID,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,4w5ij51-04,KRFF305E****,30.8,615.0,25.2,No,No,https://www.whirlpool.com/services/manuals.html,KRFF305E....
KITCHENAID,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,4w5ij51-03,KRFF305E****,30.8,615.0,25.2,No,No,https://www.whirlpool.com/services/manuals.html,KRFF305E....
KITCHENAID,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,4w5ij51-02,KRFF305E****,30.8,615.0,25.2,No,No,https://www.whirlpool.com/services/manuals.html,KRFF305E....
MAYTAG,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,4w5ij50-08,MFF2558FE***,30.8,615.0,25.2,No,No,https://www.whirlpool.com/services/manuals.html,MFF2558FE...
WHIRLPOOL,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,4w5ij20-25,WRB322DMH*,27.0,584.0,22.1,No,No,https://www.whirlpool.com/services/manuals.html,WRB322DMH.
KENMORE,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,4w5ij20-25,7934***,27.0,584.0,22.1,No,No,https://www.kenmore.com/energyguide/,7934...
WHIRLPOOL,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,4w5ij20-24,WRB322DMH*,27.0,584.0,22.1,No,No,https://www.whirlpool.com/services/manuals.html,WRB322DMH.
MAYTAG,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,4w5ij20-24,MBF2258FE***,27.0,584.0,22.1,No,No,https://www.whirlpool.com/services/manuals.html,MBF2258FE...
MAYTAG,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,4w5ij20-23,MBF2258FE***,27.0,584.0,22.1,No,No,https://www.whirlpool.com/services/manuals.html,MBF2258FE...
KENMORE,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,4w5ij20-23,7934***,27.0,584.0,22.1,No,No,https://www.kenmore.com/energyguide/,7934...
WHIRLPOOL,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,4w5ij20-22,WRB322DMH*,27.0,584.0,22.1,No,No,https://www.whirlpool.com/services/manuals.html,WRB322DMH.
MAYTAG,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,4w5ij20-22,MBF2258FE***,27.0,584.0,22.1,No,No,https://www.whirlpool.com/services/manuals.html,MBF2258FE...
KENMORE,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,4w5ij20-22,7934***,27.0,584.0,22.1,No,No,https://www.kenmore.com/energyguide/,7934...
MAYTAG,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,4w5ij20-21,MBF2258FE***,27.0,584.0,22.1,No,No,https://www.whirlpool.com/services/manuals.html,MBF2258FE...
KENMORE,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,4w5ij20-21,7934***,27.0,584.0,22.1,No,No,https://www.kenmore.com/energyguide/,7934...
WHIRLPOOL,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,4w5ij20-20,WRB322DMH*,27.0,584.0,22.1,No,No,https://www.whirlpool.com/services/manuals.html,WRB322DMH.
MAYTAG,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,4w5ij20-20,MBF2258FE***,27.0,584.0,22.1,No,No,https://www.whirlpool.com/services/manuals.html,MBF2258FE...
KENMORE,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,4w5ij20-20,7934***,27.0,584.0,22.1,No,No,https://www.kenmore.com/energyguide/,7934...
MAYTAG,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,4w5ij20-19,MBF2258FE***,27.0,584.0,22.1,No,No,https://www.whirlpool.com/services/manuals.html,MBF2258FE...
KENMORE,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,4w5ij20-19,7934***,27.0,584.0,22.1,No,No,https://www.kenmore.com/energyguide/,7934...
WHIRLPOOL,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,4w5ij20-18,WRB322DMH*,27.0,584.0,22.1,No,No,https://www.whirlpool.com/services/manuals.html,WRB322DMH.
