Brand_Name_s__s,Product_Group_Code_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Total_Adjusted_Volume__Cubic_Feet__d,Annual_Energy_Use__Kilowatt_Hours_Year__d,Total_Refrigerated_Volume__ft3__d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s,Link_to_FTC_EnergyGuide_Label_s,individual_model_number_modified
Arctic King,(13A.) Compact all-refrigerators - automatic defrost,HS-60LN(SNZ),ARM17A5ABB,1.7,246.0,1.7,No,No,https://wx1.sinaimg.cn/mw2000/7db66851ly1h1861t10lsj20b40f2q55.jpg,ARM17A5ABB
Midea,(18.) Compact chest freezers,HS-259CN(SNZK),MRC07M7AWW,12.3,225.0,7.0,No,No,By annual report date,MRC07M7AWW
Midea,(11A.) Compact all-refrigerators - manual defrost,HS-121LN(S4NZ1),MRM33S9ASL,3.3,220.0,3.3,No,No,By annual report date,MRM33S9ASL
Hisense,(13A.) Compact all-refrigerators - automatic defrost,BC-122/HC1(H),LMS044M6RBE,4.4,269.0,4.4,No,No,https://www.hisense-canada.com/en/home-appliances/compact-refrigerators/?prop285=Compact,LMS044M6RBE
KENMORE,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,8W5I90-05,7931***,23.0,553.0,18.7,No,No,https://www.kenmore.com/energyguide/,7931...
MAYTAG,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,8W5I90-05,MBF1958DE*,23.0,553.0,18.7,No,No,https://www.whirlpool.com/services/manuals.html,MBF1958DE.
RCA,(13A.) Compact all-refrigerators - automatic defrost,BC-132CNB,RFR453,4.5,264.0,4.5,No,No,By annual report date,RFR453
THOMSON,(12.) Compact refrigerator-freezers - partial automatic defrost,BCD-95ANB,TFR834,3.8,350.0,3.1,No,No,By annual report date,TFR834
RCA,(12.) Compact refrigerator-freezers - partial automatic defrost,BCD-95ANB,RFR836,3.8,350.0,3.1,No,No,By annual report date,RFR836
RCA,(12.) Compact refrigerator-freezers - partial automatic defrost,BCD-95ANB,RFR834,3.8,350.0,3.1,No,No,By annual report date,RFR834
APPLIANCE BASICS,(9.) Upright freezers with automatic defrost without an automatic icemaker,HS772FWENW,HS772FWENW,37.0,492.0,21.0,No,No,By annual report date,HS772FWENW
Fisher & Paykel,(5I-BI.) Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,RS2474B,RS2474BRU1,13.8,382.0,10.6,No,No,By annual report date,RS2474BRU1
MicroFridge by Danby with SAFE PLUG,(13A.) Compact all-refrigerators - automatic defrost,3.2MF4R,3.2MF4R,3.2,258.0,3.2,No,No,https://www.microfridge.com/en-us/product-resources/,3.2MF4R
IGLOO,(11A.) Compact all-refrigerators - manual defrost,IRF32BK,IRF32BK,3.2,218.0,3.2,No,No,By annual report date,IRF32BK
ARCTIC KING,(16.) Compact upright freezers with manual defrost,HS-109FN(S2NZ),ARU030S1ARSS,5.3,240.0,3.0,No,No,By annual report date,ARU030S1ARSS
WHIRLPOOL,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,4w3n41-11,WRT134TFD*0*,17.3,336.0,14.3,No,No,https://www.whirlpool.com/services/manuals.html,WRT134TFD.0.
IKEA,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,4w3n41-11,IRT134FD*0*,17.3,336.0,14.3,No,No,https://www.whirlpool.com/services/manuals.html,IRT134FD.0.
WHIRLPOOL,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,4w3in10-14,WRT541SZD*0*,26.0,483.0,21.3,No,No,https://www.whirlpool.com/services/manuals.html,WRT541SZD.0.
Epic,(1A.) All-refrigerators - manual defrost,ERAR88RED,ERAR88RED,8.3,209.0,8.3,No,No,http://,ERAR88RED
Epic,(1A.) All-refrigerators - manual defrost,ERAR88SVR,ERAR88SVR,8.3,209.0,8.3,No,No,http://,ERAR88SVR
Vissani,(11A.) Compact all-refrigerators - manual defrost,DF1-153MCF,HVR440HSEF,4.4,228.0,4.4,No,No,By annual report date,HVR440HSEF
Vissani,(11A.) Compact all-refrigerators - manual defrost,DF1-153MCF,HVR440HWEF,4.4,228.0,4.4,No,No,By annual report date,HVR440HWEF
PREMIUM LEVELLA,(9.) Upright freezers with automatic defrost without an automatic icemaker,BD-398WE,PFV1406XS,24.6,396.0,14.0,No,No,By annual report date,PFV1406XS
PREMIUM LEVELLA,(9.) Upright freezers with automatic defrost without an automatic icemaker,BD-398WE,PFV1405XW,24.6,396.0,14.0,No,No,By annual report date,PFV1405XW
BougeRV,(11A.) Compact all-refrigerators - manual defrost,E45,E45,1.7,186.0,1.7,No,No,http://doe.alpicool.com/,E45
LG,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,LRFGC2706*,LRFGC2706*,33.1,632.0,26.5,No,No,https://www.lg.com/global/support/ftclabel,LRFGC2706.
Hisense,(11.) Compact refrigerator-freezers and refrigerators other than all-refrigerators with manual defrost,WMS053M6XVE,WMS053M6XVE,5.7,273.0,5.4,No,No,https://assets.hisense-usa.com [assets.hisense-usa.com],WMS053M6XVE
MAXXIMUM,(13A.) Compact all-refrigerators - automatic defrost,MAXBC52SD,MAXBC52SD,5.2,258.0,5.2,No,No,By annual report date,MAXBC52SD
Hisense,(13A.) Compact all-refrigerators - automatic defrost,BC-47/HC1(H),LMS016M6RBE,1.6,246.0,1.6,No,No,https://assets.hisense-usa.com/assets/Energy-Guides/2022/eb54288a53/LMS016M6RBE.pdf [assets.hisense-usa.com],LMS016M6RBE
Hisense,(13A.) Compact all-refrigerators - automatic defrost,BC-73DJ1NA1/HC1(Q),LMS026M6RBE,2.5,254.0,2.5,No,No,https://assets.hisense-usa.com/assets/Energy-Guides/2022/450b9cb73c/LMS026M6RBE.pdf [assets.hisense-usa.com],LMS026M6RBE
PREMIUM LEVELLA,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,RF-510WI,PRNIM18*****,21.3,448.0,18.1,No,No,By annual report date,PRNIM18.....
PREMIUM LEVELLA,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,RF-600WI,PRNIM20*****,24.1,469.0,20.4,No,No,By annual report date,PRNIM20.....
JENN-AIR,(3A-BI.) Built-in All-refrigerators - automatic defrost,8W3ABI10-01,JBRF*36IGX**,21.4,360.0,21.4,No,No,https://www.whirlpool.com/services/manuals.html,JBRF.36IGX..
WHIRLPOOL,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,7W5g21-04,WRF532SNH*,27.0,500.0,22.1,No,No,https://www.whirlpool.com/services/manuals.html,WRF532SNH.
WHIRLPOOL,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,7w5ij50-18,WRFA35SWH*,30.8,615.0,25.2,No,No,https://www.whirlpool.com/services/manuals.html,WRFA35SWH.
WHIRLPOOL,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,7w5ij50-18,WRF535SWH*,30.8,615.0,25.2,No,No,https://www.whirlpool.com/services/manuals.html,WRF535SWH.
WHIRLPOOL,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,7w5ij50-18,WRF535SMH*,30.8,615.0,25.2,No,No,https://www.whirlpool.com/services/manuals.html,WRF535SMH.
MAYTAG,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,4w5ij20-26,MBF2258FE***,27.0,584.0,22.1,No,No,https://www.whirlpool.com/services/manuals.html,MBF2258FE...
MAYTAG,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,4w5ij20-26,MBF2258DE*,27.0,584.0,22.1,No,No,https://www.whirlpool.com/services/manuals.html,MBF2258DE.
WHIRLPOOL,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,6w5ab50-19,WRF555SDH*,29.9,685.0,24.7,No,No,https://www.whirlpool.com/services/manuals.html,WRF555SDH.
WHIRLPOOL,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,6w5ab50-19,WRF555SDF***,29.9,685.0,24.7,No,No,https://www.whirlpool.com/services/manuals.html,WRF555SDF...
MAYTAG,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,6w5ab50-19,MFI2570FE***,29.9,685.0,24.7,No,No,https://www.whirlpool.com/services/manuals.html,MFI2570FE...
IKEA,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,6w5ab50-19,IX7DDEXGZ*,29.9,685.0,24.7,No,No,https://www.whirlpool.com/services/manuals.html,IX7DDEXGZ.
WHIRLPOOL,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,8W5A70-11,WRF757SDH*0*,33.0,710.0,27.0,No,No,https://www.whirlpool.com/services/manuals.html,WRF757SDH.0.
MAYTAG,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,8W5A70-11,MFT2772HE*0*,33.0,710.0,27.0,No,No,https://www.whirlpool.com/services/manuals.html,MFT2772HE.0.
KITCHENAID,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,8W5A70-11,KRFF507H**0*,33.0,710.0,27.0,No,No,https://www.whirlpool.com/services/manuals.html,KRFF507H..0.
KITCHENAID,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,8W5A70-11,KRFF577K**0*,33.0,710.0,27.0,No,No,https://www.whirlpool.com/services/manuals.html,KRFF577K..0.
WHIRLPOOL,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,7w5ab40-17,WRX735SDH*,29.6,683.0,24.5,No,No,https://www.whirlpool.com/services/manuals.html,WRX735SDH.
Whirlpool,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,4w5iz00-18,WRF540CWB*,24.3,563.0,20.0,No,No,https://www.whirlpool.com/services/manuals.html,WRF540CWB.
MAYTAG,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,4w5iz00-18,MFC2062FE***,24.3,563.0,20.0,No,No,https://www.whirlpool.com/services/manuals.html,MFC2062FE...
KITCHENAID,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,4w5iz00-18,KRFC300E****,24.3,563.0,20.0,No,No,https://www.whirlpool.com/services/manuals.html,KRFC300E....
FORNO,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,BCD-606WI,ZFRBI1844-36**,25.0,560.0,20.0,No,No,By annual report date,ZFRBI1844-36..
FORNO,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,BCD-606WI,SFRBI1844-36**,25.0,560.0,20.0,No,No,By annual report date,SFRBI1844-36..
FORNO,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,BCD-606WI,FFRBI1844-36**,25.0,560.0,20.0,No,No,By annual report date,FFRBI1844-36..
FORNO,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,BCD-513WI,XFFFD1974-31**,21.3,512.0,17.5,No,No,By annual report date,XFFFD1974-31..
FORNO,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,BCD-513WI,SFFFD1974-31**,21.3,512.0,17.5,No,No,By annual report date,SFFFD1974-31..
FORNO,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,BCD-513WI,CFFFD1974-31**,21.3,512.0,17.5,No,No,By annual report date,CFFFD1974-31..
FORNO,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,BCD-513WI,EFFFD1974-31**,21.3,512.0,17.5,No,No,By annual report date,EFFFD1974-31..
WINIA,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,W*TG18***CE#,W*TG18***CE#,22.2,370.0,18.3,No,No,By annual report date,W.TG18...CE.
WINIA,(9.) Upright freezers with automatic defrost without an automatic icemaker,W*FU021A*E#,W*FU021A*E#,36.6,450.0,20.8,No,No,By annual report date,W.FU021A.E.
WINIA,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,WRFS26D***,WRFS26D***,31.4,698.0,25.5,No,No,By annual report date,WRFS26D...
WINIA,(17.) Compact upright freezers with automatic defrost,WRSR036H**E#,WRSR036H**E#,6.3,266.0,3.6,No,No,By annual report date,WRSR036H..E.
Criterion,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,CFRR255WD#*,CFRR255WD#*,31.4,698.0,25.5,No,No,By annual report date,CFRR255WD..
Criterion,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,CTMR183**#*,CTMR183**#*,22.2,370.0,18.3,No,No,By annual report date,CTMR183....
FORTE,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,BCD-523W,FFD18ESC250SS,22.7,442.0,17.9,No,No,By annual report date,FFD18ESC250SS
FORTE,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,BCD-513WI,FFD18ES250SS,21.3,512.0,17.5,No,No,By annual report date,FFD18ES250SS
VITARA,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,BCD-606WI,VSBS2001ES,25.0,560.0,20.0,No,No,By annual report date,VSBS2001ES
VITARA,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,BCD-606WI,VSBS2001EB,25.0,560.0,20.0,No,No,By annual report date,VSBS2001EB
VITARA,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,BCD-606WI,VSBS2001EW,25.0,560.0,20.0,No,No,By annual report date,VSBS2001EW
VITARA,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,BCD-513WI,VFFR1800ESBE,21.3,512.0,17.5,No,No,By annual report date,VFFR1800ESBE
VITARA,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,BCD-513WI,VFFR1800ESE,21.3,512.0,17.5,No,No,By annual report date,VFFR1800ESE
Seasons,(11A.) Compact all-refrigerators - manual defrost,HS-121LN(S4NZ),550132,3.3,220.0,3.3,No,No,https://hdsupplysolutions.com,550132
Kenmore,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,111.7331####,111.7331####,37.4,748.0,30.6,No,No,By annual report date,111.7331....
Kenmore,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,111.7279####,111.7279####,36.3,738.0,29.5,No,No,By annual report date,111.7279....
Kenmore,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,111.7333####,111.7333####,36.3,738.0,29.5,No,No,By annual report date,111.7333....
Kenmore,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,7333#,7333#,36.3,738.0,29.5,No,No,By annual report date,7333.
Kenmore,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,111.7269####,111.7269####,36.3,738.0,29.5,No,No,By annual report date,111.7269....
Kenmore,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,7269#,7269#,36.3,738.0,29.5,No,No,By annual report date,7269.
Kenmore,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,111.7550####,111.7550####,31.4,698.0,25.5,No,No,By annual report date,111.7550....
Kenmore,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,7503#,7503#,31.4,698.0,25.5,No,No,By annual report date,7503.
Kenmore,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,111.7076####,111.7076####,22.2,450.0,18.3,No,No,By annual report date,111.7076....
Kenmore,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,7076#,7076#,22.2,450.0,18.3,No,No,By annual report date,7076.
Kenmore,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,111.6076####,111.6076####,22.2,370.0,18.3,No,No,By annual report date,111.6076....
Kenmore,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,111.6121####,111.6121####,25.2,393.0,20.8,No,No,By annual report date,111.6121....
Kenmore,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,7071#,7071#,22.1,450.0,18.2,No,No,By annual report date,7071.
Kenmore,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,111.6071####,111.6071####,22.1,365.0,18.2,No,No,By annual report date,111.6071....
Magic Chef,(12.) Compact refrigerator-freezers - partial automatic defrost,DF2-160,MCDR450BE,5.4,327.0,4.5,No,No,By annual report date,MCDR450BE
Magic Chef,(13A.) Compact all-refrigerators - automatic defrost,DL1-112,MCAR320PSE,3.3,259.0,3.3,No,No,By annual report date,MCAR320PSE
Magic Chef,(13A.) Compact all-refrigerators - automatic defrost,DL1-153,MCAR440ST,4.4,299.0,4.4,No,No,By annual report date,MCAR440ST
Magic Chef,(13A.) Compact all-refrigerators - automatic defrost,DL1-153,MCDR1000ST,4.4,299.0,4.4,No,No,By annual report date,MCDR1000ST
Magic Chef,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,FC2-370,MCDR1000WE,12.2,297.0,10.1,No,No,By annual report date,MCDR1000WE
TCL,(11A.) Compact all-refrigerators - manual defrost,DF1-09B,MR221S,2.7,214.0,2.7,No,No,By annual report date,MR221S
TCL,(11A.) Compact all-refrigerators - manual defrost,DF1-113B,MR321S,3.2,220.0,3.2,No,No,By annual report date,MR321S
JENN AIR,(7-BI.) Built-In Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,2w7bi50,JBSS42E22***,31.7,753.0,25.1,No,No,https://www.whirlpool.com/services/manuals.html,JBSS42E22...
KITCHENAID,(7-BI.) Built-In Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,2w7bi90,KBSD708M****,37.2,804.0,29.4,No,No,https://www.whirlpool.com/services/manuals.html,KBSD708M....
Element,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,FC2-660.E,ENR18TFGB*,20.8,360.0,17.6,No,No,http://elementelectronics.com/support,ENR18TFGB.
BLAZE,(13A.) Compact all-refrigerators - automatic defrost,BLZ-SSRF126,BLZ-SSRF126,4.4,268.0,4.4,No,No,by annual report date,BLZ-SSRF126
Bosch,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,B24CB50ESS,B24CB50ES*,15.4,406.0,12.6,No,No,http://www.bshenergyguides.com,B24CB50ES.
Gaggenau,(5-BI.) Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,B09IB80NSP,RB280703,10.8,394.0,9.1,No,No,http://www.bshenergyguides.com,RB280703
Bosch,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,B36CD50SN*,B36CD51SN*,26.4,656.0,21.6,No,No,http://www.bshenergyguides.com,B36CD51SN.
Bosch,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,B36CT80SN*,B36CT82EN*,25.4,570.0,20.8,No,No,http://www.bshenergyguides.com,B36CT82EN.
Thermador,(3A-BI.) Built-in All-refrigerators - automatic defrost,T36IR905SP,T36IR905SP,20.6,312.0,20.6,No,No,http://www.bshenergyguides.com,T36IR905SP
Bosch,(3A-BI.) Built-in All-refrigerators - automatic defrost,T30IR905SP,B30IR905SP,16.8,279.0,16.8,No,No,http://www.bshenergyguides.com,B30IR905SP
Thermador,(3A-BI.) Built-in All-refrigerators - automatic defrost,T30IR905SP,T30IR905SP,16.8,279.0,16.8,No,No,http://www.bshenergyguides.com,T30IR905SP
Thermador,(9I-BI.) Built-in upright freezers with automatic defrost with an automatic icemaker,T30IF905SP,T30IF905SP,27.8,479.0,15.8,No,No,http://www.bshenergyguides.com,T30IF905SP
Bosch,(5I-BI.) Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,T30IB905SP,B30IB905SP,19.4,470.0,16.0,No,No,http://www.bshenergyguides.com,B30IB905SP
Thermador,(5I-BI.) Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,T30IB905SP,T30IB905SP,19.4,470.0,16.0,No,No,http://www.bshenergyguides.com,T30IB905SP
Thermador,(3A-BI.) Built-in All-refrigerators - automatic defrost,T24IR905SP,T24IR905SP,13.0,254.0,13.0,No,No,http://www.bshenergyguides.com,T24IR905SP
Thermador,(9I-BI.) Built-in upright freezers with automatic defrost with an automatic icemaker,T24ID905NP,T24ID905LP,19.7,454.0,11.2,No,No,http://www.bshenergyguides.com,T24ID905LP
Thermador,(9I-BI.) Built-in upright freezers with automatic defrost with an automatic icemaker,T18IF905SP,T18IF905SP,15.1,404.0,8.6,No,No,http://www.bshenergyguides.com,T18IF905SP
Thermador,(9I-BI.) Built-in upright freezers with automatic defrost with an automatic icemaker,T18ID905LP,T18ID905LP,13.7,428.0,7.8,No,No,http://www.bshenergyguides.com,T18ID905LP
Gaggenau,(9I-BI.) Built-in upright freezers with automatic defrost with an automatic icemaker,T24IF905SP,RF461705,21.4,435.0,12.2,No,No,http://www.bshenergyguides.com,RF461705
Gaggenau,(9I-BI.) Built-in upright freezers with automatic defrost with an automatic icemaker,T18IF905SP,RF411705,15.1,404.0,8.6,No,No,http://www.bshenergyguides.com,RF411705
Gaggenau,(3A-BI.) Built-in All-refrigerators - automatic defrost,T30IR905SP,RC472705,16.8,279.0,16.8,No,No,http://www.bshenergyguides.com,RC472705
Thermador,(9I-BI.) Built-in upright freezers with automatic defrost with an automatic icemaker,T18IF900SP,T18IF900SP,15.1,418.0,8.6,No,No,http://www.bshenergyguides.com,T18IF900SP
Gaggenau,(9I-BI.) Built-in upright freezers with automatic defrost with an automatic icemaker,T18IF900SP,RF411704,15.1,418.0,8.6,No,No,http://www.bshenergyguides.com,RF411704
Thermador,(9I-BI.) Built-in upright freezers with automatic defrost with an automatic icemaker,T24IF900SP,T24IF900SP,21.4,443.0,12.2,No,No,http://www.bshenergyguides.com,T24IF900SP
Gaggenau,(9I-BI.) Built-in upright freezers with automatic defrost with an automatic icemaker,T24IF900SP,RF461704,21.4,443.0,12.2,No,No,http://www.bshenergyguides.com,RF461704
Thermador,(9I-BI.) Built-in upright freezers with automatic defrost with an automatic icemaker,T36IF900SP,T36IF900SP,34.2,543.0,19.4,No,No,http://www.bshenergyguides.com,T36IF900SP
Gaggenau,(9I-BI.) Built-in upright freezers with automatic defrost with an automatic icemaker,T36IF900SP,RF491704,34.2,543.0,19.4,No,No,http://www.bshenergyguides.com,RF491704
Gaggenau,(9I-BI.) Built-in upright freezers with automatic defrost with an automatic icemaker,T24ID900LP,RF463704,19.7,457.0,11.2,No,No,http://www.bshenergyguides.com,RF463704
Thermador,(3A-BI.) Built-in All-refrigerators - automatic defrost,T23IR900SP,T23IR900SP,13.0,281.0,13.0,No,No,http://www.bshenergyguides.com,T23IR900SP
Gaggenau,(3A-BI.) Built-in All-refrigerators - automatic defrost,T30IR900SP,RC472704,16.8,289.0,16.8,No,No,http://www.bshenergyguides.com,RC472704
Thermador,(3A-BI.) Built-in All-refrigerators - automatic defrost,T30IR900SP,T30IR900SP,16.8,289.0,16.8,No,No,http://www.bshenergyguides.com,T30IR900SP
Gaggenau,(3A-BI.) Built-in All-refrigerators - automatic defrost,T36IR900SP,RC492704,20.6,313.0,20.6,No,No,http://www.bshenergyguides.com,RC492704
Thermador,(3A-BI.) Built-in All-refrigerators - automatic defrost,T36IR900SP,T36IR900SP,20.6,313.0,20.6,No,No,http://www.bshenergyguides.com,T36IR900SP
Bosch,(5-BI.) Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,B09IB80NSP,B09IB81NSP,10.8,394.0,9.1,No,No,http://www.bshenergyguides.com,B09IB81NSP
Thermador,(5I-BI.) Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,T30IB900SP,T30IB900SP,19.4,498.0,16.0,No,No,http://www.bshenergyguides.com,T30IB900SP
Gaggenau,(5I-BI.) Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,T36IB900SP,RB492704,23.8,531.0,19.6,No,No,http://www.bshenergyguides.com,RB492704
Thermador,(5I-BI.) Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,T36IB900SP,T36IB900SP,23.8,531.0,19.6,No,No,http://www.bshenergyguides.com,T36IB900SP
Gaggenau,(5I-BI.) Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,T36IT900NP,RY492704,23.6,585.0,19.4,No,No,http://www.bshenergyguides.com,RY492704
Thermador,(5I-BI.) Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,T36IT900NP,T36IT900NP,23.6,585.0,19.4,No,No,http://www.bshenergyguides.com,T36IT900NP
Thermador,(5I-BI.) Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,T36IT900NP,T36IT901NP,23.6,585.0,19.4,No,No,http://www.bshenergyguides.com,T36IT901NP
Bosch,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,B36CT80SN*,B36CT80SN*,25.4,570.0,20.8,No,No,http://www.bshenergyguides.com,B36CT80SN.
Bosch,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,B36CT80SN*,B36CT81SN*,25.4,570.0,20.8,No,No,http://www.bshenergyguides.com,B36CT81SN.
Bosch,(5-BI.) Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,B09IB91NS*,B09IB91NS*,10.1,388.0,8.3,No,No,http://www.bshenergyguides.com,B09IB91NS.
Bosch,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,B36CL81EN*,B36CL81EN*,25.1,568.0,20.5,No,No,http://www.bshenergyguides.com,B36CL81EN.
Bosch,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,B10CB81NV*,B10CB81NV*,12.3,383.0,10.3,No,No,http://www.bshenergyguides.com,B10CB81NV.
Bosch,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,B36CD50SN*,B36CD50SN*,26.4,656.0,21.6,No,No,http://www.bshenergyguides.com,B36CD50SN.
