ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,UPC,Load Configuration,Special Type,Additional Washer Features,Intended Market,Volume (cu. ft.),Height (inches),Width (inches),Depth (inches),Integrated Modified Energy Factor (IMEF),US Federal Standard (IMEF),Annual Energy Use (kWh/yr),Integrated Water Factor (IWF),US Federal Standard (IWF),Annual Water Use (gallons/yr),Drum Capacity for the dryer in a Combination All-in-One Washer-Dryer,Heat Pump Technology for the dryer in a Combination All-in-One Washer-Dryer,Combined Energy Factor (CEF) for the dryer in a Combination All-in-One Washer-Dryer,Estimated Annual Energy Use (kWh/yr) for the dryer in a Combination All-in-One Washer-Dryer,Estimated Energy Test Cycle Time (min) for the dryer in a Combination All-in-One Washer-Dryer,Energy Test Cycle Information for the dryer in a Combination All-in-One Washer-Dryer,Calculated Combined Energy Factor - Max Dryness Setting (lbs/kWh) for the dryer in a Combination All-in-One Washer-Dryer,Additional Dryer Features for the dryer in a Combination All-in-One Washer-Dryer,Connected,Connects Using,Communication Standard Application Layer,Direct on-premises Open-standard Based Interconnection,Paired ENERGY STAR Clothes Dryer Available,Paired ENERGY STAR Clothes Dryer ENERGY STAR Model Identifier,Date Available On Market,Date Certified,Markets,ENERGY STAR Model Identifier,Meets ENERGY STAR Most Efficient 2023 Criteria
2392620,GE Profile,PTW705B*T***,",PTW705BPTDG,Diamond Gray; ,PTW705BPTRS,Sapphire Blue; ,PTW705BSTWS,White",084691891932;084691891949;084691903796,Top Load,,Delayed Start,Residential,5.3,43.90,27.9,28.00,2.06,1.29,145,4.3,8.4,6698,,,,,,,,,No,,,,Yes,"ES_1123206_PTD70EB*T***_120820211148933_7618023, ES_1123206_PTD70EB*T***_012020221610314_6625451, ES_1123206_PTD70GB*T***_12082021151724_9442244",02/07/2022,02/02/2022,"United States, Canada",ES_1123206_PTW705B*T***_013020221836827_7047969,No
2390459,GE Profile,PTW900B*T***,",PTW900BPTDG,Diamond Gray; ,PTW900BPTRS,Royal Sapphire; ,PTW900BSTWS,White",084691891918;084691891925;084691891994,Top Load,,"Delayed Start,Impeller,Sanitize Option,Gentle Cycle",Residential,5.4,43.90,27.9,23.20,2.06,1.29,145,4.3,8.4,6825,,,,,,,,,No,,,,Yes,ES_1123206_PTD90GB*T***_020820220836249_9336129,01/17/2022,01/13/2022,"United States, Canada",ES_1123206_PTW900B*T***_011020221107930_5044387,No
2392619,GE Profile,PTW905B*T***,",PTW905BPTDG,Diamond Gray; ,PTW905BPTRS,Sapphire Blue; ,PTW905BSTWS,White",084691891970;084691891987;084691892014,Top Load,,Delayed Start,Residential,5.3,43.90,27.9,28.00,2.06,1.29,145,4.3,8.4,6698,,,,,,,,,No,,,,Yes,ES_1123206_PTD90GB*T***_020820220836249_9336129,02/07/2022,02/02/2022,"United States, Canada",ES_1123206_PTW905B*T***_013020221836446_3707708,No
2340369,Haier,QFW150S*N***,",QFW150SSNWW,Color: White",084691841883,Front Load,,"Steam Cycle,Delayed Start,Sanitize Option,Gentle Cycle",Residential,2.4,,23.4,,2.07,1.84,108,4.2,4.7,2974,,,,,,,,,No,,,,Yes,"ES_1123206_QFD15ES*N***_06282019145701_3821840, ES_1123206_QFD15ES*N***_06282019145505_3705696",07/08/2019,06/26/2019,"United States, Canada",ES_1123206_QFW150S*N***_06262019192419_7059687,No
2399989,Hamilton Beach,HBFW3205,,058465825614,Front Load,,"Steam Cycle,Hand Wash Cycle,Sanitize Option,Drum Clean, Perm Press, Bulky, Wool, Sports Wear",Residential,2.2,33.25,23.5,23.50,2.07,1.84,110,4.2,4.7,2713,,,,,,,,,No,,,,No,,09/01/2022,08/11/2022,"United States, Canada",ES_1120898_HBFW3205_062220221518439_4618456,No
2331774,Inglis,IFW5900H**,,883049473079,Front Load,,"Anti-Wrinkle,Sanitize Option,Clean Washer with Affresh",Residential,4.3,,27.0,,2.76,1.84,123,3.2,4.7,4097,,,,,,,,,No,,,,No,,12/03/2018,08/24/2018,"United States, Canada",ES_15649_IFW5900H**_10142018185237_3157188,No
2384071,Insignia,NS-FWM27W1,,,Front Load,,Delayed Start,Residential,2.7,,23.4,,2.76,1.84,75,3.2,4.7,2549,,,,,,,,None,No,,,,,,08/18/2021,09/01/2021,"United States, Canada",ES_1059185_NS-FWM27W1_090320210024367_6206889,No
2384072,Insignia,NS-FWM27W1-***,",,* Can be A-Z, a-z, all models are identical except the model name",,Front Load,,Delayed Start,Residential,2.7,,23.4,,2.76,1.84,75,3.2,4.7,2549,,,,,,,,None,No,,,,,,08/18/2021,09/01/2021,"United States, Canada",ES_1059185_NS-FWM27W1-***_09032021002430_8812924,No
2397287,Insignia,NS-FWM45W3,,,Front Load,,None,Residential,4.5,,27.0,,2.76,1.84,110,3.2,4.7,4248,,,,,,,,,No,,,,,,05/25/2022,06/08/2022,"United States, Canada",ES_1059185_NS-FWM45W3_060820220311772_8455966,No
2397288,Insignia,NS-FWM45W3***,,,Front Load,,None,Residential,4.5,,27.0,,2.76,1.84,110,3.2,4.7,4248,,,,,,,,,No,,,,,,05/25/2022,06/08/2022,"United States, Canada",ES_1059185_NS-FWM45W3***_060820220311971_7102013,No
