Brand_Name_s__s,Product_Group_Code_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Capacity__cubic_feet__d,Voltage__volts___For_Electric_Models_Only__d,Hourly_BTU_Rating_of_the_Burner__For_Gas_Models_Only__d,Does_the_Dryer_Have_Automatic_Termination_Controls__s,Combined_Energy_Factor__pounds_per_kilowatt_hour__d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L16QAG1AG2,WED4916F**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L16QAG1AG5,WED4616F**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L16QAG1AG6,WED4616F**,7.0,240.0,,Yes,3.73,No,No
Roper,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L16RGF1AG4,RED4516F**,6.5,240.0,,Yes,3.73,No,No
Roper,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L16RGF1AG6,RED4516F**,6.5,240.0,,Yes,3.73,No,No
Roper,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L16RGF1AG7,RED4516F**,6.5,240.0,,Yes,3.73,No,No
Roper,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L16RGF1AG8,RED4516F**,6.5,240.0,,Yes,3.73,No,No
Roper,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L16RGF1AG9,RED4516F**,6.5,240.0,,Yes,3.73,No,No
Roper,Vented Gas,L16RGF1AJ1,RGD4516F**,6.5,,21319.0,Yes,3.3,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L18QBG1AG1,MEDC465H**,7.0,240.0,,Yes,3.73,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L18QBG1AG3,MEDC465H**,7.0,240.0,,Yes,3.73,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L18QBG1AG5,MEDC465H**,7.0,240.0,,Yes,3.73,No,No
Kenmore,Vented Gas,L15QCG1AJ4,7234*51*,7.0,,22007.0,Yes,3.3,No,No
Kenmore,Vented Gas,L15QCG1AJ5,7233*51*,7.0,,22109.0,Yes,3.3,No,No
