Brand_Name_s__s,Product_Group_Code_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Capacity__cubic_feet__d,Voltage__volts___For_Electric_Models_Only__d,Hourly_BTU_Rating_of_the_Burner__For_Gas_Models_Only__d,Does_the_Dryer_Have_Automatic_Termination_Controls__s,Combined_Energy_Factor__pounds_per_kilowatt_hour__d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s
LG,Vented Gas,DLG1102*,DLG1102*,7.3,,20000.0,Yes,3.31,No,No
LG,Vented Gas,DLG1002*,DLG1002*,7.3,,20000.0,Yes,3.31,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLEX5170*,DLEX5170*,7.3,240.0,,Yes,3.74,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLEX4070*,DLEX4070*,7.4,240.0,,Yes,3.74,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLEX3650*,DLEX3650*,7.4,240.0,,Yes,3.74,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLEX3250*,DLEX3250*,7.3,240.0,,Yes,3.74,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLEX3070*,DLEX3070*,7.3,240.0,,Yes,3.74,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLEX2650*,DLEX2650*,7.3,240.0,,Yes,3.74,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLEX2550*,DLEX2550*,7.3,240.0,,Yes,3.74,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLE4970*E,DLE4970*E,7.3,240.0,,Yes,3.74,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLE4970*E,DLE4970*,7.3,240.0,,Yes,3.74,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLE4901*,DLE4901*,7.3,240.0,,Yes,3.74,No,No
MAGIC CHEF,"Vented Electric, Compact (120V) (less than 4.4 ft3 capacity)",MCSDRY1S,204984491,2.3,120.0,,Yes,3.62,No,No
Frigidaire,"Vented Electric, Standard (4.4 ft3 or greater capacity)",MDD160-A2301E/1305,FFRE4120***,6.7,240.0,,Yes,3.73,No,No
Insignia,Vented Gas,MDD160-VG052/F01-US13,NS-FDRG67WH8A,6.7,,16000.0,Yes,3.3,No,No
INSIGNIA,"Vented Electric, Standard (4.4 ft3 or greater capacity)",MDD200-V052/F01-BBY,NS-TDRE75W1,7.5,240.0,,Yes,3.73,No,No
MAGIC CHEF,"Vented Electric, Compact (120V) (less than 4.4 ft3 capacity)",GYJ60-58C1,MCSDRY35W1,3.4,120.0,,Yes,3.64,No,No
Midea,"Vented Electric, Standard (4.4 ft3 or greater capacity)",MDD160-A2301E/1305,MLTE37N1BWW,6.7,240.0,,Yes,3.73,No,No
Midea,Vented Gas,MDD160-VG012/F0110E-US13,MLTG37N1BWW,6.7,,16000.0,Yes,3.3,No,No
Criterion,"Vented Electric, Standard (4.4 ft3 or greater capacity)",MDD200-V062/F01-US1305,CDE45N1AW,7.5,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18BAI1AG10,WED5100H**,7.4,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18BAI1AG10,WED6120H**,7.4,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L18QAG1AG18,WED4850H**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18KAC1AE10,WET4027H**,5.9,240.0,,Yes,3.73,No,No
Amana,Vented Gas,L15RDF1AJ17,NGD4655E**,6.5,,22159.0,Yes,3.3,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L16QAG1AG11,WED4616F**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L16QAG1AG11,WED4916F**,7.0,240.0,,Yes,3.73,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18BBI1AG10,MED6230H**,7.4,240.0,,Yes,3.73,No,No
Amana,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15RDF1AG28,NED4655E**,6.5,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Compact (240V) (less than 4.4 ft3 capacity)",L18MAB1AC9,WET4024H**,3.4,240.0,,Yes,3.27,No,No
Whirlpool,Vented Gas,L21Q2AG1AJ1,WGD5010L**,7.0,,22083.0,Yes,3.3,No,No
Samsung,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DVE52A55***,DVE52A55***,7.4,240.0,,Yes,3.73,No,No
GE,Vented Gas,M74G_4_V,GTD58GB*V***,7.4,,22000.0,Yes,3.3,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18BBI1AG9,MED6230RH**,7.4,240.0,,Yes,3.73,No,No
Whirlpool,Vented Gas,L15QAG1AJ16,WGD4915E**,7.0,,22037.0,Yes,3.3,No,No
Amana,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15RDF1AG27,NED4655E**,6.5,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L18QAG1AG17,WED4950H**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18BAI1AG9,WED5100H**,7.4,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18BAI1AG9,WED6120H**,7.4,240.0,,Yes,3.73,No,No
Beko,"Vented Electric, Compact (240V) (less than 4.4 ft3 capacity)",VD24001W,VD24001W,3.6,240.0,,Yes,3.7,No,No
RCA,"Ventless Electric, Combination Washer-Dryer",MFC120-DU1421BS/C14E-US,RWD270-6COM,2.8,120.0,,Yes,2.08,No,No
MAGIC CHEF,"Ventless Electric, Combination Washer-Dryer",MFC120-DU1421BS/C14E-US,MCSCWD27G5,2.8,120.0,,Yes,2.08,No,No
Element,"Vented Electric, Standard (4.4 ft3 or greater capacity)",MDD160-A2301E/1305,ENTD1064EXBW,6.7,240.0,,Yes,3.73,No,No
Element,Vented Gas,MDD160-VG012/F0110E-US13,ENTD1064GXBW,6.7,,16000.0,Yes,3.3,No,No
Samsung,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DVE55CG71***,DVE55CG71***,7.4,240.0,,Yes,3.73,No,No
Samsung,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DVE55CG7105*,DVE55CG7105*,7.4,240.0,,Yes,3.73,No,No
Midea,"Vented Electric, Standard (4.4 ft3 or greater capacity)",MDH210-V012/B01EHS-US,MLE52S7AWW,8.0,240.0,,Yes,3.73,No,No
Midea,"Vented Electric, Standard (4.4 ft3 or greater capacity)",MDH210-V012/B01EHS-US,MLE52S7AGS,8.0,240.0,,Yes,3.73,No,No
Midea,Vented Gas,MDH210-VG012/B01EHS-US,MLG52S7AGS,8.0,,20000.0,Yes,3.3,No,No
Criterion,"Vented Electric, Standard (4.4 ft3 or greater capacity)",MDD160-A2301E/1305,CDE41N1AW,6.7,240.0,,Yes,3.73,No,No
Midea,"Vented Electric, Standard (4.4 ft3 or greater capacity)",MDH200-V012/A01HS-US,MLE45N3BMG,7.5,240.0,,Yes,3.73,No,No
Huebsch,"Vented Electric, Standard (4.4 ft3 or greater capacity)",RE6,ZDE6H***177C***,6.9,240.0,,Yes,3.73,No,No
Huebsch,"Vented Electric, Standard (4.4 ft3 or greater capacity)",RE6,ZDEE9***177C***,6.9,240.0,,Yes,3.73,No,No
Speed Queen,"Vented Electric, Standard (4.4 ft3 or greater capacity)",RE6,ADE3***177T***,6.9,240.0,,Yes,3.73,No,No
Speed Queen,"Vented Electric, Standard (4.4 ft3 or greater capacity)",RE6,LDE4Z***175T***,6.9,240.0,,Yes,3.73,No,No
Speed Queen,"Vented Electric, Standard (4.4 ft3 or greater capacity)",RE6,ADEE9***175+,7.0,240.0,,Yes,3.73,No,No
Speed Queen,"Vented Electric, Standard (4.4 ft3 or greater capacity)",RE6,ADE4B***176+,7.0,240.0,,Yes,3.73,No,No
GE,"Vented Electric, Compact (120V) (less than 4.4 ft3 capacity)",DSKS333EC3WW,DSKS333EXXXX,3.6,120.0,,Yes,3.61,No,No
GE,Vented Gas,GTD42GASJ0WW,GTD33GA*K***,7.2,,22000.0,Yes,3.3,No,No
GE,Vented Gas,M72G_4_JC,GTD33GA*K***,7.2,,22000.0,Yes,3.3,No,No
GE,"Vented Electric, Standard (4.4 ft3 or greater capacity)",GTD42EASJ0WW,GTD45EASJXXX,7.2,240.0,,Yes,3.73,No,No
GE,"Vented Electric, Standard (4.4 ft3 or greater capacity)",GTX42EASJ0WW,GTX33EA*K***,6.2,240.0,,Yes,3.73,No,No
Hotpoint,Vented Gas,GTX42GASJ0WW,HTX24GA*K***,6.2,,22000.0,Yes,3.3,No,No
GE,Vented Gas,M62G_4_JC,GTX33GA*K***,6.2,,22000.0,Yes,3.3,No,No
Hotpoint,Vented Gas,M62G_4_JC,HTX24GA*K***,6.2,,22000.0,Yes,3.3,No,No
GE,Vented Gas,M62G_4_P,GTX52GA*P***,6.2,,22000.0,Yes,3.3,No,No
GE,Vented Gas,M44G_4_M,GUD24GSSM***,4.4,,11000.0,Yes,3.3,No,No
GE,"Vented Electric, Standard (4.4 ft3 or greater capacity)",M60E_1_M,GUD27ESSM***,6.0,240.0,,Yes,3.73,No,No
GE,Vented Gas,M60G_4_M,GUD27GSSM***,6.0,,18000.0,Yes,3.3,No,No
Crosley,Vented Gas,M60G_4_M,XUD27GSSM***,6.0,,18000.0,Yes,3.3,No,No
Hotpoint,Vented Gas,HTX21PASK0WW,HTX21PA*K***,6.2,,22000.0,Yes,3.3,No,No
Conservator,Vented Gas,M62G_4_T,NTX62G8*T***,6.2,,22000.0,Yes,3.3,No,No
Crosley,Vented Gas,M72G_4_T,XTD72G8*T***,7.2,,22000.0,Yes,3.3,No,No
"Equator, Pinnacle, Deco, Triton, Majestic, Sekido, Meridian, Galaxy, Conserv, Arbreau, Morris","Vented Electric, Compact (120V) (less than 4.4 ft3 capacity)",XQG50-71912GZ or Combo Washer Dryer 4400 (Dryer Part-Venting),"EZ 4400 CV, 18-4400, MJ 4400, SK 4400, MD 4400, GX 4400, CS 4400, MR 4400, DC 4400, Leaf,  TR 4400",1.5,120.0,,Yes,3.7,No,No
"Equator, Pinnacle, Deco, Triton, Majestic, Sekido, Meridian, Galaxy, Conserv, Arbreau, Morris","Vented Electric, Compact (120V) (less than 4.4 ft3 capacity)",GYJ60-58C1; 850,850,3.4,120.0,,Yes,3.64,No,No
"Equator, Pinnacle, Deco, Triton, Majestic, Sekido, Meridian, Galaxy, Conserv, Arbreau, Morris","Vented Electric, Compact (120V) (less than 4.4 ft3 capacity)",GYJ60-58C1; 850,848,3.4,120.0,,Yes,3.66,No,No
Samsung,"Ventless Electric, Compact (240V) (less than 4.4 ft3 capacity)",DV25B69**H*,DV25B69**H*,4.0,240.0,,Yes,6.8,No,No
Samsung,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DVE50B51***,DVE50B51***,7.4,240.0,,Yes,3.73,No,No
Samsung,Vented Gas,DVG50BG83***,DVG50BG83***,7.5,,20000.0,Yes,3.3,No,No
Samsung,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DVE46BB67***,DVE46BB67***,7.5,240.0,,Yes,3.73,No,No
Samsung,Vented Gas,DVG46BG65***,DVG46BG65***,7.5,,20000.0,Yes,3.3,No,No
Samsung,Vented Gas,DVG53BB87***,DVG53BB87***,7.6,,20000.0,Yes,3.3,No,No
Samsung,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DVE53BB89***,DVE53BB89***,7.6,240.0,,Yes,3.73,No,No
Samsung,Vented Gas,DVG45B63***,DVG45B63***,7.5,,20000.0,Yes,3.3,No,No
Samsung,Vented Gas,DVG41A30***,DVG41A30***,7.2,,20000.0,Yes,3.3,No,No
Samsung,Vented Gas,DVG50R52***,DVG50R52***,7.4,,20000.0,Yes,3.3,No,No
SAMSUNG,Vented Gas,DVG45T6000*,DVG45T6000*,7.5,,20000.0,Yes,3.3,No,No
SAMSUNG,Vented Gas,DVG45T62***,DVG45T62***,7.5,,20000.0,Yes,3.3,No,No
SAMSUNG,Vented Gas,DVG45N53***,DVG45N53***,7.5,,22000.0,Yes,3.3,No,No
SAMSUNG,Vented Gas,DV45K71**G*,DV45K71**G*,7.4,,22000.0,Yes,3.3,No,No
SAMSUNG,Vented Gas,DV56H90**G*,DV56H90**G*,9.5,,22000.0,Yes,3.3,No,No
SAMSUNG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DVE45T602**,DVE45T602**,7.5,240.0,,Yes,3.73,No,No
SAMSUNG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DVE45T32***,DVE45T32***,7.2,240.0,,Yes,3.73,No,No
SAMSUNG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DVE45T6000*,DVE45T6000*,7.5,240.0,,Yes,3.73,No,No
SAMSUNG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DVE50T53***,DVE50T53***,7.4,240.0,,Yes,3.73,No,No
SAMSUNG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DVE45R61***,DVE45R61***,7.5,240.0,,Yes,3.73,No,No
SAMSUNG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DVE50N73***,DVE50N73***,7.4,240.0,,Yes,3.73,No,No
SAMSUNG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DVE45N53***,DVE45N53***,7.5,240.0,,Yes,3.73,No,No
SAMSUNG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DV36J40**E*,DV36J40**E*,7.3,240.0,,Yes,3.73,No,No
SAMSUNG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DV56H90**E*,DV56H90**E*,9.5,240.0,,Yes,3.9,No,No
SAMSUNG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DV50F9A8E**,DV45H70**E*,7.4,240.0,,Yes,3.73,No,No
SAMSUNG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DV45H63**E*,DV45H63**E*,7.5,240.0,,Yes,3.9,No,No
SAMSUNG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DV42H54**E*,DV42H50**E*,7.5,240.0,,Yes,3.73,No,No
SAMSUNG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DV42H54**E*,DV42H52**E*,7.5,240.0,,Yes,3.73,No,No
SUMMIT,"Ventless Electric, Combination Washer-Dryer",MFC120-DU1421BS/C14E-US,SPWD2203P**,2.7,120.0,,Yes,2.08,No,No
Splendide,"Ventless Electric, Combination Washer-Dryer",CC20NKW1EM0,WDC7200XCD,1.8,120.0,,Yes,2.08,No,No
Admiral,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L18RFF1AG0,AED4516H**,6.5,240.0,,Yes,3.73,No,No
Whirlpool,Vented Gas,A18BAI1AI0,WGD6120H**,7.4,,20438.0,Yes,3.3,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18BBI1AG0,MED6230RH**,7.4,240.0,,Yes,3.73,No,No
Kenmore,"Vented Electric, Compact (240V) (less than 4.4 ft3 capacity)",L18MCB1AC1,8145*71*,3.4,240.0,,Yes,3.27,No,No
Kenmore,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L16QCG1AG1,6523*61*,7.0,240.0,,Yes,3.73,No,No
Kenmore,Vented Gas,L15RCF1AJ4,7022*51+,6.5,,22116.0,Yes,3.3,No,No
Kenmore,Vented Gas,L15RCF1AJ5,7022*51+,6.5,,22014.0,Yes,3.3,No,No
Kenmore,Vented Gas,L14QCG1AJ5,7513*41+,7.0,,21611.0,Yes,3.3,No,No
Kenmore,Vented Gas,L14DCG1AJ5,7613*41*,7.0,,22069.0,Yes,3.3,No,No
Kenmore,Vented Gas,L14DCG1AJ6,7713*41*,7.0,,21865.0,Yes,3.3,No,No
Kenmore,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A17E2CI1AG1,6037*71*,7.4,240.0,,Yes,3.73,No,No
Crosley,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L17QEG1AG1,CED7006G**,7.0,240.0,,Yes,3.73,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L16DBG1AG2,MEDB766F**,7.0,240.0,,Yes,3.73,No,No
Maytag,Vented Gas,A16E2BI1AI0,MGDB765F**,7.4,,20463.0,Yes,3.3,No,No
Maytag,Vented Gas,A16E2BI1AI2,MGDB765F**,7.4,,20315.0,Yes,3.3,No,No
Kenmore,"Vented Electric, Compact (120V) (less than 4.4 ft3 capacity)",L15LCA1AA1,8142*51*,3.3,120.0,,Yes,3.61,No,No
Maytag,Vented Gas,A14ABH1AI1,MGD7100D**,7.3,,20076.0,Yes,3.3,No,No
Whirlpool,"Vented Electric, Compact (240V) (less than 4.4 ft3 capacity)",L18MAB1AC1,WET4024H**,3.4,240.0,,Yes,3.27,No,No
Whirlpool,"Vented Electric, Compact (240V) (less than 4.4 ft3 capacity)",L18MAB1AC2,WET4024H**,3.4,240.0,,Yes,3.27,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18YAC1AE0,WETLV27H**,5.9,240.0,,Yes,3.73,No,No
Whirlpool,Vented Gas,L16QAG1AJ3,WGD4916F**,7.0,,22020.0,Yes,3.3,No,No
Whirlpool,Vented Gas,L16QAG1AJ4,WGD4616F**,7.0,,21706.0,Yes,3.3,No,No
Whirlpool,Vented Gas,L16QAG1AJ5,WGD4916F**,7.0,,21928.0,Yes,3.3,No,No
Whirlpool,Vented Gas,L14DAG1AJ3,WGD7300D**,7.0,,21766.0,Yes,3.3,No,No
Whirlpool,Vented Gas,L14DAG1AJ4,WGD7300D**,7.0,,21886.0,Yes,3.3,No,No
Whirlpool,Vented Gas,L14DAG1AJ5,WGD7300D**,7.0,,21714.0,Yes,3.3,No,No
Whirlpool,Vented Gas,L14DAG1AJ6,WGD7300D**,7.0,,21849.0,Yes,3.3,No,No
Whirlpool,Vented Gas,L14DAG1AJ8,WGD7300D**,7.0,,21657.0,Yes,3.3,No,No
Whirlpool,Vented Gas,A18KAC1AH1,WGT4027H**,5.9,,15980.0,Yes,3.3,No,No
Whirlpool,Vented Gas,A17E2AI1AI1,WGD7500G**,7.4,,20694.0,Yes,3.3,No,No
Whirlpool,Vented Gas,L14QAG1AJ4,WGD5000D**,7.0,,22506.0,Yes,3.3,No,No
Whirlpool,Vented Gas,A16XAI1AI1,WGD7590F**,7.4,,20317.0,Yes,3.3,No,No
Whirlpool,"Ventless Electric, Combination Washer-Dryer",C18JAR15AN0,WFW862CH**,4.3,120.0,,Yes,2.08,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L18QAG1AG0,WED4950H**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L18QAG1AG1,WED4950H**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L18QAG1AG2,WED4950H**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L18QAG1AG3,WED4850H**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L18QAG1AG5,WED4950H**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,Vented Gas,A14CAL1AI3,WGD8000D**,8.8,,20329.0,Yes,3.3,No,No
Whirlpool,Vented Gas,A14CAL1AI5,WGD8000D**,8.8,,20144.0,Yes,3.3,No,No
Amana,Vented Gas,A14ADH1AI1,NGD5800D**,7.3,,19700.0,Yes,3.3,No,No
Maytag,Vented Gas,L14CBL1AJ3,MGDB835D**,8.8,,20614.0,Yes,3.3,No,No
Maytag,Vented Gas,L14CBL1AJ3,MGDB855D**,8.8,,20614.0,Yes,3.3,No,No
Maytag,Vented Gas,L14CBL1AJ4,MGDB835D**,8.8,,20098.0,Yes,3.3,No,No
Maytag,Vented Gas,L14CBL1AJ4,MGDB855D**,8.8,,20098.0,Yes,3.3,No,No
Maytag,Vented Gas,L14CBL1AJ5,MGDB835D**,8.8,,20615.0,Yes,3.3,No,No
Whirlpool,Vented Gas,A16AAI1AI3,WGD90HEF**,7.4,,20265.0,Yes,3.3,No,No
Whirlpool,Vented Gas,A16AAI1AI3,WGD92HEFB**,7.4,,20265.0,Yes,3.3,No,No
Whirlpool,Vented Gas,A16AAI1AI5,WGD90HEF**,7.4,,20426.0,Yes,3.3,No,No
Whirlpool,Vented Gas,A16AAI1AI5,WGD92HEF**,7.4,,20426.0,Yes,3.3,No,No
Whirlpool,Vented Gas,A16AAI1AI5,WGD85HEF**,7.4,,20426.0,Yes,3.3,No,No
Maytag,Vented Gas,A16ABI1AI3,MGD3500F**,7.4,,20209.0,Yes,3.3,No,No
Maytag,Vented Gas,A16ABI1AI4,MGD3500F**,7.4,,20306.0,Yes,3.3,No,No
Maytag,Vented Gas,A16ABI1AI4,MGD5500F**,7.4,,20306.0,Yes,3.3,No,No
Maytag,Vented Gas,A16ABI1AI5,MGD3500F**,7.4,,20217.0,Yes,3.3,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A17E2AI1AG1,WED7500G**,7.4,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A17E2AI1AG3,WED7500G**,7.4,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18KAC1AE1,WET4027H**,5.9,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Compact (120V) (less than 4.4 ft3 capacity)",L03NAA1AA2,LDR3822P**,3.3,120.0,,Yes,3.61,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L13QAG1AG6,WED49STB**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L14DAG1AG6,WED7000D**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L14DAG1AG7,WED7000D**,7.0,240.0,,Yes,3.73,No,No
Kenmore,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L14DCG1AG5,6713*41*,7.0,240.0,,Yes,3.73,No,No
Kenmore,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L14DCG1AG6,6613*41*,7.0,240.0,,Yes,3.73,No,No
Kenmore,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L14DCG1AG7,6713*41*,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L14QAG1AG5,WED5000D**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L14QAG1AG8,WED5000D**,7.0,240.0,,Yes,3.73,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L14QBG1AG7,MEDC555D**,7.0,240.0,,Yes,3.73,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L14QBG1AG7,MEDX655D**,7.0,240.0,,Yes,3.73,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L14QBG1AG8,MEDX655D**,7.0,240.0,,Yes,3.73,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L14QBG1AG10,MEDX655D**,7.0,240.0,,Yes,3.73,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L14QBG1AG11,MEDC555D**,7.0,240.0,,Yes,3.73,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L14QBG1AG11,MEDX655D**,7.0,240.0,,Yes,3.73,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L14QBG1AG12,MEDX655D**,7.0,240.0,,Yes,3.73,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L14QBG1AG14,MEDC555D**,7.0,240.0,,Yes,3.73,No,No
Maytag,Vented Gas,L14QBG1AJ3,MGDX655D**,7.0,,22308.0,Yes,3.3,No,No
Maytag,Vented Gas,L14QBG1AJ4,MGDC555D**,7.0,,21870.0,Yes,3.3,No,No
Kenmore,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L14QCG1AG5,6513*41+,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15QAG1AG9,WED4810E**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15QAG1AG9,WED4815E**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15QAG1AG10,WED4815E**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15QAG1AG11,WED4815E**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15QAG1AG12,WED4810E**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15QAG1AG13,WED4815E**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15QAG1AG15,WED4915E**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15QAG1AG16,WED4810E**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15QAG1AG16,WED4915E**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,Vented Gas,L15QAG1AJ4,WGD4915E**,7.0,,21848.0,Yes,3.3,No,No
Whirlpool,Vented Gas,L15QAG1AJ5,WGD4815E**,7.0,,21915.0,Yes,3.3,No,No
Whirlpool,Vented Gas,L15QAG1AJ6,WGD4915E**,7.0,,21874.0,Yes,3.3,No,No
Whirlpool,Vented Gas,L15QAG1AJ6,WGD4810E**,7.0,,21874.0,Yes,3.3,No,No
Whirlpool,Vented Gas,L15QAG1AJ7,WGD4815E**,7.0,,21648.0,Yes,3.3,No,No
Whirlpool,Vented Gas,L15QAG1AJ7,WGD4915E**,7.0,,21648.0,Yes,3.3,No,No
Whirlpool,Vented Gas,L15QAG1AJ8,WGD4915E**,7.0,,21732.0,Yes,3.3,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15QBG1AG8,MEDC215E**,7.0,240.0,,Yes,3.73,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15QBG1AG9,MEDC415E**,7.0,240.0,,Yes,3.73,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15QBG1AG10,MEDC415E**,7.0,240.0,,Yes,3.73,No,No
Kenmore,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15QCG1AG3,6233*51+,7.0,240.0,,Yes,3.73,No,No
Kenmore,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15QCG1AG3,6234*51+,7.0,240.0,,Yes,3.73,No,No
