Brand_Name_s__s,Product_Group_Code_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Cooling_Capacity__BTU_Hour__d,Electrical_Power_Input__Watts__d,Combined_Energy_Efficiency_Ratio_d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s,Link_to_FTC_EnergyGuide_Label_s,individual_model_number_modified
GE,"(12) With reverse cycle, without louvered sides, and less than 14,000 Btu/h",AJHQ12DWH** (208V),AJHQ12DWH**,11100.0,1140.0,9.6,No,No,http://www.geappliances.com/ge/service-and-support/literature.htm,AJHQ12DWH..
GE,"(12) With reverse cycle, without louvered sides, and less than 14,000 Btu/h",AJHQ12DWH** (230V),AJHQ12DWH**,11500.0,1160.0,9.6,No,No,http://www.geappliances.com/ge/service-and-support/literature.htm,AJHQ12DWH..
GE,"(9) Without reverse cycle, without louvered sides, and 14,000 to 19,999 Btu/h",AJEQ14DWH** (230),AJEQ14DWH**,14200.0,1470.0,9.3,No,No,http://www.geappliances.com/ge/service-and-support/literature.htm,AJEQ14DWH..
GE,"(8b) Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",AJEQ12DWH** (208),AJEM12DWH**,11700.0,1130.0,9.5,No,No,http://www.geappliances.com/ge/service-and-support/literature.htm,AJEM12DWH..
GE,"(8b) Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",AJEQ12DWH** (208),AJEQ12DWH**,11700.0,1130.0,9.5,No,No,http://www.geappliances.com/ge/service-and-support/literature.htm,AJEQ12DWH..
GE,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",AJEQ10DWH** (208),AJEQ10DWH**,9900.0,910.0,9.6,No,No,http://www.geappliances.com/ge/service-and-support/literature.htm,AJEQ10DWH..
GE,"(9) Without reverse cycle, without louvered sides, and 14,000 to 19,999 Btu/h",AJCQ14DWH** (208),AJCQ14DWH**,14000.0,1430.0,9.5,No,No,http://www.geappliances.com/ge/service-and-support/literature.htm,AJCQ14DWH..
GE,"(8b) Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",AJCQ12DWH** (208),AJCM12DWH**,11900.0,1070.0,10.5,No,No,http://www.geappliances.com/ge/service-and-support/literature.htm,AJCM12DWH..
GE,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",AJCQ10DWH** (208),AJCM10DWH**,9900.0,920.0,10.6,No,No,http://www.geappliances.com/ge/service-and-support/literature.htm,AJCM10DWH..
GE,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",AJCQ10AWH**,AJCM10AWH**,10100.0,920.0,10.6,No,No,http://www.geappliances.com/ge/service-and-support/literature.htm,AJCM10AWH..
GE,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",AKEQ10DCH** (230),AKEQ10DCH**,10100.0,960.0,9.6,No,No,http://www.geappliances.com/ge/service-and-support/literature.htm,AKEQ10DCH..
Frigidaire,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",FFRA121ZAE,FFRA121ZAE,12100.0,1100.0,10.9,No,No,https://na2.electroluxmedia.com/Original/Electrolux/Electrolux%20Assets/Document/Energy%20Guide/FFRA121ZAE_EG.pdf,FFRA121ZAE
Frigidaire,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",FFRA081ZAE,FFRA081ZAE,8000.0,730.0,10.9,No,No,https://na2.electroluxmedia.com/Original/Electrolux/Electrolux%20Assets/Document/Energy%20Guide/FFRA081ZAE_EG.pdf,FFRA081ZAE
Frigidaire,"(2) Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",FFRA062ZA1,FFRA062ZA1,6000.0,540.0,11.0,No,No,https://na2.electroluxmedia.com/Original/Electrolux/Electrolux%20Assets/Document/Energy%20Guide/FFRA062ZA1_EG.pdf,FFRA062ZA1
Frigidaire,"(2) Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",FFRA061ZAE,FFRA061ZAE,6000.0,540.0,11.0,No,No,https://na2.electroluxmedia.com/Original/Electrolux/Electrolux%20Assets/Document/Energy%20Guide/FFRA061ZAE_EG.pdf,FFRA061ZAE
Frigidaire,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",FFRA122ZA1,FFRA122ZA1,12100.0,1100.0,10.9,No,No,https://na2.electroluxmedia.com/Original/Electrolux/Electrolux%20Assets/Document/Energy%20Guide/FFRA122ZA1_EG.pdf,FFRA122ZA1
Frigidaire,"(9) Without reverse cycle, without louvered sides, and 14,000 to 19,999 Btu/h",FFTH1422U2,FFTH1422U2 (230V),14100.0,1510.0,9.3,No,No,https://na2.electroluxmedia.com/Original/Electrolux/Electrolux%20Assets/Document/Energy%20Guide/FFTH1422U_EG.pdf,FFTH1422U2 
Frigidaire,"(8b) Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",FFTH1222U2,FFTH1222U2 (230V),12000.0,1250.0,9.5,No,No,https://na2.electroluxmedia.com/Original/Electrolux/Electrolux%20Assets/Document/Energy%20Guide/FFTH1222U_EG.pdf,FFTH1222U2 
Frigidaire,"(9) Without reverse cycle, without louvered sides, and 14,000 to 19,999 Btu/h",FFTA1422U2,FFTA1422U2 (208V),14000.0,1500.0,9.3,No,No,https://na2.electroluxmedia.com/Original/Electrolux/Electrolux%20Assets/Document/Energy%20Guide/FFTA1422U_EG.pdf,FFTA1422U2 
Frigidaire,"(8b) Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",FFTA1233U2,FFTA1233U2 (208V),12000.0,1130.0,10.5,No,No,https://na2.electroluxmedia.com/Original/Electrolux/Electrolux%20Assets/Document/Energy%20Guide/FFTA1233U2_EG.pdf,FFTA1233U2 
Frigidaire,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",FFTA1033U2,FFTA1033U2 (208V),9800.0,910.0,10.6,No,No,https://na2.electroluxmedia.com/Original/Electrolux/Electrolux%20Assets/Document/Energy%20Guide/FFTA1033U2_EG.pdf,FFTA1033U2 
Frigidaire,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",FFTA1033U1,FFTA1033U1,10000.0,930.0,10.6,No,No,https://na2.electroluxmedia.com/Original/Electrolux/Electrolux%20Assets/Document/Energy%20Guide/FFTA1033U1_EG.pdf,FFTA1033U1
Frigidaire,"(5b) Without reverse cycle, with louvered sides, and 28,000 Btu/h or more",FFRA2822U2,FFRA2822U2 (208V),28000.0,3100.0,9.0,No,No,https://na2.electroluxmedia.com/Original/Electrolux/Electrolux%20Assets/Document/Energy%20Guide/FFRA2822U_EG.pdf,FFRA2822U2 
Frigidaire,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",FFRE2533U2,FFRE2533U2E (208V),24600.0,2380.0,10.3,No,No,https://na2.electroluxmedia.com/Original/Electrolux/Electrolux%20Assets/Document/Energy%20Guide/FFRE2533U2E_EG.pdf,FFRE2533U2E 
Frigidaire,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",FFRE2533U2,FFRE2533U2 (208V),24600.0,2380.0,10.3,No,No,https://na2.electroluxmedia.com/Original/Electrolux/Electrolux%20Assets/Document/Energy%20Guide/FFRE2533U_EG.pdf,FFRE2533U2 
Frigidaire,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",FFRE2233U2,FFRE2233U2E (208V),21600.0,2080.0,10.3,No,No,https://na2.electroluxmedia.com/Original/Electrolux/Electrolux%20Assets/Document/Energy%20Guide/FFRE2233U2E_EG.pdf,FFRE2233U2E 
Frigidaire,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",FFRE1833U2,FFRE1833U2E (208V),17600.0,1470.0,11.8,No,No,https://na2.electroluxmedia.com/Original/Electrolux/Electrolux%20Assets/Document/Energy%20Guide/FFRE1833U2E_EG.pdf,FFRE1833U2E 
Frigidaire,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",FFRE1833U2,FFRE1833U2 (208V),17600.0,1470.0,11.8,No,No,https://na2.electroluxmedia.com/Original/Electrolux/Electrolux%20Assets/Document/Energy%20Guide/FFRE1833U_EG.pdf,FFRE1833U2 
