ENERGY STAR Unique ID,Brand Name,Model Name,Model Number,Additional Model Information,UPC,Product Type,Fuel Type,Special Type,Heat Pump Technology,Voltage (V),Drum Capacity (cu-ft),Height (inches),Width (inches),Depth (inches),Combined Energy Factor (CEF),Estimated Annual Energy Use (kWh/yr),Estimated Energy Test Cycle Time (min),Energy Test Cycle Information,Additional Dryer Features,Vented or Ventless,Refrigerant Type,Refrigerant with GWP,Connected,Connects Using,Communication Standard - Application Layer,Direct on-premises Open-standard Based Interconnection,Calculated Combined Energy Factor - Max Dryness Setting (lbs/kWh),Paired ENERGY STAR Clothes Washer Available,Paired ENERGY STAR Clothes Washer ENERGY STAR Model Identifier,Date Available on Market,Date Certified,Markets,CB Model Identifier,Meets ENERGY STAR Most Efficient 2023 Criteria
2341250,GE,M74G_4_NA,GTD84GC*N***,",GTD84GCMNDG,; ,GTD84GCMNWS,",757638360449,Gas Standard Vented,Gas,,,,7.4,48,27,30.5,3.48,687,68,"COTTONS NORMAL WITH THE DEFAULT ECODRY ON, TEMP - LOW, DRYNESS LEVEL - DRY","Sanitization cycle,Wrinkle prevention option,Time remaining display",Vented,,,No,,,,,Yes,"ES_1123206_GTW840C*N***_07122019153001_5401808, ES_1123206_GTW845C*N***_07312019132316_9396106",07/15/2019,07/10/2019,Canada,ES_1123206_GTD84GC*N***_07162019135324_5204393,No
2330573,GE,M60E_1_N,GUD27EE*N***,",GUD27EESNWW,",084691844198,Electric Standard Vented,Electric,,,,6,75.88,26.75,30.88,3.93,608,64,COTTONS MEDIUM DRY WITH THE DEFAULT EDRY ON,Wrinkle prevention option,Vented,,,No,,,,,,,12/10/2018,11/30/2018,United States,ES_1123206_GUD27EE*N***_12032018135702_5422248,No
2330574,GE,M60E_1_N,GUD27EE*N***,",GUD27EEMNWW,",757638359115,Electric Standard Vented,Electric,,,,6,75.88,26.75,30.88,3.93,608,64,COTTONS MEDIUM DRY WITH THE DEFAULT EDRY ON,Wrinkle prevention option,Vented,,,No,,,,,,,12/10/2018,11/30/2018,Canada,ES_1123206_GUD27EE*N***_12032018135645_5405637,No
2428063,GE,M60E_1_V,GUD27EE*V***,",GUD27EEPVDG,Diamond Gray",084691929970,Electric Standard Vented,Electric,Laundry Center,,,6,75.5,26.8,30.9,3.93,608,66,"Cottons with the default E-Dry On, Dryness level - Medium Dry",Time remaining display,Vented,,,No,,,,,Yes,ES_1123206_GUD27EE*V***_031320231800464_7159158,03/20/2023,03/16/2023,United States,ES_1123206_GUD27EE*V***_031420231629183_9232754,No
2330576,GE,M60G_4_N,GUD27GE*N***,",GUD27GESNWW,",084691844181,Gas Standard Vented,Gas,,,,6,75.88,26.75,30.88,3.48,687,63,COTTONS MEDIUM DRY WITH THE DEFAULT EDRY ON,Wrinkle prevention option,Vented,,,No,,,,,,,12/10/2018,11/30/2018,United States,ES_1123206_GUD27GE*N***_12032018143509_7709976,No
2330572,GE,M60E_1_N,GUD37EE*N***,",GUD37EEMNDG,",757638359122,Electric Standard Vented,Electric,,,,6,75.88,26.75,30.88,3.93,608,64,COTTONS MEDIUM DRY WITH THE DEFAULT EDRY ON,Wrinkle prevention option,Vented,,,No,,,,,,,12/10/2018,11/30/2018,Canada,ES_1123206_GUD37EE*N***_12032018135740_5460966,No
2399486,GE,GUD57EE*T***,GUD57EE*T***,,757638361606,Electric Standard Vented,Electric,,,,6,75.5,26.8,30.85,3.93,608,66,"Cottons, Medium Dry, E-Dry","Sanitization cycle,Time remaining display",Vented,,,No,,,,,Yes,ES_92277_GUD57EE*****_072120221855923_4316951,08/01/2022,07/26/2022,Canada,ES_92277_GUD57EE*****_072120221855923_6493542,No
2390477,GE Profile,G78E_1_T,PFD95ES*T***,",PFD95ESPTDS,Black Slate",084691891871,Electric Standard Vented,Electric,,,,7.8,39.75,28,32,3.93,608,74,"Cottons with the default ecoDry on, Temp - High, Dryness Level - Dry","Sanitization cycle,Filter cleaning indicator,Steam cycle,Drum light,Wrinkle prevention option,Time remaining display",Vented,,,No,,,,,Yes,"ES_1123206_GFW850S*N***_09182019105700_4220025,ES_1123206_PFW950S*T***_120620211047758_5190619,ES_1123206_GFW650S*N***_09122019155821_3901966",01/17/2022,01/13/2022,"United States, Canada",ES_1123206_PFD95ES*T***_011120221607693_8110382,No
2390482,GE Profile,G78G_4_T,PFD95GS*T***,",PFD95GSPTDS,",084691891864,Gas Standard Vented,Gas,,,,7.8,39.75,28,32,3.48,687,72,"Cottons, eco Dry default on, High Temp, Dry Dryness","Sanitization cycle,Filter cleaning indicator,Steam cycle,Drum light,Wrinkle prevention option,Time remaining display",Vented,,,No,,,,,Yes,"ES_1123206_GFW850S*N***_09182019105700_4220025,ES_1123206_PFW950S*T***_120620211047758_5190619,ES_1123206_GFW650S*N***_09122019155821_3901966",01/17/2022,01/13/2022,United States,ES_1123206_PFD95GS*T***_011320221757253_3945997,No
2381427,GE Profile,M74E_1_R,PTD60EB*R***,",PTD60EBMRDG,Color: Diamond Gray; ,PTD60EBMRWS,Color: White; ,PTD60EBPRDG,Color: Diamond Gray; ,PTD60EBSRWS,Color: White",084691871033;084691871040;757638372596;757638372602,Electric Standard Vented,Electric,,,,7.4,46,27,31,3.93,608,59,"Normal Cottons, Temperature - Hot, Dryness Level -Dry, ecoDry","Filter cleaning indicator,Drum light,Wrinkle prevention option,Time remaining display",Vented,,,No,,,,,Yes,"ES_1123206_PTW605B*R***_08032021101799_6106607,ES_1123206_PTW600B*R***_080320211017334_5509164",07/05/2021,07/01/2021,"United States, Canada",ES_1123206_PTD60EB*R***_062920211646654_6575553,No
2381428,GE Profile,M74G_4_R,PTD60GB*R***,",PTD60GBPRDG,Color: Diamond Gray; ,PTD60GBSRWS,Color: White",084691875352;084691875369,Gas Standard Vented,Gas,,,,7.4,46,27,31,3.48,687,71,"Normal Cottons, Temperature - Hot, Dryness Level -Dry, ecoDry","Filter cleaning indicator,Drum light,Wrinkle prevention option,Time remaining display",Vented,,,No,,,,,Yes,"ES_1123206_PTW605B*R***_08032021101799_6106607,ES_1123206_PTW600B*R***_080320211017334_5509164",07/05/2021,07/01/2021,"United States, Canada",ES_1123206_PTD60GB*R***_062920211716333_3715946,No
2389049,GE Profile,M74E_1_T,PTD70EB*T***,",PTD70EBPTDG,Diamond Gray; ,PTD70EBPTRS,Sapphire Blue; ,PTD70EBSTWS,White",084691880936;084691880943;084691903765,Electric Standard Vented,Electric,,,,7.4,43.88,27,31,3.93,608,59,"Normal Cottons, ecoDry default on, Hot Temp, Dry dryness","Sanitization cycle,Filter cleaning indicator,Steam cycle,Drum light,Wrinkle prevention option,Time remaining display",Vented,,,No,,,,,,,12/14/2021,12/09/2021,United States,ES_1123206_PTD70EB*T***_120820211148933_7618023,No
2391546,GE Profile,M74E_1_T,PTD70EB*T***,",PTD70EBMTDG,Diamond Gray; ,PTD70EBMTRS,Sapphire Blue; ,PTD70EBMTWS,White",757638372619;757638372626,Electric Standard Vented,Electric,,,,7.4,43.88,27,31,3.93,608,59,"Normal Cottons, ecoDry default on, Hot Temp, Dry dryness","Sanitization cycle,Filter cleaning indicator,Steam cycle,Drum light,Wrinkle prevention option,Time remaining display",Vented,,,No,,,,,,,12/14/2021,12/09/2021,Canada,ES_1123206_PTD70EB*T***_012020221610314_6625451,No
2394406,GE,G78G_4_NA,GFD55GS*R***,",GFD55GSPRRS,Sapphire Blue",084691881209,Gas Standard Vented,Gas,,,,7.8,39.75,28,32,3.48,687,71,"Cottons, eco Dry default on, High Temp, Dry Dryness TEMP - LOW, DRYNESS LEVEL - DRY","Sanitization cycle,Filter cleaning indicator,Drum light,Time remaining display,Wrinkle prevention option",Vented,,,No,,,,,Yes,"ES_1123206_GFW550S*N***_11212019143018_6618069,ES_1123206_GFW550S*R***_120620210917635_3407642,ES_1123206_GFW510S*N***_12182019134400_6640243",01/17/2022,02/11/2020,"United States, Canada",ES_1123206_GFD55GS*R***_040520221932359_1355607,No
2348646,GE,G78E_1_N,GFD65ES*N***,"G78E_1_N,GFD65ESMNSN,Color: Nickel; UPC 084691848196; G78E_1_N,GFD65ESMNWW,Color: White; UPC 084691854203",084691854203,Electric Standard Vented,Electric,,,,7.8,39.75,28,31.38,3.93,608,72,"COTTONS WITH THE DEFAULT ECODRY ON, TEMP - LOW, DRYNESS LEVEL - DRY","Sanitization cycle,Filter cleaning indicator,Steam cycle,Drum light,Time remaining display,Wrinkle prevention option",Vented,,,No,,,,,Yes,ES_1123206_GFW650S*N***_09122019155821_3901966,10/21/2019,10/17/2019,"United States, Canada",ES_1123206_GFD65ES*N***_10172019151040_5040437,No
2348647,GE,G78E_1_T,GFD65ES*N***,",GFD65ESMNSN,Satin NIckel; ,GFD65ESMNWW,White",084691854203,Electric Standard Vented,Electric,,,,7.8,39.75,28,32,3.93,608,74,"Cottons with eco Dry default on, High Temp, Dry Dryness","Sanitization cycle,Filter cleaning indicator,Steam cycle,Drum light,Wrinkle prevention option,Time remaining display",Vented,,,No,,,,,Yes,"ES_1123206_GFW850S*N***_09182019105700_4220025,ES_1123206_PFW950S*T***_120620211047758_5190619,ES_1123206_GFW650S*N***_09122019155821_3901966",01/17/2022,01/13/2022,Canada,ES_1123206_GFD65ES*N***_10172019150732_4852672,No
2390484,GE,G78E_1_T,GFD65ES*N***,",GFD65ESPNSN,Satin Nickel; ,GFD65ESSNWW,White",084691848127;084691848202,Electric Standard Vented,Electric,,,,7.8,39.75,28,32,3.93,608,74,"Cottons with eco Dry default on, High Temp, Dry Dryness","Sanitization cycle,Filter cleaning indicator,Steam cycle,Drum light,Wrinkle prevention option,Time remaining display",Vented,,,No,,,,,Yes,"ES_1123206_GFW850S*N***_09182019105700_4220025,ES_1123206_PFW950S*T***_120620211047758_5190619,ES_1123206_GFW650S*N***_09122019155821_3901966",01/17/2022,01/13/2022,United States,ES_1123206_GFD65ES*N***_011320221706596_7451464,No
2351122,GE,G78G_4_T,GFD65GS*N***,",GFD65GSPNSN,Satin Nickel; ,GFD65GSSNWW,Color: White",084691848257;084691848264,Gas Standard Vented,Gas,,,,7.8,39.75,28,32,3.48,687,72,"Cottons, eco Dry default on, High Temp, Dry Dryness","Sanitization cycle,Filter cleaning indicator,Steam cycle,Drum light,Time remaining display,Wrinkle prevention option",Vented,,,No,,,,,Yes,"ES_1123206_GFW850S*N***_09182019105700_4220025,ES_1123206_PFW950S*T***_120620211047758_5190619,ES_1123206_GFW650S*N***_09122019155821_3901966",01/17/2022,01/13/2022,"United States, Canada",ES_1123206_GFD65GS*N***_12112019174425_6265564,No
2348645,GE,G78E_1_T,GFD85ES*N***,",GFD85ESMNDG,Diamond Gray; ,GFD85ESMNRS,Sapphire Blue; ,GFD85ESMNWW,White",,Electric Standard Vented,Electric,,,,7.8,39.75,28,32,3.93,608,74,"Cottons with eco Dry default on, High Temp, Dry Dryness","Sanitization cycle,Filter cleaning indicator,Steam cycle,Drum light,Wrinkle prevention option,Time remaining display",Vented,,,No,,,,,Yes,"ES_1123206_GFW850S*N***_09182019105700_4220025,ES_1123206_PFW950S*T***_120620211047758_5190619,ES_1123206_GFW650S*N***_09122019155821_3901966",01/17/2022,01/13/2022,Canada,ES_1123206_GFD85ES*N***_10172019150044_4444982,No
2390485,GE,G78E_1_T,GFD85ES*N***,",GFD85ESPNDG,Diamond Gray; ,GFD85ESPNRS,Sapphire Blue; ,GFD85ESPNSN,Satin Nickel; ,GFD85ESSNWW,White",084691848172;084691848189;084691848219,Electric Standard Vented,Electric,,,,7.8,39.75,28,32,3.93,608,74,"Cottons with eco Dry default on, High Temp, Dry Dryness","Sanitization cycle,Filter cleaning indicator,Steam cycle,Drum light,Wrinkle prevention option,Time remaining display",Vented,,,No,,,,,Yes,"ES_1123206_GFW850S*N***_09182019105700_4220025,ES_1123206_PFW950S*T***_120620211047758_5190619,ES_1123206_GFW650S*N***_09122019155821_3901966",01/17/2022,01/13/2022,United States,ES_1123206_GFD85ES*N***_011320221657346_9257782,No
2351123,GE,G78G_4_T,GFD85GS*N***,",GFD85GSPNDG,Color: Diamond Gray; ,GFD85GSPNRS,Color: Sapphire Blue; ,GFD85GSSNWW,Color: White",084691848233,Gas Standard Vented,Gas,,,,7.8,39.75,28,32,3.48,687,72,"Cottons, eco Dry default on, High Temp, Dry Dryness","Sanitization cycle,Filter cleaning indicator,Steam cycle,Drum light,Time remaining display,Wrinkle prevention option",Vented,,,No,,,,,Yes,"ES_1123206_GFW850S*N***_09182019105700_4220025,ES_1123206_PFW950S*T***_120620211047758_5190619,ES_1123206_GFW650S*N***_09122019155821_3901966",01/17/2022,01/13/2022,"United States, Canada",ES_1123206_GFD85GS*N***_12112019174131_6091607,No
2325052,GE,H41E_5_M,GFT14ES*M***,"GFT14ES*M***,GFT14ESSMWW,Color: White / White",084691826668,Electric Compact Ventless 240V,Electric,,,240,4.1,33.25,23.44,25.25,2.68,317,30,"COTTONS CYCLE WITH THE DEFAULT TEMPERATURE SETTING OF HIGH, DRYNESS SETTING OF DRY, AND DEFAULT EDRY ON","Drum light,Time remaining display",Ventless,,,No,,,,,Yes,ES_1123206_GFW148S*M***_08272018155407_5247195,09/03/2018,08/29/2018,United States,ES_1123206_GFT14ES*M***_08292018161048_9048548,No
2325053,GE,H41E_5_M,GFT14JS*M***,"GFT14JS*M***,GFT14JSIMWW,Color: White / White",084691839118,Electric Compact Ventless 240V,Electric,,,240,4.1,33.25,23.44,25.25,2.68,317,30,"COTTONS CYCLE WITH THE DEFAULT TEMPERATURE SETTING OF HIGH, DRYNESS SETTING OF DRY, AND DEFAULT EDRY ON","Drum light,Time remaining display",Ventless,,,No,,,,,Yes,ES_1123206_GFW148S*M***_08272018155407_5247195,09/03/2018,08/29/2018,Canada,ES_1123206_GFT14JS*M***_08292018161132_9092151,No
2356218,GE,G78E_1_NB,GFV55ES*N***,"G78E_1_NB,GFV55ESPNDG,; G78E_1_NB,GFV55ESSNWW,",084691848165,Electric Standard Vented,Electric,,,,7.8,39.75,28,31.38,3.93,608,71,"COTTONS WITH THE DEFAULT ECODRY ON, TEMP - LOW, DRYNESS LEVEL - DRY","Sanitization cycle,Filter cleaning indicator,Drum light,Wrinkle prevention option,Time remaining display",Vented,,,No,,,,,Yes,"ES_1123206_GFW550S*N***_11212019143018_6618069, ES_1123206_GFW510S*N***_12182019134400_6640243",03/16/2020,03/11/2020,United States,ES_1123206_GFV55ES*N***_03112020143551_7351317,No
2356219,GE,G78E_1_NB+,GFV55ES*N***,",GFV55ESMNDG,Color: Diamond Gray; ,GFV55ESMNWW,Color: White",,Electric Standard Vented,Electric,,,,7.8,39.75,28,32,3.93,608,73,"Cottons, eco Dry default on, High Temp, Dry Dryness","Sanitization cycle,Filter cleaning indicator,Drum light,Time remaining display,Wrinkle prevention option",Vented,,,No,,,,,Yes,"ES_1123206_GFW510S*N***_12182019134400_6640243,ES_1123206_GFW550S*N***_11212019143018_6618069, ES_1123206_GFW510S*N***_12182019134400_6640243",01/17/2022,01/13/2022,Canada,ES_1123206_GFV55ES*N***_03112020143611_7371251,No
2406303,LG,SWWG50*3,SWWG50*3,,195174054420,Gas Standard Vented,Gas,Laundry Center,,,7.4,38.69,27,30,3.49,685,70,"Normal, Normal Dry","Wrinkle prevention option,Time remaining display",Vented,,,No,,,,,Yes,ES_1118034_SWWG50*3_12202022042200_80153530,12/22/2022,12/21/2022,"United States, Canada",ES_1118034_SWWG50*3_12232022024145_80153533,No
2371304,LG,WKE100H*A,WKE100H*A,,048231029353;048231029360,Electric Standard Vented,Electric,Laundry Center,,,7.4,38.69,27,30,3.94,607,56,Normal_Normal Dry,"Wrinkle prevention option,Time remaining display",Vented,,,No,,,,,Yes,ES_1118034_WKE100H*A_12182020052311_80067043,12/21/2020,12/21/2020,"United States, Canada",ES_1118034_WKE100H*A_12232020105737_80067043,No
2361585,LG,WKEX200H*A,WKEX200H*A,,048231028462;048231028486,Electric Standard Vented,Electric,Laundry Center,,,7.4,38.69,27,30,3.94,607,57,Normal_Normal Dry,"Steam cycle,Wrinkle prevention option,Time remaining display",Vented,,,No,,,,,Yes,ES_1118034_WKEX200H*A_06122020035054_80046328,06/19/2020,06/12/2020,United States,ES_1118034_WKEX200H*A_06122020035411_80046329,No
2406300,LG,WKEX300H*A,WKEX300H*A,,195174048481,Electric Standard Vented,Electric,Laundry Center,,,7.4,38.69,27,30,3.94,607,57,"Normal, Normal Dry","Wrinkle prevention option,Time remaining display",Vented,,,No,,,,,Yes,ES_1118034_WKEX300H*A_12202022042200_80153530,12/22/2022,12/21/2022,"United States, Canada",ES_1118034_WKEX300H*A_12232022024145_80153533,No
2371305,LG,WKG101H*A,WKG101H*A,,048231029377;048231029384,Gas Standard Vented,Gas,Laundry Center,,,7.4,38.69,27,30,3.49,685,70,Normal_Normal Dry,"Wrinkle prevention option,Time remaining display",Vented,,,No,,,,,Yes,ES_1118034_WKG101H*A     _12182020052311_80067043,12/21/2020,12/21/2020,"United States, Canada",ES_1118034_WKG101H*A_12232020105737_80067043,No
2361586,LG,WKGX201H*A,WKGX201H*A,,048231029254;048231029261,Gas Standard Vented,Gas,Laundry Center,,,7.4,38.69,27,30,3.49,685,70,Normal_Normal Dry,"Steam cycle,Wrinkle prevention option,Time remaining display",Vented,,,No,,,,,Yes,ES_1118034_WKGX201H*A_06122020035054_80046328,06/19/2020,06/12/2020,United States,ES_1118034_WKGX201H*A_06122020035411_80046329,No
2406302,LG,WKGX301H*A,WKGX301H*A,,195174048498,Gas Standard Vented,Gas,Laundry Center,,,7.4,38.69,27,30,3.49,685,70,"Normal, Normal Dry","Wrinkle prevention option,Time remaining display",Vented,,,No,,,,,Yes,ES_1118034_WKGX301H*A_12202022042200_80153530,12/22/2022,12/21/2022,"United States, Canada",ES_1118034_WKGX301H*A_12232022024145_80153533,No
2394238,LG,WKHC202H*A,WKHC202H*A,,195174022887;195174033517,Electric Standard Ventless,Electric,Laundry Center,Heat Pump,,7.2,38.69,27,30,8,299,72,Normal_Normal Dry,"Wrinkle prevention option,Time remaining display",Ventless,R-134a,R-134a (GWP:1430),No,,,,9.51,Yes,ES_1118034_WKHC202H*A_03312022111206_80119592,03/31/2022,03/28/2022,"United States, Canada",ES_1118034_WKHC202H*A_03302022123303_80119590,Yes
2364023,LG,WSEX200H*A,WSEX200H*A,,195174000595,Electric Standard Vented,Electric,Laundry Center,,,7.4,38.69,27,30,3.94,607,57,Normal_Normal Dry,"Steam cycle,Wrinkle prevention option,Time remaining display",Vented,,,No,,,,,Yes,ES_1118034_WSEX200H*A_08042020032635_80051503,08/03/2020,07/30/2020,"United States, Canada",ES_1118034_WSEX200H*A_08042020044803_5550000_,No
2364024,LG,WSGX201H*A,WSGX201H*A,,195174000601,Gas Standard Vented,Gas,Laundry Center,,,7.4,38.69,27,30,3.49,685,70,Normal_Normal Dry,"Steam cycle,Wrinkle prevention option,Time remaining display",Vented,,,No,,,,,Yes,ES_1118034_WSGX201H*A    _08042020032635_80051503,08/03/2020,07/30/2020,"United States, Canada",ES_1118034_WSGX201H*A    _08042020044803_5550000_,No
2406417,Magic Chef,MCSDRY24W1,MCSDRY24W1,,66567902002,Electric Compact Ventless 240V,Electric,,,240,4,33.27,23.46,23.97,2.68,317,34,"Normal, Regular Dryness, High Temperature","Sanitization cycle,Filter cleaning indicator,Drum light,Wrinkle prevention option,Time remaining display,Energy monitor/indicator",Ventless,,,No,,,,,Yes,ES_390697_MCSFLW24W1_122120221622646_9405323,01/23/2023,01/04/2023,"United States, Canada",ES_390697_MCSDRY24W1_122120221652101_3654342,No
2409737,Magic Chef,MCSFLD44W,MCSFLD44W,,665679017973,Electric Standard Ventless,Electric,,,,4.5,33.27,23.43,25.2,3.93,608,75,Normal,None,Ventless,,,No,,,,,,,01/13/2023,03/07/2023,United States,ES_1107227_MCSFLD44W_030720230820738_3791261,No
2265515,Maytag,MED3100D*+,MED3100D*+,,,Electric Standard Vented,Electric,,,,7.3,38,27,30,3.93,608,65,"NORMAL CYCLE, ENERGY SAVER, AUTOMATIC TERMINATION, MEDIUM HEAT, NORMAL DRYNESS LEVEL.","Drum light,Time remaining display,Wrinkle prevention option,Steam cycle,Other,Energy monitor/indicator,Sanitization cycle,Filter cleaning indicator",Vented,,,No,,,,,Yes,ES_0022856_MHW3100D*+_02102015015120_70023227,06/01/2016,04/28/2016,United States,ES_22856_MED3100D*+_04282016175229_5949749,No
2265529,Maytag,MED3500FW*,MED3500FW*,,,Electric Standard Vented,Electric,,,,7.4,38,27,31,3.93,608,72,"NORMAL CYCLE, ENERGY SAVER, AUTOMATIC TERMINATION, MEDIUM HEAT, NORMAL DRYNESS LEVEL.","Drum light,Time remaining display,Wrinkle prevention option,Steam cycle,Other,Energy monitor/indicator,Sanitization cycle,Filter cleaning indicator",Vented,,,No,,,,,Yes,ES_0022856_MHW3500F**_12072015113037_70054797,06/01/2016,04/28/2016,United States,ES_22856_MED3500FW*_04282016181802_7482117,No
2265516,Maytag,MED4100D*+,MED4100D*+,,,Electric Standard Vented,Electric,,,,7.3,38,27,30,3.93,608,65,"NORMAL CYCLE, ENERGY SAVER, AUTOMATIC TERMINATION, MEDIUM HEAT, NORMAL DRYNESS LEVEL.","Drum light,Time remaining display,Wrinkle prevention option,Steam cycle,Other,Energy monitor/indicator,Sanitization cycle,Filter cleaning indicator",Vented,,,No,,,,,Yes,ES_0022856_MHW4100D*+_02102015015120_70023227,06/01/2016,04/28/2016,United States,ES_22856_MED4100D*+_04282016175250_5970613,No
