Brand_Name_s__s,Product_Group_Code_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Annual_Energy_Use__Kilowatt_Hours_Year__d,Water_Consumption__Gallons_Cycle__d,Capacity__Number_of_Place_Settings__d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s,Link_to_FTC_EnergyGuide_Label_s,individual_model_number_modified
Fisher & Paykel,Standard size dishwasher,DD24DTX6,DD24DTX6HI1,221.0,3.7,14.0,No,No,https://www.fisherpaykel.com/us/dishwashing/,DD24DTX6HI1
Fisher & Paykel,Standard size dishwasher,DD24D(*)9,DD24DDFTB9N,263.0,3.3,14.0,No,No,https://www.fisherpaykel.com/us/dishwashing/,DD24DDFTB9N
Fisher & Paykel,Standard size dishwasher,DD24D(*)9,DD24DHTI9N,286.0,3.9,14.0,No,No,https://www.fisherpaykel.com/us/dishwashing/,DD24DHTI9N
Fisher & Paykel,Compact dishwasher,DD24S(*)9,DD24SV2T9N,144.0,1.6,7.0,No,No,https://www.fisherpaykel.com/us/dishwashing/,DD24SV2T9N
Fisher & Paykel,Compact dishwasher,DD24S(*)9,DD24SDFTX9N,144.0,1.6,7.0,No,No,https://www.fisherpaykel.com/us/dishwashing/,DD24SDFTX9N
Fisher & Paykel,Compact dishwasher,DD24S(*)9,DD24STI9N,144.0,1.6,7.0,No,No,https://www.fisherpaykel.com/us/dishwashing/,DD24STI9N
Fisher & Paykel,Standard size dishwasher,DD24D(*)9,DD24DDFTX9N,263.0,3.3,14.0,No,No,https://www.fisherpaykel.com/us/dishwashing/,DD24DDFTX9N
Fisher & Paykel,Compact dishwasher,DD24S**9,DD24SCTB9N,151.0,1.8,7.0,No,No,https://www.fisherpaykel.com/us/dishwashing/,DD24SCTB9N
Fisher & Paykel,Compact dishwasher,DD24S**9,DD24SAX9N,151.0,1.8,7.0,No,No,https://www.fisherpaykel.com/us/dishwashing/,DD24SAX9N
Fisher & Paykel,Standard size dishwasher,DD24D**9,DD24DCTW9N,265.0,3.4,14.0,No,No,https://www.fisherpaykel.com/us/dishwashing/,DD24DCTW9N
Fisher & Paykel,Standard size dishwasher,DD24D**9,DD24DAX9,265.0,3.4,14.0,No,No,https://www.fisherpaykel.com/us/dishwashing/,DD24DAX9
KOVA SELECT,Standard size dishwasher,WQP12-7739-US,WQP12-7713I-US,234.0,3.5,10.0,No,No,By annual report date,WQP12-7713I-US
Miele,Standard size dishwasher,PFD 104 SCViXXL,PFD 102i,270.0,3.3,16.0,No,No,https://www.miele.com/,PFD 102i
