Brand Name,energy_per_volume
ECOFLOW,186.9230769230769
Mini Bar,156.8717948717949
White-Westinghouse,129.375
RVISION,111.14973262032086
Danby or Danby Designer,103.92992424242425
Willz,103.2258064516129
DOMETIC,102.88932101766326
IGLOO,100.35524031040987
Antarctic Star,99.21875
Lorell,98.40277777777777
