Brand_Name_s__s,Product_Group_Code_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Cooling_Capacity__BTU_Hour__d,Electrical_Power_Input__Watts__d,Combined_Energy_Efficiency_Ratio_d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s,Link_to_FTC_EnergyGuide_Label_s
Haier,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",QHC18DX** (230V),QHC18DX**,18400.0,1510.0,11.8,No,No,By annual report date
GE,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",AHFK24AAW1 (208V),AHSK24AAW1,23400.0,2340.0,9.8,No,No,By annual report date
GE,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",AHFK24AAW1 (230V),AHFK24AAW1,23900.0,2380.0,9.8,No,No,By annual report date
GE,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",AHFK24AAW1 (230V),AHSK24AAW1,23900.0,2380.0,9.8,No,No,By annual report date
Haier,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",AHC08LYW2,QHNG08AA**,8100.0,690.0,11.4,No,No,By annual report date
GE Profile,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",AHTR12ACH2,AHTR12ACH2,12200.0,1050.0,15.4,No,No,By Annual Report Date
GE,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",AKLK10AA**,AKLK10AA**,10200.0,870.0,11.4,No,No,by annual report date
Haier,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",AHTK10AA**,QHEK10AC**,10100.0,860.0,11.4,No,No,By annual report date
GE,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",AHTK10AA**,AHWG10BW**,10100.0,860.0,11.4,No,No,http://www.geappliances.com/ge/service-and-support/literature.htm
GE,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",AHTK10AA**,AHEK10AC**,10100.0,860.0,11.4,No,No,http://www.geappliances.com/ge/service-and-support/literature.htm
GE,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",AHC10LYQ2,AHY10LZ**,10100.0,860.0,11.4,No,No,http://www.geappliances.com/ge/service-and-support/literature.htm
