ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,UPC,Type,Product Class,Defrost Type,Compact,Built-in,Thru the Door Dispenser,Ice Maker,Counter Depth,Height (in),Width (in),Capacity (Total Volume) (ft3),Adjusted Volume (ft3),Annual Energy Use (kWh/yr),US Federal Standard (kWh/yr),Percent Less Energy Use than US Federal Standard,Refrigerant Type,Refrigerant with GWP,Connected Functionality,Connects Using,Connected Functionality Tested,Communication Standard Application Layer,Direct on-premises Open-standard Based Interconnection,Date Available On Market,Date Certified,Markets,CB Model Identifier,Meets ENERGY STAR Most Efficient 2023 Criteria,model_number_modified
2394892,LG,LRMXS3006*,,195174032992,Bottom Freezer,5A - Refrigerator-freezers - automatic defrost with bottom-mounted freezer with through-the-door ice service,Automatic,No,No,Yes,Yes,No,70.3,35.8,29.5,39.0,799,836.0,5.0,R-600a,R-600a (GWP:3 | Lower GWP),Yes,Wi-Fi,Yes,ThinQ,Yes,04/15/2022,04/13/2022,"United States, Canada",ES_1118034_LRMXS3006*_04192022112052_80124225,No,LRMXS3006.
2394096,LG,LRONC0605*,,195174039038,Compact Refrigerator,11 - Compact Refrigerator and Refrigerator-Freezer other than All-Refrigerator - manual defrost,Manual,Yes,No,No,No,Yes,44.6,20.6,5.8,6.2,210,308.0,32.0,R-600a,R-600a (GWP:3 | Lower GWP),No,,,,,03/30/2022,03/18/2022,"United States, Canada",ES_1118034_LRONC0605*_03242022090551_80121512,Yes,LRONC0605.
2363319,LG,LRONC0705*,,195174001851;195174042519,Compact Refrigerator,11 - Compact Refrigerator and Refrigerator-Freezer other than All-Refrigerator - manual defrost,Manual,Yes,No,No,No,No,51.0,20.6,6.9,6.9,220,315.0,30.0,,,No,,,,,07/20/2020,06/26/2020,"United States, Canada",ES_1118034_LRONC0705*_07222020122929_80049718,Yes,LRONC0705.
2374756,LG,LRONC1404*,,195174010433,Freezerless and Single Door,3A - All-Refrigerators - automatic defrost,Automatic,No,No,No,No,No,73.3,23.4,13.6,13.6,238,298.0,20.0,,,No,,No,,,03/11/2021,03/11/2020,"United States, Canada",ES_1118034_LRONC1404*_03112021010258_80068754,No,LRONC1404.
2394986,LG,LRONC1414*,,195174036198,Freezerless and Single Door,3A - All-Refrigerators - automatic defrost,Automatic,No,No,No,No,No,73.3,23.4,13.6,13.6,213,298.0,29.0,R-600a,R-600a (GWP:3 | Lower GWP),Yes,Wi-Fi,Yes,ThinQ,Yes,04/30/2022,04/21/2022,"United States, Canada",ES_1118034_LRONC1414*_04212022084438_80124817,No,LRONC1414.
2377820,LG,LRSDS2706*,,195174007655;195174007679,Side-by-Side,7 - Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,Automatic,No,No,Yes,Yes,No,70.5,35.9,27.1,34.4,694,727.0,5.0,R-600a,R-600a (GWP:3 | Lower GWP),Yes,Wi-Fi,Yes,ThinQ,Yes,05/12/2021,04/28/2021,"United States, Canada",ES_1118034_LRSDS2706*_05122021124723_80082773,No,LRSDS2706.
2382360,LG,LRSOC2306*,,195174015759;195174015797,Side-by-Side,7 - Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,Automatic,No,No,Yes,Yes,No,70.5,35.9,22.5,28.4,645,675.0,5.0,R-600a,R-600a (GWP:3 | Lower GWP),Yes,Wi-Fi,Yes,ThinQ,Yes,07/20/2021,07/20/2021,"United States, Canada",ES_1118034_LRSOC2306*_07212021025626_80092136,No,LRSOC2306.
2379830,LG,LRSOS2706*,,195174007624;195174007631,Side-by-Side,7 - Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,Automatic,No,No,Yes,Yes,No,70.5,35.9,27.1,34.4,694,727.0,5.0,R-600a,R-600a (GWP:3 | Lower GWP),Yes,Wi-Fi,Yes,ThinQ,Yes,06/18/2021,06/17/2021,"United States, Canada",ES_1118034_LRSOS2706*_06182021030530_80088101,No,LRSOS2706.
2391831,LG,LRSVS2706*,,195174007594,Side-by-Side,7 - Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,Automatic,No,No,Yes,Yes,No,70.5,35.9,27.1,34.4,694,727.0,5.0,R-600a,R-600a (GWP:3 | Lower GWP),Yes,Wi-Fi,Yes,ThinQ,Yes,01/31/2022,01/21/2022,"United States, Canada",ES_1118034_LRSVS2706*_01272022052907_80114492,No,LRSVS2706.
2379033,LG,LRTLS2403*,,195174014233,Top Freezer,3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,Automatic,No,No,No,No,No,69.0,33.0,23.8,28.5,417,464.0,10.0,R-600a,R-600a (GWP:3 | Lower GWP),No,,,,,05/25/2021,05/20/2021,"United States, Canada",ES_1118034_LRTLS2403*_06082021100314_80084793,Yes,LRTLS2403.
2394097,LG,LRTNC0705*,,195174039021,Compact Refrigerator,13 - Compact refrigerator-freezers - automatic defrost with top-mounted freezer,Automatic,Yes,No,No,No,Yes,55.1,21.9,6.6,7.8,255,431.0,41.0,R-600a,R-600a (GWP:3 | Lower GWP),No,,,,,03/30/2022,03/18/2022,"United States, Canada",ES_1118034_LRTNC0705*_03242022090551_80121512,Yes,LRTNC0705.
