ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,UPC,Type,Product Class,Defrost Type,Compact,Built-in,Thru the Door Dispenser,Ice Maker,Counter Depth,Height (in),Width (in),Capacity (Total Volume) (ft3),Adjusted Volume (ft3),Annual Energy Use (kWh/yr),US Federal Standard (kWh/yr),Percent Less Energy Use than US Federal Standard,Refrigerant Type,Refrigerant with GWP,Connected Functionality,Connects Using,Connected Functionality Tested,Communication Standard Application Layer,Direct on-premises Open-standard Based Interconnection,Date Available On Market,Date Certified,Markets,CB Model Identifier,Meets ENERGY STAR Most Efficient 2023 Criteria,model_number_modified
2357265,TACKLIFE,MPWFR321,,,Compact Refrigerator,11A - Compact All-Refrigerator - manual defrost,Manual,Yes,No,No,No,Yes,32.7,17.4,3.2,3.2,196,244.0,20.0,,,No,,,,,01/07/2020,03/27/2020,United States,ES_1144488_MPWFR321_03272020105630_1991705,Yes,MPWFR321
2373383,TACKLIFE,MPWFR401,,,Compact Refrigerator,12 - Compact Refrigerator-Freezer - partial automatic defrost,Automatic,Yes,No,No,No,Yes,45.0,19.0,4.0,4.7,291,364.0,20.0,,,No,,,,,10/26/2020,02/03/2021,United States,ES_1144488_MPWFR401_02042021102648_1303943,No,MPWFR401
2357277,TACKLIFE,MVSFR161,,,Compact Refrigerator,11A - Compact All-Refrigerator - manual defrost,Manual,Yes,No,No,No,Yes,19.2,17.4,1.6,1.6,159,232.0,31.0,,,No,,,,,01/07/2020,03/27/2020,United States,ES_1144488_MVSFR161_03272020113042_1802492,Yes,MVSFR161
2357270,TACKLIFE,MVSFR321,,,Compact Refrigerator,11A - Compact All-Refrigerator - manual defrost,Manual,Yes,No,No,No,Yes,32.7,17.4,3.2,3.2,196,244.0,20.0,,,No,,,,,01/07/2020,03/27/2020,United States,ES_1144488_MVSFR321_03272020111956_9718338,Yes,MVSFR321
2373385,TACKLIFE,MVSFR401,,,Compact Refrigerator,12 - Compact Refrigerator-Freezer - partial automatic defrost,Automatic,Yes,No,No,No,Yes,45.0,19.0,4.0,4.7,291,364.0,20.0,,,No,,,,,10/26/2020,02/03/2021,United States,ES_1144488_MVSFR401_02042021102648_8652359,No,MVSFR401
2357271,TACKLIFE,MVWFR321,,,Compact Refrigerator,11A - Compact All-Refrigerator - manual defrost,Manual,Yes,No,No,No,Yes,32.7,17.4,3.2,3.2,196,244.0,20.0,,,No,,,,,01/07/2020,03/27/2020,United States,ES_1144488_MVWFR321_03272020112011_3601405,Yes,MVWFR321
2237777,RCA,RFR440,,,Compact Refrigerator,11A - Compact All-Refrigerator - manual defrost,Manual,Yes,No,No,No,Yes,31.9,20.3,4.5,4.5,228,254.0,10.0,,,No,,,,,06/01/2015,04/22/2015,"United States, Canada",ES_1120898_RFR440_04222015080452_9892486,No,RFR440
2237778,RCA,RFR446,,,Compact Refrigerator,11A - Compact All-Refrigerator - manual defrost,Manual,Yes,No,No,No,Yes,31.9,20.3,4.5,4.5,228,254.0,10.0,,,No,,,,,06/01/2015,04/22/2015,"United States, Canada",ES_1120898_RFR446_04222015080717_0037266,No,RFR446
2373080,RCA,RFR464-B-BLACK,,,Compact Refrigerator,11A - Compact All-Refrigerator - manual defrost,Manual,Yes,No,No,No,Yes,32.0,20.0,4.6,4.6,204,255.0,20.0,,,No,,,,,01/04/2021,01/20/2021,United States,ES_1120898_RFR464-B-BLACK_02012021150304_8020193,Yes,RFR464-B-BLACK
2373079,RCA,RFR464-B-BLACK-COM,,,Compact Refrigerator,11A - Compact All-Refrigerator - manual defrost,Manual,Yes,No,No,No,Yes,32.0,20.0,4.6,4.6,204,255.0,20.0,,,No,,,,,01/04/2021,01/20/2021,United States,ES_1120898_RFR464-B-BLACK-COM_02012021150304_7579521,Yes,RFR464-B-BLACK-COM
2373081,RCA,RFR464-B-WHITE,,,Compact Refrigerator,11A - Compact All-Refrigerator - manual defrost,Manual,Yes,No,No,No,Yes,32.0,20.0,4.6,4.6,204,255.0,20.0,,,No,,,,,01/04/2021,01/20/2021,United States,ES_1120898_RFR464-B-WHITE_02012021150304_9458448,Yes,RFR464-B-WHITE
2397411,RCA,RFR551,,,Compact Refrigerator,12 - Compact Refrigerator-Freezer - partial automatic defrost,Automatic,Yes,No,No,No,No,33.5,30.9,5.5,7.2,338,378.0,11.0,,,No,,,,,06/06/2022,06/01/2022,"United States, Canada",ES_1120898_RFR551 _06132022111232_80127767,No,RFR551
2508282,TCL,MR453*,,,Compact Refrigerator,12 - Compact Refrigerator-Freezer - partial automatic defrost,Automatic,Yes,No,No,No,No,44.5,18.5,4.5,5.4,327,368.0,11.0,,,No,,,,,06/12/2023,06/12/2023,"United States, Canada",ES_1147781_MR453*_06132023111438_80169489,No,MR453.
2219297,Thermador,T24IR800SP,,825225899747,Freezerless and Single Door,3A-BI - Built-In All-Refrigerators - automatic defrost,Automatic,No,Yes,No,No,No,83.7,24.0,13.3,13.3,283,335.0,16.0,,,No,,,,,10/15/2014,09/10/2014,"United States, Canada",ES_0031649_T24IR800SP_06182014123847_2737291,No,T24IR800SP
2354320,Whirlpool,WRQA59CNKZ ,,,Bottom Freezer,5I - Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,Automatic,No,No,No,Yes,Yes,69.5,35.8,19.4,25.1,569,623.0,10.0,,,No,,,,,02/03/2020,01/31/2020,"United States, Canada",ES_0022856_WRQA59CNKZ _02032020124220_80032694,No,WRQA59CNKZ 
2382096,RCA,RFR835-C-BLACK,,,Compact Refrigerator,12 - Compact Refrigerator-Freezer - partial automatic defrost,Automatic,Yes,No,No,No,Yes,35.0,20.0,3.2,3.9,312,359.0,13.0,"Other,R600a/1.411(oz)",R-600a (GWP:3 | Lower GWP),No,,No,,,06/07/2021,06/01/2021,United States,ES_1120898_RFR835-C-BLACK_06022021210542_3617074,No,RFR835-C-BLACK
2303090,RCA,RFR835-C-WHITE,,,Compact Refrigerator,12 - Compact Refrigerator-Freezer - partial automatic defrost,Automatic,Yes,No,No,No,Yes,33.5,17.7,3.3,3.2,304,355.0,14.0,,,No,,No,,,08/24/2017,08/31/2017,United States,ES_1120898_RFR835-C-WHITE_08312017142541_9469658,No,RFR835-C-WHITE
2364029,RCA,RFR835-G-BLACK,,,Compact Refrigerator,12 - Compact Refrigerator-Freezer - partial automatic defrost,Automatic,Yes,No,No,No,No,32.8,18.7,3.1,3.8,322,358.0,10.0,,,No,,,,,08/01/2020,08/05/2020,United States,ES_1120898_RFR835-G-BLACK_08052020033547_8547821,No,RFR835-G-BLACK
2323228,RCA,RFR839-B,,,Compact Refrigerator,12 - Compact Refrigerator-Freezer - partial automatic defrost,Automatic,Yes,No,No,No,No,33.3,18.9,3.2,3.9,322,359.0,10.0,,,No,,,,,05/14/2018,07/25/2018,"United States, Canada",ES_1120898_RFR839-B_07252018052258_6178996,No,RFR839-B
2323229,RCA,RFR870,,,Compact Refrigerator,12 - Compact Refrigerator-Freezer - partial automatic defrost,Automatic,Yes,No,No,No,No,33.3,18.9,3.2,3.9,322,359.0,10.0,,,No,,,,,05/14/2018,07/25/2018,"United States, Canada",ES_1120898_RFR870_07252018052127_6087638,No,RFR870
2382097,RCA,RFR870,,,Compact Refrigerator,12 - Compact Refrigerator-Freezer - partial automatic defrost,Automatic,Yes,No,No,No,Yes,35.0,20.0,3.2,3.9,312,359.0,13.0,"Other,R600a/1.411(oz)",R-600a (GWP:3 | Lower GWP),No,,No,,,06/07/2021,06/01/2021,United States,ES_1120898_RFR870_06022021210542_9902647,No,RFR870
2364030,RCA,RFR870-B,,,Compact Refrigerator,12 - Compact Refrigerator-Freezer - partial automatic defrost,Automatic,Yes,No,No,No,No,32.8,18.7,3.1,3.8,322,358.0,10.0,,,No,,,,,08/01/2020,08/05/2020,United States,ES_1120898_RFR870-B_08052020033621_8581519,No,RFR870-B
2277176,RVISION,RCR1727,,,Compact Refrigerator,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,No,No,Yes,19.5,17.4,1.7,1.7,245,275.0,11.0,,,No,,,,,08/22/2016,08/25/2016,"United States, Canada",ES_1093279_RCR1727_08302016085613_7373234,No,RCR1727
2277177,RVISION,RCR3327,,,Compact Refrigerator,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,No,No,Yes,32.5,19.1,3.3,3.3,258,290.0,11.0,,,No,,,,,08/22/2016,08/25/2016,"United States, Canada",ES_1093279_RCR3327_08302016085626_7386759,No,RCR3327
2376148,Samsung,BRB106003**,,,Bottom Freezer,5-BI - Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,Automatic,No,Yes,No,No,No,69.9,21.3,9.4,11.4,399,444.0,10.0,R-600a,R-600a (GWP:3 | Lower GWP),No,,,,,06/09/2021,04/15/2021,"United States, Canada",ES_1023593_BRB106003**_04152021114343_80075025,No,BRB106003..
2210426,White-Westinghouse,WRD01W3MMW,,,Compact Refrigerator,11A - Compact All-Refrigerator - manual defrost,Manual,Yes,No,No,No,No,19.4,18.6,1.6,1.6,207,232.0,11.0,,,No,,,,,03/15/2014,03/20/2014,United States,ES_1021080_WRD01W3MMW_05052014232821_2501927,No,WRD01W3MMW
2235242,Whynter,MRF-161   ,,,Compact Refrigerator,11A - Compact All-Refrigerator - manual defrost,Manual,Yes,No,No,No,No,19.4,18.6,1.6,1.6,207,232.0,11.0,,,No,,,,,05/10/2015,03/18/2015,United States,ES_1122240_MRF-161_03262015071927_4367172,No,MRF-161   
2235244,Whynter,MRF-310DBa,,,Compact Refrigerator,12 - Compact Refrigerator-Freezer - partial automatic defrost,Automatic,Yes,No,No,No,No,33.0,18.5,3.1,3.8,270,358.0,25.0,,,No,,,,,05/10/2015,03/18/2015,United States,ES_1122240_MRF-310DBa_03262015072117_4477217,No,MRF-310DBa
2266300,Whynter,MRF-340DS,,,Compact Refrigerator,12 - Compact Refrigerator-Freezer - partial automatic defrost,Automatic,Yes,No,No,No,No,32.9,18.5,3.4,4.1,260,360.0,28.0,,,No,,,,,05/06/2016,05/09/2016,United States,ES_1122240_MRF-340DS_05092016125515_8515220,No,MRF-340DS
2311053,Willz,7716231,,,Compact Refrigerator,12 - Compact Refrigerator-Freezer - partial automatic defrost,Automatic,Yes,No,No,No,No,33.0,19.2,3.1,3.1,320,354.0,10.0,,,No,,,,,04/01/2018,02/08/2018,"United States, Canada",ES_1108549_7716231_02122018100557_70172329,No,7716231
2370790,WINIA,WFR044RCN**,,,Compact Refrigerator,11A - Compact All-Refrigerator - manual defrost,Manual,Yes,No,No,No,No,36.1,19.3,4.4,4.4,228,254.0,10.0,R-600a,R-600a (GWP:3 | Lower GWP),No,,,,,11/30/2020,12/03/2020,United States,ES_110825_WFR044RCN**_120920200731244_3027463,No,WFR044RCN..
2257403,Samsung,RF22K9381**,,,Bottom Freezer,5A - Refrigerator-freezers - automatic defrost with bottom-mounted freezer with through-the-door ice service,Automatic,No,No,Yes,Yes,Yes,71.9,35.8,22.1,28.8,709,742.0,5.0,R-134a,R-134a (GWP:1430),Yes,Wi-Fi,Yes,Smart Energy Profile (SEP) 2.x,Yes,02/29/2016,12/04/2020,"United States, Canada",ES_1023593_RF22K9381**01272016104933_70061864,No,RF22K9381..
2338666,Samsung,RF22R7551**,,,Bottom Freezer,5A - Refrigerator-freezers - automatic defrost with bottom-mounted freezer with through-the-door ice service,Automatic,No,No,Yes,Yes,Yes,70.0,35.8,22.2,27.1,690,726.0,6.0,R-600a,R-600a (GWP:3 | Lower GWP),Yes,Wi-Fi,Yes,Smart Energy Profile (SEP) 2.x,Yes,06/17/2019,05/16/2019,"United States, Canada",ES_1023593_RF22R7551**_05212019061648_80003200,No,RF22R7551..
