ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,UPC,Load Configuration,Special Type,Additional Washer Features,Intended Market,Volume (cu. ft.),Height (inches),Width (inches),Depth (inches),Integrated Modified Energy Factor (IMEF),US Federal Standard (IMEF),Annual Energy Use (kWh/yr),Integrated Water Factor (IWF),US Federal Standard (IWF),Annual Water Use (gallons/yr),Drum Capacity for the dryer in a Combination All-in-One Washer-Dryer,Heat Pump Technology for the dryer in a Combination All-in-One Washer-Dryer,Combined Energy Factor (CEF) for the dryer in a Combination All-in-One Washer-Dryer,Estimated Annual Energy Use (kWh/yr) for the dryer in a Combination All-in-One Washer-Dryer,Estimated Energy Test Cycle Time (min) for the dryer in a Combination All-in-One Washer-Dryer,Energy Test Cycle Information for the dryer in a Combination All-in-One Washer-Dryer,Calculated Combined Energy Factor - Max Dryness Setting (lbs/kWh) for the dryer in a Combination All-in-One Washer-Dryer,Additional Dryer Features for the dryer in a Combination All-in-One Washer-Dryer,Connected,Connects Using,Communication Standard Application Layer,Direct on-premises Open-standard Based Interconnection,Paired ENERGY STAR Clothes Dryer Available,Paired ENERGY STAR Clothes Dryer ENERGY STAR Model Identifier,Date Available On Market,Date Certified,Markets,ENERGY STAR Model Identifier,Meets ENERGY STAR Most Efficient 2023 Criteria,model_number_modified
2358068,LG,WM4000H*A,,048231028271;048231028288,Front Load,,None,Residential,4.5,,27.0,,2.92,1.84,105,2.9,4.7,3841,,,,,,,,,No,,,,No,,04/14/2020,04/14/2020,"United States, Canada",ES_1118034_WM4000H*A_04152020094416_80040225,Yes,WM4000H.A
2393561,LG,WM4080H*A,,195174037034;195174037041,Front Load,,None,Residential,4.5,,27.0,,2.92,1.84,105,2.9,4.7,3841,,,,,,,,,No,,,,No,,03/03/2022,03/02/2022,"United States, Canada",ES_1118034_WM4080H*A_03042022014023_80118577,Yes,WM4080H.A
2367423,LG,WM4100H*A,,772454073250;772454073274,Front Load,,None,Residential,4.5,,27.0,,2.92,1.84,105,2.9,4.7,3841,,,,,,,,,No,,,,No,,10/14/2020,10/13/2020,"United States, Canada",ES_1118034_WM4100H*A_10142020051525_80059014,Yes,WM4100H.A
2360586,LG,WM4200H*A,,048231028295;048231028301,Front Load,,None,Residential,5.0,,27.0,,3.1,1.84,105,2.9,4.7,4278,,,,,,,,,No,,,,No,,05/21/2020,05/21/2020,"United States, Canada",ES_1118034_WM4200H*A_05252020115847_80043606,Yes,WM4200H.A
2355243,LG,WM4500H*A,,048231026772;048231026802,Front Load,,None,Residential,5.0,,27.0,,3.1,1.84,105,2.9,4.7,4278,,,,,,,,,No,,,,No,,02/24/2020,02/24/2020,"United States, Canada",ES_1118034_WM4500H*A_02252020053405_80034984,Yes,WM4500H.A
2310475,LG,WM5000H*A,,048231015288;048231015295;772454064517;772454064524,Front Load,,"Steam Cycle,Sanitize Option",Residential,4.5,,27.0,,2.92,1.84,105,2.8,4.7,3676,,,,,,,,,No,,,,No,,05/24/2017,02/08/2018,"United States, Canada",ES_1118034_WM5000H*A_02092018060252_70172585,No,WM5000H.A
2310474,LG,WM5005H*A,,048231020657,Front Load,,"Steam Cycle,Sanitize Option",Residential,4.5,,27.0,,2.92,1.84,105,2.8,4.7,3676,,,,,,,,,No,,,,No,,05/24/2017,02/08/2018,"United States, Canada",ES_1118034_WM5005H*A_02092018060252_70172585,No,WM5005H.A
2404736,LG,WM5500H*A,,195174052976;195174052990,Front Load,,None,Residential,4.5,,27.0,,2.92,1.84,105,3.0,4.7,4000,,,,,,,,,No,,,,No,,11/18/2022,11/17/2022,"United States, Canada",ES_1118034_WM5500H*A_11182022103053_80149412,Yes,WM5500H.A
2472838,LG,WM5700H*A,,195174062784,Front Load,,None,Residential,4.5,,27.0,,2.92,1.84,105,3.0,4.7,4000,,,,,,,,,No,,,,No,,05/04/2023,05/04/2023,"United States, Canada",ES_1118034_WM5700H*A_05082023143455_80168209,Yes,WM5700H.A
2404735,LG,WM6500H*A,,195174048689;195174052921,Front Load,,None,Residential,5.0,,27.0,,2.92,1.84,105,3.0,4.7,4443,,,,,,,,,No,,,,No,,11/17/2022,11/17/2022,"United States, Canada",ES_1118034_WM6500H*A_11182022103053_80149412,Yes,WM6500H.A
