Brand_Name_s__s,Individual_Model_Number_m,Screen_Size__diagonal_in_inches__d,Power_Consumed_in_On_Mode__watts__d,Power_Consumed_in_Standby_Passive_Mode__watts__d,Power_Consumed_in_Standby_Active__Low_Mode__watts___if_applicable__d,Power_Consumed_in_Off_Mode__watts___if_applicable__d,Annual_Energy_Consumption__kWh_per_year__d,Link_to_FTC_EnergyGuide_Label_s,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,individual_model_number_modified
Hisense,75U78H,75.0,178.0,0.3,0.4,,327.0,https://www.hisense-usa.com/support/models,No,75U78H
Hisense,75U7H+(+=0-9 or A-Z or Blank),75.0,178.0,0.3,0.4,,327.0,https://www.hisense-usa.com/support/models,No,75U7H.
Hisense,75U7+H+(+=0-9 or A-Z or Blank),75.0,178.0,0.3,0.4,,327.0,https://www.hisense-usa.com/support/models,No,75U7.H.
Hisense,85A6+H++(+=0-9 or A-Z or Blank),85.0,241.0,0.3,0.3,,441.0,https://www.hisense-usa.com/support/models,No,85A6.H..
Hisense,85A7G+(+=0-9 or A-Z or Blank),85.0,241.0,0.3,0.3,,441.0,https://www.hisense-usa.com/support/models,No,85A7G.
Hisense,85A7+H+(+=0-9 or A-Z or Blank),85.0,241.0,0.3,0.3,,441.0,https://www.hisense-usa.com/support/models,No,85A7.H.
Hisense,85A7H+(+=0-9 or A-Z or Blank),85.0,241.0,0.3,0.3,,441.0,https://www.hisense-usa.com/support/models,No,85A7H.
Hisense,85A6+H+(+=0-9 or A-Z or Blank),85.0,241.0,0.3,0.3,,441.0,https://www.hisense-usa.com/support/models,No,85A6.H.
Hisense,85A6H+(+=0-9 or A-Z or Blank),85.0,241.0,0.3,0.3,,441.0,https://www.hisense-usa.com/support/models,No,85A6H.
Pioneer,PN43651-23U,42.5,65.5,0.49,0.6,,124.0,https://www.usca.pioneer-tv.com/,No,PN43651-23U
Pioneer,PN43651-23C,42.5,65.5,0.49,0.6,,124.0,https://www.usca.pioneer-tv.com/,No,PN43651-23C
Hisense,50U6G1,50.0,63.0,0.36,0.47,,118.0,https://www.hisense-usa.com/support/models,No,50U6G1
Hisense,50U65H,50.0,63.0,0.36,0.47,,118.0,https://www.hisense-usa.com/support/models,No,50U65H
Hisense,50U68H,50.0,63.0,0.36,0.47,,118.0,https://www.hisense-usa.com/support/models,No,50U68H
Hisense,"50U6+G+(+can be replaced by any number 0-9, A-Z or Blank)",50.0,63.0,0.36,0.47,,118.0,https://www.hisense-usa.com/support/models,No,50U6.G.
Onn.,100012589-CA,31.4,19.9,0.25,,,48.0,https://www.elementelectronics.com/support/,No,100012589-CA
Onn.,100012589,31.4,19.9,0.25,,,48.0,https://www.elementelectronics.com/support/,No,100012589
RCA,RHOR325,31.4,19.9,0.25,,,48.0,https://www.elementelectronics.com/support/,No,RHOR325
connexx,CX22A19DCDVD,21.5,16.8,0.33,,,32.9,http://www.riverparkinc.com,No,CX22A19DCDVD
VIZIO,D40fM-K09,39.5,36.3,0.34,0.36,,68.7,By annual report date,No,D40fM-K09
SANYO,FW50D48F,49.5,52.0,0.2,,,120.0,https://www.sanyo-av.com/us/product/product.php?id=728,No,FW50D48F
onn.,100058007,39.5,38.3,0.45,,,73.0,https://www.onntvsupport.com/energy-guides/,No,100058007
Hisense,"43A5+H+(+can be replaced by any number 0-9,A-Z,blank or - )",43.0,41.5,0.24,0.37,,78.3,https://www.hisense-usa.com/support/models,No,43A5.H.
Hisense,"43A5+G+(+can be replaced by any number 0-9,A-Z,blank or - )",43.0,41.5,0.24,0.37,,78.3,https://www.hisense-usa.com/support/models,No,43A5.G.
HITACHI,50C61,50.0,96.0,0.45,,,178.0,https://www.hitachi-america.us,No,50C61
HITACHI,40C311,40.0,53.0,0.3,,,98.8,https://www.hitachi-america.us,No,40C311
ONN,100012590-CA,24.0,25.0,0.45,0.45,,48.7,http://www.onntvsupport.com/energy-guides,No,100012590-CA
Hisense,"65R60+0G+(+can be replaced by any number 0-9, A-Z, blank or - )",65.0,95.1,0.39,0.4,,176.0,https://www.hisense-usa.com/support/models,No,65R60.0G.
Hisense,"65R6E+(+can be replaced by any number 0-9, A-Z, blank or - )",65.0,95.1,0.39,0.4,,176.0,https://www.hisense-usa.com/support/models,No,65R6E.
TOSHIBA,50C350LU,50.0,74.7,0.38,0.86,,142.0,https://www.hisense-usa.com/support/models,No,50C350LU
TOSHIBA,50C350LC,50.0,74.7,0.38,0.86,,142.0,https://www.hisense-usa.com/support/models,No,50C350LC
Hisense,65A6GR,65.0,106.0,0.33,0.34,,196.0,https://www.hisense-usa.com/support/models,No,65A6GR
Hisense,65R63G,65.0,106.0,0.33,0.34,,196.0,https://www.hisense-usa.com/support/models,No,65R63G
Hisense,"65R6+H+(+can be  replaced by any number 0-9, A-Z, blank or - )",65.0,106.0,0.33,0.34,,196.0,https://www.hisense-usa.com/support/models,No,65R6.H.
Hisense,"65A6+GR+(+can be  replaced by any number 0-9, A-Z, blank or - )",65.0,106.0,0.33,0.34,,196.0,https://www.hisense-usa.com/support/models,No,65A6.GR.
Hisense,"65R6H+(+can be  replaced by any number 0-9, A-Z, blank or - )",65.0,106.0,0.33,0.34,,196.0,https://www.hisense-usa.com/support/models,No,65R6H.
Hisense,"65R6G+(+can be  replaced by any number 0-9, A-Z, blank or - )",65.0,106.0,0.33,0.34,,196.0,https://www.hisense-usa.com/support/models,No,65R6G.
Hisense,"65R60+0G+(+can be  replaced by any number 0-9, A-Z, blank or - )",65.0,106.0,0.33,0.34,,196.0,https://www.hisense-usa.com/support/models,No,65R60.0G.
TOSHIBA,43C350LU,43.0,60.0,0.35,0.36,,112.0,https://www.hisense-usa.com/support/models,No,43C350LU
SILO,SL3221VN,32.0,23.6,0.28,0.41,,52.0,By annual report date,No,SL3221VN
PROSCAN,PLDED3273A-C,32.0,23.6,0.28,0.41,,52.0,By annual report date,No,PLDED3273A-C
SYLVANIA,SLED3215A-C,32.0,23.6,0.28,0.41,,52.0,By annual report date,No,SLED3215A-C
RCA,RNSM3203-B,32.0,23.6,0.28,0.41,,52.0,By annual report date,No,RNSM3203-B
SANSUI,S32V3HN,32.0,23.6,0.28,0.41,,52.0,By annual report date,No,S32V3HN
SANSUI,S32V2HN,32.0,23.6,0.28,0.41,,52.0,By annual report date,No,S32V2HN
SANSUI,S32V3HA,32.0,23.6,0.28,0.41,,52.0,By annual report date,No,S32V3HA
SANSUI,S32V2HA,32.0,23.6,0.28,0.41,,52.0,By annual report date,No,S32V2HA
SANSUI,S32T2H,32.0,23.6,0.28,0.41,,52.0,By annual report date,No,S32T2H
SANSUI,S32T1H,32.0,23.6,0.28,0.41,,52.0,By annual report date,No,S32T1H
SANSUI,ES32V3HN,32.0,23.6,0.28,0.41,,52.0,By annual report date,No,ES32V3HN
SANSUI,ES32V1HN,32.0,23.6,0.28,0.41,,52.0,By annual report date,No,ES32V1HN
SANSUI,ES32V3HA,32.0,23.6,0.28,0.41,,52.0,By annual report date,No,ES32V3HA
SANSUI,ES32V2HA,32.0,23.6,0.28,0.41,,52.0,By annual report date,No,ES32V2HA
SANSUI,ES32T3HN,32.0,23.6,0.28,0.41,,52.0,By annual report date,No,ES32T3HN
SANSUI,ES32T2HN,32.0,23.6,0.28,0.41,,52.0,By annual report date,No,ES32T2HN
SANSUI,ES32T1HN,32.0,23.6,0.28,0.41,,52.0,By annual report date,No,ES32T1HN
SANSUI,ES32T3HA,32.0,23.6,0.28,0.41,,52.0,By annual report date,No,ES32T3HA
SANSUI,ES32T1HA,32.0,23.6,0.28,0.41,,52.0,By annual report date,No,ES32T1HA
SANSUI,ES32T2H,32.0,23.6,0.28,0.41,,52.0,By annual report date,No,ES32T2H
SANSUI,ES32T1H,32.0,23.6,0.28,0.41,,52.0,By annual report date,No,ES32T1H
SANSUI,EC32V3HN,32.0,23.6,0.28,0.41,,52.0,By annual report date,No,EC32V3HN
SANSUI,EC32V2HN,32.0,23.6,0.28,0.41,,52.0,By annual report date,No,EC32V2HN
SANSUI,EC32V1HN,32.0,23.6,0.28,0.41,,52.0,By annual report date,No,EC32V1HN
SANSUI,C32V2HA,32.0,23.6,0.28,0.41,,52.0,By annual report date,No,C32V2HA
SANSUI,EC32V3HA,32.0,23.6,0.28,0.41,,52.0,By annual report date,No,EC32V3HA
SANSUI,EC32V1HA,32.0,23.6,0.28,0.41,,52.0,By annual report date,No,EC32V1HA
SANSUI,EC32T2HA,32.0,23.6,0.28,0.41,,52.0,By annual report date,No,EC32T2HA
SANSUI,EC32T2H,32.0,23.6,0.28,0.41,,52.0,By annual report date,No,EC32T2H
Caixun,LE-32V3,32.0,23.6,0.28,0.41,,52.0,By annual report date,No,LE-32V3
Caixun,LE-32T3,32.0,23.6,0.28,0.41,,52.0,By annual report date,No,LE-32T3
Caixun,LE-32T2,32.0,23.6,0.28,0.41,,52.0,By annual report date,No,LE-32T2
RCA,RNSM4003-B,40.0,33.4,0.28,0.4,,71.0,By annual report date,No,RNSM4003-B
SUPERSONIC,SC-4016STV,40.0,33.4,0.28,0.4,,71.0,By annual report date,No,SC-4016STV
QUASAR,Q40XXXX,40.0,33.4,0.28,0.4,,71.0,By annual report date,No,Q40XXXX
SILO,SL40XXXX,40.0,33.4,0.28,0.4,,71.0,By annual report date,No,SL40XXXX
SANSUI,EC40V2FA,40.0,33.4,0.28,0.4,,71.0,By annual report date,No,EC40V2FA
SANSUI,ES40V3FA,40.0,33.4,0.28,0.4,,71.0,By annual report date,No,ES40V3FA
"HUIZHOU KTC TECHNOLOGY CO.,LTD.",LED-50,50.0,112.0,0.5,1.0,,211.0,https://intertech.tv/wp-content/uploads/2017/12/Energy-Label-for-50.pdf,No,LED-50
connexx,CX32B24,21.5,32.8,0.28,,,61.8,http://www.riverparkinc.com,No,CX32B24
connexx,CX32B23,21.5,32.8,0.28,,,61.8,http://www.riverparkinc.com,No,CX32B23
connexx,CX32B22,21.5,32.8,0.28,,,61.8,http://www.riverparkinc.com,No,CX32B22
connexx,CX32B21,21.5,32.8,0.28,,,61.8,http://www.riverparkinc.com,No,CX32B21
connexx,CX24B22DC,23.6,15.1,0.31,,,34.0,https://share.weiyun.com/69DLdEBg,No,CX24B22DC
connexx,CX32B21DC,31.5,19.3,0.35,,,50.8,https://share.weiyun.com/WTWYTeHN,No,CX32B21DC
TOSHIBA,65C350LC,65.0,107.0,0.35,0.4,,198.0,https://www.hisense-usa.com/support/models,No,65C350LC
RCA,RTA4304-F,43.0,66.0,0.5,0.6,,125.0,https://www.curtisint.com,No,RTA4304-F
RCA,RTA4304-E,43.0,66.0,0.5,0.6,,125.0,https://www.curtisint.com,No,RTA4304-E
RCA,RTA4304-D,43.0,66.0,0.5,0.6,,125.0,https://www.curtisint.com,No,RTA4304-D
RCA,RTA4304-C,43.0,66.0,0.5,0.6,,125.0,https://www.curtisint.com,No,RTA4304-C
RCA,RTA4304-B,43.0,66.0,0.5,0.6,,125.0,https://www.curtisint.com,No,RTA4304-B
RCA,RTA4303-F,43.0,66.0,0.5,0.6,,125.0,https://www.curtisint.com,No,RTA4303-F
RCA,RTA4303-E,43.0,66.0,0.5,0.6,,125.0,https://www.curtisint.com,No,RTA4303-E
RCA,RTA4303-D,43.0,66.0,0.5,0.6,,125.0,https://www.curtisint.com,No,RTA4303-D
RCA,RTA4303-C,43.0,66.0,0.5,0.6,,125.0,https://www.curtisint.com,No,RTA4303-C
RCA,RTA4302-E,43.0,66.0,0.5,0.6,,125.0,https://www.curtisint.com,No,RTA4302-E
RCA,RTA4302-D,43.0,66.0,0.5,0.6,,125.0,https://www.curtisint.com,No,RTA4302-D
RCA,RTA4302-B,43.0,66.0,0.5,0.6,,125.0,https://www.curtisint.com/,No,RTA4302-B
RCA,RTA3201-B,32.0,43.0,0.5,0.5,,81.9,https://www.curtisint.com/,No,RTA3201-B
RCA,RTA3201-E,32.0,43.0,0.5,0.5,,81.9,https://www.curtisint.com,No,RTA3201-E
RCA,RTA3202-D,32.0,43.0,0.5,0.5,,81.9,https://www.curtisint.com,No,RTA3202-D
RCA,RTA3203-F,32.0,43.0,0.5,0.5,,81.9,https://www.curtisint.com,No,RTA3203-F
RCA,RTR2460-US,23.5,17.0,0.3,,,33.1,https://onntvsupport/energy-guides,No,RTR2460-US
TCL,65S451-CA,64.5,59.8,0.3,,,111.0,By annual report date,No,65S451-CA
TCL,32S350R,31.5,26.4,0.3,,,50.3,By annual report date,No,32S350R
TCL,32S310R-CA,31.5,26.4,0.3,,,50.3,By annual report date,No,32S310R-CA
TCL,32S310R,31.5,26.4,0.3,,,50.3,By annual report date,No,32S310R
TCL,32S31R-CA,31.5,26.4,0.3,,,50.3,By annual report date,No,32S31R-CA
TCL,32S359-CA,31.5,26.4,0.3,,,50.3,By annual report date,No,32S359-CA
TCL,32S357-CA,31.5,26.4,0.3,,,50.3,By annual report date,No,32S357-CA
TCL,32S355-CA,31.5,26.4,0.3,,,50.3,By annual report date,No,32S355-CA
TCL,32S353-CA,31.5,26.4,0.3,,,50.3,By annual report date,No,32S353-CA
TCL,32S355,31.5,26.2,0.3,,,50.3,By annual report date,No,32S355
DuraPro,DRPTV430BC,43.0,43.7,0.36,,0.36,82.0,https://www.coreinnovationsinc.com/certifications/,No,DRPTV430BC
DuraPro,DRPTV430SM,43.0,44.0,0.37,,0.37,83.0,https://www.coreinnovationsinc.com/certifications/,No,DRPTV430SM
LG,43UN782V0UC,42.5,61.0,0.4,,,114.0,http://www.lg.com/global/support/ftclabel,No,43UN782V0UC
connexx,CX39B21,38.5,27.4,0.33,,,52.3,http://www.riverparkinc.com,No,CX39B21
connexx,CX39B22,38.5,27.4,0.33,,,52.3,http://www.riverparkinc.com,No,CX39B22
connexx,CX39B23,38.5,27.4,0.33,,,52.3,http://www.riverparkinc.com,No,CX39B23
connexx,CX39B24,38.5,27.4,0.33,,,52.3,http://www.riverparkinc.com,No,CX39B24
connexx,CX50B23,50.0,42.8,0.34,,,80.5,http://www.riverparkinc.com,No,CX50B23
connexx,CX50B22,50.0,42.8,0.34,,,80.5,http://www.riverparkinc.com,No,CX50B22
connexx,CX50B21,50.0,42.8,0.34,,,80.5,http://www.riverparkinc.com,No,CX50B21
Hisense,43A4*KV,43.0,46.8,0.24,0.43,,85.4,By annual report date,No,43A4.KV
Hisense,32A4****V,32.0,27.5,0.21,0.38,,50.2,By annual report date,No,32A4....V
Hisense,32A4*KV,32.0,27.5,0.21,0.38,,50.2,By annual report date,No,32A4.KV
Hisense,32A45KV,32.0,27.5,0.21,0.38,,50.2,By annual report date,No,32A45KV
Hisense,40A4*KV,40.0,39.3,0.22,0.38,,71.7,By annual report date,No,40A4.KV
Hisense,40A45KV,40.0,39.3,0.22,0.38,,71.7,By annual report date,No,40A45KV
Hisense,40A40*0KV,40.0,39.3,0.22,0.38,,71.7,By annual report date,No,40A40.0KV
Hisense,40A4KV,40.0,39.3,0.22,0.38,,71.7,By annual report date,No,40A4KV
Hisense,43H4030F*,43.0,38.9,0.4,,,71.0,By annual report date,No,43H4030F.
Hisense,43A4GR,43.0,38.9,0.4,,,71.0,By annual report date,No,43A4GR
Hisense,43H41G,43.0,38.9,0.4,,,71.0,By annual report date,No,43H41G
Hisense,43A4*KR*,43.0,38.9,0.4,,,71.0,By annual report date,No,43A4.KR.
Hisense,43A4*HR*,43.0,38.9,0.4,,,71.0,By annual report date,No,43A4.HR.
Hisense,43H4030G*,43.0,38.9,0.4,,,71.0,By annual report date,No,43H4030G.
Hisense,43A4*GR*,43.0,38.9,0.4,,,71.0,By annual report date,No,43A4.GR.
Hisense,43H4*G*,43.0,38.9,0.4,,,71.0,By annual report date,No,43H4.G.
Westinghouse,8502812,23.6,24.3,0.2,,,45.8,https://share.weiyun.com/C1NwplZE,No,8502812
Westinghouse,WD24HAE1001,23.6,24.3,0.2,,,45.8,https://share.weiyun.com/C1NwplZE,No,WD24HAE1001
Westinghouse,WD24HX1201,23.6,24.3,0.2,,,45.8,https://share.weiyun.com/C1NwplZE,No,WD24HX1201
Westinghouse,WR24HE2210,23.6,24.3,0.2,,,45.8,https://share.weiyun.com/C1NwplZE,No,WR24HE2210
Westinghouse,WR24HC2210,23.6,24.3,0.2,,,45.8,https://share.weiyun.com/C1NwplZE,No,WR24HC2210
Westinghouse,WR24HX2212,23.6,24.3,0.2,,,45.8,https://share.weiyun.com/C1NwplZE,No,WR24HX2212
Westinghouse,WD24HX5201,23.6,24.3,0.2,,,45.8,https://share.weiyun.com/C1NwplZE,No,WD24HX5201
Westinghouse,WR24HT2210,23.6,24.3,0.2,,,45.8,https://share.weiyun.com/C1NwplZE,No,WR24HT2210
Westinghouse,WR24HX2210,23.6,24.3,0.2,,,45.8,https://share.weiyun.com/C1NwplZE,No,WR24HX2210
Westinghouse,WR65UX4210V,65.0,94.9,0.4,,,176.0,https://share.weiyun.com/2FYwL4Jb,No,WR65UX4210V
Westinghouse,WR65UT4212,65.0,94.9,0.4,,,176.0,https://share.weiyun.com/2FYwL4Jb,No,WR65UT4212
Westinghouse,WR55UX4212,55.0,67.2,0.37,,,125.0,https://share.weiyun.com/lQcQRcLW,No,WR55UX4212
Westinghouse,WR55UE4210,55.0,67.2,0.37,,,125.0,https://share.weiyun.com/lQcQRcLW,No,WR55UE4210
Westinghouse,WR55UC4210,55.0,67.2,0.37,,,125.0,https://share.weiyun.com/lQcQRcLW,No,WR55UC4210
Westinghouse,WR50UX4212,50.0,58.8,0.36,,,110.0,https://share.weiyun.com/g2NGwdhv,No,WR50UX4212
Westinghouse,WR50UE4210,50.0,58.8,0.36,,,110.0,https://share.weiyun.com/g2NGwdhv,No,WR50UE4210
Westinghouse,WR75UT4212,75.0,166.0,0.45,0.45,,306.0,By annual report date,No,WR75UT4212
Westinghouse,WR75UX4212,75.0,166.0,0.45,0.45,,306.0,By annual report date,No,WR75UX4212
Westinghouse,WR75UE4210,75.0,166.0,0.45,0.45,,306.0,By annual report date,No,WR75UE4210
ROKU,75R6A5CA,74.5,113.0,0.6,,,211.0,https://support.roku.com/article/10625174337047,No,75R6A5CA
ROKU,75R6A5**,74.5,113.0,0.6,,,211.0,https://support.roku.com/article/10625174337047,No,75R6A5..
ROKU,43R4A5CA,42.5,64.6,0.6,,,122.0,https://support.roku.com/article/10625174337047,No,43R4A5CA
ROKU,43R4A5**,42.5,64.6,0.6,,,122.0,https://support.roku.com/article/10625174337047,No,43R4A5..
ROKU,65R4A5CA,64.5,109.0,0.6,,,203.0,https://support.roku.com/article/10625174337047,No,65R4A5CA
ROKU,65R4A5R,64.5,109.0,0.6,,,203.0,https://support.roku.com/article/10625174337047,No,65R4A5R
onn.,100122566,31.4,19.9,0.25,,,48.0,https://onntvsupport/energy-guides,No,100122566
ROKU,40R2A5R,39.5,54.5,0.5,,,103.0,https://support.roku.com/article/10625174337047,No,40R2A5R
ROKU,40R2A5CA,39.5,54.5,0.5,,,103.0,https://support.roku.com/article/10625174337047,No,40R2A5CA
ROKU,40R2A5**,39.5,54.5,0.5,,,103.0,https://support.roku.com/article/10625174337047,No,40R2A5..
ROKU,24R2A5R,23.5,25.0,0.5,,,49.0,https://support.roku.com/article/10625174337047,No,24R2A5R
ROKU,65R6A5**,64.5,112.0,0.9,,,210.0,https://support.roku.com/article/10625174337047,No,65R6A5..
ROKU,55R4A5**,54.6,86.3,0.5,,,161.0,https://support.roku.com/article/10625174337047,No,55R4A5..
ROKU,55R4A5CA,54.6,86.3,0.5,,,161.0,https://support.roku.com/article/10625174337047,No,55R4A5CA
ROKU,55R4A5R,54.6,86.3,0.5,,,161.0,https://support.roku.com/article/10625174337047,No,55R4A5R
ROKU,75R4A5CA,74.5,128.0,0.9,,,240.0,https://support.roku.com/article/10625174337047,No,75R4A5CA
ROKU,75R4A5**,74.5,128.0,0.9,,,240.0,https://support.roku.com/article/10625174337047,No,75R4A5..
SUPERSONIC,SC-3216STV,32.0,24.4,0.28,,,46.0,By annual report date,No,SC-3216STV
SUPERSONIC,SC-3210,32.0,24.4,0.28,,,46.0,By annual report date,No,SC-3210
SUPERSONIC,SC-4350GTV,40.0,38.5,0.31,,,72.0,By annual report date,No,SC-4350GTV
SUPERSONIC,SC-43XXXX,40.0,38.5,0.31,,,72.0,By annual report date,No,SC-43XXXX
SUPERSONIC,SC-4316STV,40.0,38.5,0.31,,,72.0,By annual report date,No,SC-4316STV
ASANO,KC2411H1,23.8,22.7,0.23,,,43.0,http://m.qpic.cn/psc?/V121cOCr4OSegS/ruAMsa53pVQWN7FLK88i5vlWrERAJEIEftbqNKMtMdK5rsTbTsT7I.GHKIMDE1msYx*ySpy5XNRDsYuGlcH0ZRjN4B0eggYmrcj0.GGczaw!/mnull&bo=iQI6CQAAAAABB5g!&rf=photolist&t=5,No,KC2411H1
KitCatch,KC2411H1,23.8,22.7,0.23,,,43.0,http://m.qpic.cn/psc?/V121cOCr4OSegS/ruAMsa53pVQWN7FLK88i5vlWrERAJEIEftbqNKMtMdK5rsTbTsT7I.GHKIMDE1msYx*ySpy5XNRDsYuGlcH0ZRjN4B0eggYmrcj0.GGczaw!/mnull&bo=iQI6CQAAAAABB5g!&rf=photolist&t=5,No,KC2411H1
ASANO,KC2711L1,27.0,23.9,0.2,,,44.7,http://m.qpic.cn/psc?/V121cOCr4OSegS/ruAMsa53pVQWN7FLK88i5vlWrERAJEIEftbqNKMtMdJiQ3cOHRzyNE4ntG2EwxW757.UpewgpWmvMuc*clI8.uUcg9FCH80YFhWTp3wGz9E!/mnull&bo=iQI6CQAAAAABB5g!&rf=photolist&t=5,No,KC2711L1
TCL,50S454,49.5,46.3,0.3,,,191.0,By annual report date,No,50S454
TCL,50S452,49.5,46.3,0.3,,,191.0,By annual report date,No,50S452
TCL,50S450,49.5,46.3,0.3,,,191.0,By annual report date,No,50S450
TCL,50S41-CA,49.5,46.3,0.3,,,191.0,By annual report date,No,50S41-CA
TCL,50S453,49.5,46.3,0.3,,,191.0,By annual report date,No,50S453
TCL,50S45R,49.5,46.3,0.3,,,191.0,By annual report date,No,50S45R
TCL,50S41R,49.5,46.3,0.3,,,191.0,By annual report date,No,50S41R
PHILIPS,75BFL2214/27,74.5,116.0,0.42,0.76,,217.0,By annual report date,No,75BFL2214/27
PHILIPS,55BFL2214/27,54.5,77.2,0.4,0.79,,147.0,By annual report date,No,55BFL2214/27
PHILIPS,50HFL5214U/27,49.5,68.0,0.42,0.83,,130.0,By annual report date,No,50HFL5214U/27
PHILIPS,65BFL2214/27,64.5,93.5,0.43,0.83,,177.0,By annual report date,No,65BFL2214/27
PHILIPS,50HFL6214U/27,49.5,73.7,0.45,0.83,,141.0,By annual report date,No,50HFL6214U/27
PHILIPS,43HFL5214U/27,42.5,55.9,0.44,0.68,,107.0,By annual report date,No,43HFL5214U/27
TCL,32S352,32.0,30.4,0.3,,,57.6,https://share.weiyun.com/WlGlMPsF,No,32S352
TCL,32S355,32.0,30.4,0.3,,,57.6,https://share.weiyun.com/WlGlMPsF,No,32S355
TCL,32S356,32.0,30.4,0.3,,,57.6,https://share.weiyun.com/WlGlMPsF,No,32S356
TCL,32S357,32.0,30.4,0.3,,,57.6,https://share.weiyun.com/WlGlMPsF,No,32S357
TCL,32S351-CA,32.0,30.4,0.3,,,57.6,https://share.weiyun.com/WlGlMPsF,No,32S351-CA
TCL,32S352-CA,32.0,30.4,0.3,,,57.6,https://share.weiyun.com/WlGlMPsF,No,32S352-CA
TCL,32S353-CA,32.0,30.4,0.3,,,57.6,https://share.weiyun.com/WlGlMPsF,No,32S353-CA
TCL,32S355-CA,32.0,30.4,0.3,,,57.6,https://share.weiyun.com/WlGlMPsF,No,32S355-CA
TCL,32S356-CA,32.0,30.4,0.3,,,57.6,https://share.weiyun.com/WlGlMPsF,No,32S356-CA
TCL,32S350G,32.0,30.4,0.3,,,57.6,https://share.weiyun.com/WlGlMPsF,No,32S350G
TCL,32S350R,32.0,30.4,0.3,,,57.6,https://share.weiyun.com/WlGlMPsF,No,32S350R
TCL,32S350R-CA,32.0,30.4,0.3,,,57.6,https://share.weiyun.com/WlGlMPsF,No,32S350R-CA
TCL,32S330G-CA,32.0,30.4,0.3,,,57.6,https://share.weiyun.com/WlGlMPsF,No,32S330G-CA
TCL,32S330R-CA,32.0,30.4,0.3,,,57.6,https://share.weiyun.com/WlGlMPsF,No,32S330R-CA
TCL,32S310R,32.0,30.4,0.3,,,57.6,https://share.weiyun.com/WlGlMPsF,No,32S310R
TCL,32S310G,32.0,30.4,0.3,,,57.6,https://share.weiyun.com/WlGlMPsF,No,32S310G
TCL,32S310G-CA,32.0,30.4,0.3,,,57.6,https://share.weiyun.com/WlGlMPsF,No,32S310G-CA
TCL,32S250R,32.0,30.4,0.3,,,57.6,https://share.weiyun.com/WlGlMPsF,No,32S250R
TCL,32S250R-CA,32.0,30.4,0.3,,,57.6,https://share.weiyun.com/WlGlMPsF,No,32S250R-CA
TCL,32S230R,32.0,30.4,0.3,,,57.6,https://share.weiyun.com/WlGlMPsF,No,32S230R
TCL,32S230R-CA,32.0,30.4,0.3,,,57.6,https://share.weiyun.com/WlGlMPsF,No,32S230R-CA
TCL,40S351-CA,40.0,32.7,0.3,,,61.8,https://share.weiyun.com/vVjimQWz,No,40S351-CA
TCL,40S353-CA,40.0,32.7,0.3,,,61.8,https://share.weiyun.com/vVjimQWz,No,40S353-CA
TCL,40S355-CA,40.0,32.7,0.3,,,61.8,https://share.weiyun.com/vVjimQWz,No,40S355-CA
TCL,43S350G-CA,43.0,43.2,0.3,,,80.9,https://share.weiyun.com/8mfuifNN,No,43S350G-CA
TCL,43S330G-CA,43.0,43.2,0.3,,,80.9,https://share.weiyun.com/8mfuifNN,No,43S330G-CA
TCL,43S310G-CA,43.0,43.2,0.3,,,80.9,https://share.weiyun.com/8mfuifNN,No,43S310G-CA
TCL,43S350R-CA,43.0,43.2,0.3,,,80.9,https://share.weiyun.com/8mfuifNN,No,43S350R-CA
TCL,43S350G,43.0,43.2,0.3,,,80.9,https://share.weiyun.com/8mfuifNN,No,43S350G
TCL,40S350G-CA,40.0,32.7,0.3,,,61.8,https://share.weiyun.com/vVjimQWz,No,40S350G-CA
TCL,40S330G-CA,40.0,32.7,0.3,,,61.8,https://share.weiyun.com/vVjimQWz,No,40S330G-CA
TCL,40S310R-CA,40.0,32.7,0.3,,,61.8,https://share.weiyun.com/vVjimQWz,No,40S310R-CA
TCL,40S31R-CA,40.0,32.7,0.3,,,61.8,https://share.weiyun.com/vVjimQWz,No,40S31R-CA
TCL,40S350G,40.0,32.7,0.3,,,61.8,https://share.weiyun.com/vVjimQWz,No,40S350G
TCL,40S330G,40.0,32.7,0.3,,,61.8,https://share.weiyun.com/vVjimQWz,No,40S330G
TCL,40S310G,40.0,32.7,0.3,,,61.8,https://share.weiyun.com/vVjimQWz,No,40S310G
TCL,40S350R,40.0,32.7,0.3,,,61.8,https://share.weiyun.com/vVjimQWz,No,40S350R
TCL,50S450G,49.5,49.7,0.6,,,93.8,https://www.tcl.com/usca/content/dam/tcl/product/home-theater/4-series/download/s450g-energy-guides/50S450G-energy-guide.png,No,50S450G
TCL,43S450G,42.5,40.5,0.55,,,77.0,https://www.tcl.com/usca/content/dam/tcl/product/home-theater/4-series/download/s450g-energy-guides/43S450G-energy-guide.png,No,43S450G
TCL,40S350G,39.5,37.0,0.3,,,69.0,https://www.tcl.com/usca/content/dam/tcl/product/home-theater/3-series/download/s350g-energy-guides/40S350G-energy-guide.png,No,40S350G
TCL,32S350G,31.5,28.3,0.3,,,54.0,https://www.tcl.com/usca/content/dam/tcl/product/home-theater/3-series/download/s350g-energy-guides/32S350G-energy-guide.png,No,32S350G
VIZIO,V755x-K04,75.0,180.0,0.27,,,331.0,http://www.Vizio.com/,No,V755x-K04
