Brand_Name_s__s,Individual_Model_Number_m,Screen_Size__diagonal_in_inches__d,Power_Consumed_in_On_Mode__watts__d,Power_Consumed_in_Standby_Passive_Mode__watts__d,Power_Consumed_in_Standby_Active__Low_Mode__watts___if_applicable__d,Power_Consumed_in_Off_Mode__watts___if_applicable__d,Annual_Energy_Consumption__kWh_per_year__d,Link_to_FTC_EnergyGuide_Label_s,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,individual_model_number_modified
LG,43UP8000PUA,42.5,54.8,0.3,0.4,,103.0,http://www.lg.com/global/support/ftclabel,No,43UP8000PUA
LG,43LM5770PUA,42.5,43.0,0.2,0.3,,81.0,http://www.lg.com/global/support/ftclabel,No,43LM5770PUA
LG,32LM637BPUB,31.5,27.0,0.2,0.3,,51.0,http://www.lg.com/global/support/ftclabel,No,32LM637BPUB
LG,55NANO80UPA,54.6,67.4,0.3,0.4,,126.0,http://www.lg.com/global/support/ftclabel,No,55NANO80UPA
LG,OLED55C1PUB,54.6,106.0,0.3,0.4,,196.0,http://www.lg.com/global/support/ftclabel,No,OLED55C1PUB
LG,OLED55C1PUA,54.6,106.0,0.3,0.4,,196.0,http://www.lg.com/global/support/ftclabel,No,OLED55C1PUA
LG,OLED55C1AUB,54.6,106.0,0.3,0.4,,196.0,http://www.lg.com/global/support/ftclabel,No,OLED55C1AUB
LG,OLED55C1AUA,54.6,106.0,0.3,0.4,,196.0,http://www.lg.com/global/support/ftclabel,No,OLED55C1AUA
LG,75UP8070PUA,74.5,111.0,0.3,0.4,,205.0,http://www.lg.com/global/support/ftclabel,No,75UP8070PUA
LG,55NANO86APA,54.6,72.4,0.3,0.4,,135.0,http://www.lg.com/global/support/ftclabel,No,55NANO86APA
LG,55NANO85APA,54.6,72.4,0.3,0.4,,135.0,http://www.lg.com/global/support/ftclabel,No,55NANO85APA
LG,65UN732C0UF,64.5,93.7,0.3,0.4,,174.0,http://www.lg.com/global/support/ftclabel,No,65UN732C0UF
LG,55UN732C0UF,54.6,78.7,0.3,0.4,,146.0,http://www.lg.com/global/support/ftclabel,No,55UN732C0UF
LG,55UN731C0UF,54.6,78.7,0.3,0.4,,146.0,http://www.lg.com/global/support/ftclabel,No,55UN731C0UF
LG,43UT782V2UA,42.5,58.9,0.3,,,110.0,http://www.lg.com/global/support/ftclabel,No,43UT782V2UA
LG,75US770H0UD,74.5,127.0,0.2,,,232.0,http://www.lg.com/global/support/ftclabel,No,75US770H0UD
LG,40LT570H0UA,39.5,57.0,0.2,,,105.0,http://www.lg.com/global/support/ftclabel,No,40LT570H0UA
LG,75NANO85UNA,74.5,149.0,0.3,0.4,,275.0,http://www.lg.com/global/support/ftclabel,No,75NANO85UNA
LG,55UT342H0UC,54.6,66.5,0.2,,,123.0,http://www.lg.com/global/support/ftclabel,No,55UT342H0UC
LG,65UT342H0UC,64.5,83.8,0.2,,,154.0,http://www.lg.com/global/support/ftclabel,No,65UT342H0UC
LG,70UN6950ZUA,69.5,101.0,0.3,0.4,,186.0,http://www.lg.com/global/support/ftclabel,No,70UN6950ZUA
LG,43US670H0UA,42.5,51.0,0.3,,,95.0,http://www.lg.com/global/support/ftclabel,No,43US670H0UA
LG,65US770H0UD,64.5,79.5,0.3,,,147.0,http://www.lg.com/global/support/ftclabel,No,65US770H0UD
LG,55US770H0UA,54.6,68.8,0.3,,,128.0,http://www.lg.com/global/support/ftclabel,No,55US770H0UA
LG,49US770H0UA,48.5,65.8,0.3,,,122.0,http://www.lg.com/global/support/ftclabel,No,49US770H0UA
LG,55UT342H0UA,54.6,66.5,0.2,,,123.0,http://www.lg.com/global/support/ftclabel,No,55UT342H0UA
LG,43QNED75ARA,42.5,66.0,0.3,0.4,,123.0,http://www.lg.com/global/support/ftclabel,No,43QNED75ARA
LG,43QNED75URA,42.5,66.0,0.3,0.4,,123.0,http://www.lg.com/global/support/ftclabel,No,43QNED75URA
LG,75UQ7050ZUD,74.5,110.0,0.3,0.4,,204.0,http://www.lg.com/global/support/ftclabel,No,75UQ7050ZUD
LG,65UQ7030PUD,64.5,86.0,0.3,0.4,,160.0,http://www.lg.com/global/support/ftclabel,No,65UQ7030PUD
LG,65QNED75URA,64.5,88.0,0.3,0.4,,163.0,http://www.lg.com/global/support/ftclabel,No,65QNED75URA
LG,55QNED75ARA,54.6,72.0,0.3,0.4,,134.0,http://www.lg.com/global/support/ftclabel,No,55QNED75ARA
LG,55QNED75URA,54.6,72.0,0.3,0.4,,134.0,http://www.lg.com/global/support/ftclabel,No,55QNED75URA
LG,50QNED75URA,49.5,58.0,0.3,0.4,,109.0,http://www.lg.com/global/support/ftclabel,No,50QNED75URA
LG,55UR772V9UC,54.6,80.0,0.2,,,147.0,http://www.lg.com/global/support/ftclabel,No,55UR772V9UC
LG,55UN560H0UA,54.6,74.0,0.3,,,137.0,http://www.lg.com/global/support/ftclabel,No,55UN560H0UA
LG,55UN570H0UA,54.6,74.0,0.3,,,137.0,http://www.lg.com/global/support/ftclabel,No,55UN570H0UA
LG,50UN343H0UA,49.5,64.0,0.3,,,119.0,http://www.lg.com/global/support/ftclabel,No,50UN343H0UA
LG,55UN672M0UB,54.6,76.0,0.3,,,141.0,http://www.lg.com/global/support/ftclabel,No,55UN672M0UB
LG,65UR8000AUA,64.5,95.0,0.3,0.4,,176.0,http://www.lg.com/global/support/ftclabel,No,65UR8000AUA
LG,55UR8000AUA,54.6,78.0,0.3,0.4,,145.0,http://www.lg.com/global/support/ftclabel,No,55UR8000AUA
LG,50UR8000AUA,49.5,66.0,0.3,0.4,,123.0,http://www.lg.com/global/support/ftclabel,No,50UR8000AUA
LG,22LN660V0UD,21.5,22.8,0.3,,,44.0,http://www.lg.com/global/support/ftclabel,No,22LN660V0UD
LG,24LN660VBUD,23.6,21.7,0.3,,,42.0,http://www.lg.com/global/support/ftclabel,No,24LN660VBUD
LG,75QNED85ARA,74.5,136.0,0.3,0.4,,250.0,http://www.lg.com/global/support/ftclabel,No,75QNED85ARA
LG,55QNED85URA,54.6,86.5,0.3,0.4,,161.0,http://www.lg.com/global/support/ftclabel,No,55QNED85URA
LG,65QNED85URA,64.5,108.0,0.3,0.4,,200.0,http://www.lg.com/global/support/ftclabel,No,65QNED85URA
LG,65QNED85ARA,64.5,108.0,0.3,0.4,,200.0,http://www.lg.com/global/support/ftclabel,No,65QNED85ARA
LG,55UR9000PUA,54.6,70.0,0.3,0.4,,131.0,http://www.lg.com/global/support/ftclabel,No,55UR9000PUA
LG,86QNED85URA,85.6,166.0,0.3,0.4,,306.0,http://www.lg.com/global/support/ftclabel,No,86QNED85URA
LG,86QNED85ARA,85.6,166.0,0.3,0.4,,306.0,http://www.lg.com/global/support/ftclabel,No,86QNED85ARA
LG,OLED77B3PUA,76.7,146.0,0.3,0.4,,269.0,http://www.lg.com/global/support/ftclabel,No,OLED77B3PUA
LG,OLED77A3AUA,76.7,126.0,0.3,0.4,,233.0,http://www.lg.com/global/support/ftclabel,No,OLED77A3AUA
LG,OLED77A3PUA,76.7,126.0,0.3,0.4,,233.0,http://www.lg.com/global/support/ftclabel,No,OLED77A3PUA
LG,32LN662MBUB,31.5,31.0,0.3,,,59.0,http://www.lg.com/global/support/ftclabel,No,32LN662MBUB
LG,86UR9000PUA,85.6,170.0,0.3,0.4,,312.0,http://www.lg.com/global/support/ftclabel,No,86UR9000PUA
LG,OLED55B3AUA,54.6,100.0,0.3,0.4,,185.0,http://www.lg.com/global/support/ftclabel,No,OLED55B3AUA
LG,OLED55B3PUA,54.6,100.0,0.3,0.4,,185.0,http://www.lg.com/global/support/ftclabel,No,OLED55B3PUA
LG,86QNED80ARA,85.6,156.0,0.3,0.4,,287.0,http://www.lg.com/global/support/ftclabel,No,86QNED80ARA
LG,86QNED80URA,85.6,156.0,0.3,0.4,,287.0,http://www.lg.com/global/support/ftclabel,No,86QNED80URA
LG,OLED55G3PUA,54.6,115.0,0.3,0.4,,213.0,http://www.lg.com/global/support/ftclabel,No,OLED55G3PUA
