ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,UPC,Height (inches),Width (inches),Depth (inches),Weight (lbs),Cooling Capacity (Btu/hr),Voltage (volts),Type,Installation Mounting Type,Support Bracket,Heating Mode,Casement Window,Product Class,Variable Speed Compressor,Low Noise,Refrigerant Type,Refrigerant with GWP,Combined Energy Efficiency Ratio (CEER),Percent Less Energy Use than US Federal Standard,Annual Energy Use (kWh/yr),Connected Capable,Connects Using,Communication Hardware Architecture,DR Protocol,Primary Communication Module/Device Brand Name and Model Number,Network Security Standards,Network Standby Power (watts),Is Broadband Internet Connection Needed for Demand Response?,Direct on-premises Open-standard Based Interconnection,Date Available On Market,Date Certified,Markets,CB Model Identifier,Meets ENERGY STAR Most Efficient 2023 Criteria,model_number_modified
2370345,TOSOT,GJC08BK-A6NRNC5B,,,,,,,8000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",No,No,,,12.0,10,500,No,,,,,,,,,10/01/2020,11/19/2020,"United States, Canada",ES_1105164_GJC08BK-A6NRNC5B_11302020071526_80061807,No,GJC08BK-A6NRNC5B
2335943,TOSOT,GJC08BS-A3NRNJ1B,,,,,,,8000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",No,No,,,12.0,10,500,No,,,,,,,,,04/01/2019,04/11/2019,"United States, Canada",ES_1105164_GJC08BS-A3NRNJ1B_04032019093546_4146004,No,GJC08BS-A3NRNJ1B
2361379,TOSOT,GJC08BS-A6NRNJ1A,,,,,,,8000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",No,No,,,12.0,10,500,No,,,,,,,,,06/01/2020,06/05/2020,"United States, Canada",ES_1105164_GJC08BS-A6NRNJ1A_06052020070212_0532298,No,GJC08BS-A6NRNJ1A
2370342,TOSOT,GJC08BU-A6NRNJ2A,,,,,,,8000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",No,No,,,12.0,10,500,No,,,,,,,,,10/01/2020,11/19/2020,"United States, Canada",ES_1105164_GJC08BU-A6NRNJ2A_11302020071523_80061807,No,GJC08BU-A6NRNJ2A
2370348,TOSOT,GJC10BL-A6NRNC5E,,,,,,,10200,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",No,No,,,12.0,10,638,No,,,,,,,,,10/01/2020,11/19/2020,"United States, Canada",ES_1105164_GJC10BL-A6NRNC5E_11302020071529_80061811,No,GJC10BL-A6NRNC5E
2335944,TOSOT,GJC10BR-A3NRNJ1C,,,,,,,10200,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",No,No,,,12.0,10,638,No,,,,,,,,,04/01/2019,04/11/2019,"United States, Canada",ES_1105164_GJC10BR-A3NRNJ1C_04032019095146_5106042,No,GJC10BR-A3NRNJ1C
2359552,TOSOT,GJC10BR-A6NRNJ1A,,,,,,,10200,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",No,No,,,12.0,10,638,No,,,,,,,,,05/01/2020,05/07/2020,"United States, Canada",ES_1105164_GJC10BR-A6NRNJ1A_05072020061716_80041664,No,GJC10BR-A6NRNJ1A
2335945,TOSOT,GJC12BR-A3NRNJ1C,,,,,,,12100,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",No,No,,,12.0,10,756,No,,,,,,,,,04/01/2019,04/11/2019,"United States, Canada",ES_1105164_GJC12BR-A3NRNJ1C_04032019095523_5323590,No,GJC12BR-A3NRNJ1C
2370349,TOSOT,GJC12BR-A6NRNC5C,,,,,,,12100,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",No,No,,,12.0,10,756,No,,,,,,,,,10/01/2020,11/19/2020,"United States, Canada",ES_1105164_GJC12BR-A6NRNC5C_11302020072523_80061811,No,GJC12BR-A6NRNC5C
2359551,TOSOT,GJC12BR-A6NRNJ1A,,,,,,,12100,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",No,No,,,12.0,10,756,No,,,,,,,,,05/01/2020,05/07/2020,"United States, Canada",ES_1105164_GJC12BR-A6NRNJ1A_05072020061716_5550000_,No,GJC12BR-A6NRNJ1A
