Brand_Name_s__s,Product_Group_Code_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Capacity__cubic_feet__d,Voltage__volts___For_Electric_Models_Only__d,Hourly_BTU_Rating_of_the_Burner__For_Gas_Models_Only__d,Does_the_Dryer_Have_Automatic_Termination_Controls__s,Combined_Energy_Factor__pounds_per_kilowatt_hour__d,Cycle_Settings_for_Energy_Test_Cycle___Program_Cycle_Setting_s,Cycle_Settings_for_Energy_Test_Cycle___Temperature_Setting_s,Cycle_Settings_for_Energy_Test_Cycle___Dryness_Setting_s,Cycle_Settings_for_Energy_Test_Cycle___Other_Optional_Cycle_Settings_in_the_As_Shipped_Position__If_Applicable__s,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s
LG,Vented Gas,DLGX4271*,DLG1502*,7.4,,20000.0,Yes,3.49,Normal,Medium,Normal,,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLEX4270*,DLEX4270*,7.4,240.0,,Yes,3.94,Cotton/Normal,Medium,Normal,,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLEX4270*,DLE3170*,7.4,240.0,,Yes,3.94,Cotton/Normal,Medium,Normal,,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLEX4270*,DLE1501*E,7.4,240.0,,Yes,3.94,Normal,Medium,Normal,,No,No
Frigidaire,"Vented Electric, Standard (4.4 ft3 or greater capacity)",ELFE7537***,FDEX22E4EW,8.0,240.0,,Yes,3.93,Normal,Normal,Normal,,No,No
Electrolux,Vented Gas,EFMG617****,ELFG7637***,8.0,,20000.0,Yes,3.48,Normal,Normal,Normal,,No,No
Electrolux,"Vented Electric, Standard (4.4 ft3 or greater capacity)",ELFE7537***,ELFE7537***,8.0,240.0,,Yes,3.93,Normal,Normal,Normal,,No,No
Electrolux,"Ventless Electric, Compact (240V) (less than 4.4 ft3 capacity)",ELFE4222***,ELFE4222***,4.0,240.0,,Yes,2.68,Normal,High,Normal,Eco,No,No
Electrolux,Vented Gas,EFMG617****,EFMG427****,8.0,,20000.0,Yes,3.48,Normal,Normal,Normal,Eco,No,No
Electrolux,Vented Gas,EFMG617****,EFMG627****,8.0,,20000.0,Yes,3.48,Normal,Normal,Normal,Eco,No,No
Danby,"Vented Electric, Compact (120V) (less than 4.4 ft3 capacity)",DDY060WDB,DDY060WDB,3.4,120.0,,Yes,3.61,Normal,Maximum,Normal,,No,No
Insignia,"Vented Electric, Standard (4.4 ft3 or greater capacity)",MDH210-V022/B01EQHS-US,NS-FDRE80W3,8.0,240.0,,Yes,3.93,Normal,Medium,Normal Dry,,No,No
Insignia,Vented Gas,MDH210-VG022/B01EQHS-US,NS-FDRG80W3,8.0,,20000.0,Yes,3.48,Normal,Medium,Normal Dry,,No,No
