Brand_Name_s__s,Product_Group_Code_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Total_Adjusted_Volume__Cubic_Feet__d,Annual_Energy_Use__Kilowatt_Hours_Year__d,Total_Refrigerated_Volume__ft3__d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s,Link_to_FTC_EnergyGuide_Label_s
FRIGIDAIRE,(11A.) Compact all-refrigerators - manual defrost,BC-50DAN,EFR176-C-BLACK_AMZ,1.6,200.0,1.6,No,No,By annual report date
FRIGIDAIRE,(11A.) Compact all-refrigerators - manual defrost,BC-50DAN,EFR115-B-GREEN_AMZ,1.6,200.0,1.6,No,No,By annual report date
FRIGIDAIRE,(11A.) Compact all-refrigerators - manual defrost,BC-50DAN,EFR115-C-BLUE,1.6,200.0,1.6,No,No,By annual report date
RCA,(11A.) Compact all-refrigerators - manual defrost,BC-50DAN,RFR115-C-BLACK-6COM,1.6,200.0,1.6,No,No,By annual report date
Hamilton Beach,(11A.) Compact all-refrigerators - manual defrost,BC-50DAN,HBF1600-CREAM-6COM,1.6,200.0,1.6,No,No,By annual report date
Hamilton Beach,(11A.) Compact all-refrigerators - manual defrost,BC-50DAN,HBF1600-BLUE-6COM,1.6,200.0,1.6,No,No,By annual report date
FRIGIDAIRE,(11A.) Compact all-refrigerators - manual defrost,BC-90DANB,EFR376-B-RED-6COM,3.1,215.0,3.1,No,No,By annual report date
FRIGIDAIRE,(11A.) Compact all-refrigerators - manual defrost,BC-90DANB,EFR376-BLACK-6COM,3.1,215.0,3.1,No,No,By annual report date
RCA,(11A.) Compact all-refrigerators - manual defrost,BC-90DANB,RFR335-6COM,3.1,215.0,3.1,No,No,By annual report date
RCA,(11A.) Compact all-refrigerators - manual defrost,BC-90DANB,RFR321-BLACK-6COM,3.1,215.0,3.1,No,No,By annual report date
Hamilton Beach,(12.) Compact refrigerator-freezers - partial automatic defrost,BCD-95ANB,HBF3220-RED,3.8,350.0,3.1,No,No,By annual report date
THOMSON,(12.) Compact refrigerator-freezers - partial automatic defrost,BCD-95ANB,TFR834-D,3.8,350.0,3.1,No,No,By annual report date
THOMSON,(12.) Compact refrigerator-freezers - partial automatic defrost,BCD-95ANB,TFR834,3.8,350.0,3.1,No,No,By annual report date
RCA,(12.) Compact refrigerator-freezers - partial automatic defrost,BCD-95ANB,RFR836-F,3.8,350.0,3.1,No,No,By annual report date
RCA,(12.) Compact refrigerator-freezers - partial automatic defrost,BCD-95ANB,RFR836,3.8,350.0,3.1,No,No,By annual report date
RCA,(12.) Compact refrigerator-freezers - partial automatic defrost,BCD-95ANB,RFR834,3.8,350.0,3.1,No,No,By annual report date
RCA,(12.) Compact refrigerator-freezers - partial automatic defrost,BCD-95ANB,RFR834-F,3.8,350.0,3.1,No,No,By annual report date
FRIGIDAIRE,(12.) Compact refrigerator-freezers - partial automatic defrost,BCD-95ANB,EFR840-B-RED-6COM,3.8,350.0,3.1,No,No,By annual report date
FRIGIDAIRE,(12.) Compact refrigerator-freezers - partial automatic defrost,BCD-95ANB,EFR341-B-AMZ,3.8,350.0,3.1,No,No,By annual report date
FRIGIDAIRE,(12.) Compact refrigerator-freezers - partial automatic defrost,BCD-95ANB,EFR840-B-MINT,3.8,350.0,3.1,No,No,By annual report date
FRIGIDAIRE,(12.) Compact refrigerator-freezers - partial automatic defrost,BCD-95ANB,EFR840-C-BLACK-COM,3.8,350.0,3.1,No,No,By annual report date
FRIGIDAIRE,(12.) Compact refrigerator-freezers - partial automatic defrost,BCD-95ANB,EFR840-B-BLACK-6COM,3.8,350.0,3.1,No,No,By annual report date
FRIGIDAIRE,(12.) Compact refrigerator-freezers - partial automatic defrost,BCD-95ANB,EFR840-C-RED-COM,3.8,350.0,3.1,No,No,By annual report date
Marathon,(13A.) Compact all-refrigerators - automatic defrost,BC-98CNB,MAR35SS,3.6,260.0,3.6,No,No,By annual report date
Marathon,(3A.) All-refrigerators - automatic defrost,BC-428AN,MAR149SS,15.1,275.0,15.1,No,No,By annual report date
Marathon,(3A.) All-refrigerators - automatic defrost,BC-428AN,MAR149W,15.1,275.0,15.1,No,No,By annual report date
Alpicool,(11A.) Compact all-refrigerators - manual defrost,C75,C75,2.4,184.0,2.4,No,No,http://doe.alpicool.com/
BLIZZ,(11A.) Compact all-refrigerators - manual defrost,AG42,AG42,1.5,188.0,1.5,No,No,http://doe.alpicool.com/
Alpicool,(11A.) Compact all-refrigerators - manual defrost,AL42,AL42,1.5,188.0,1.5,No,No,http://doe.alpicool.com/
AMANA,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,7W7P11-07,ASI2175G**0*,26.6,660.0,21.4,No,No,https://www.whirlpool.com/services/manuals.html
WHIRLPOOL,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,7w7p40-19,WRS325SDH*0*,31.5,702.0,24.6,No,No,https://www.whirlpool.com/services/manuals.html
APPLIANCE BASICS,(9.) Upright freezers with automatic defrost without an automatic icemaker,HS772FWENW,HS772FWENW,37.0,492.0,21.0,No,No,By annual report date
Commercial Cool,(13A.) Compact all-refrigerators - automatic defrost,JC-133ENY-C-62H,CCB138GB,4.3,298.0,4.3,No,No,By annual report date
Commercial Cool,(13A.) Compact all-refrigerators - automatic defrost,JC-50NY-C-62H,CCB51GB,1.7,274.0,1.7,No,No,By annual report date
Alpicool,(11A.) Compact all-refrigerators - manual defrost,CR65,CR65,2.2,192.0,2.2,No,No,http://doe.alpicool.com/
Fisher & Paykel,(5I-BI.) Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,RS2474B,RS2474BRU1,13.8,382.0,10.6,No,No,By annual report date
Hisense,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,BCD-586WI,HRB208N6BSE,26.1,395.0,20.9,No,No,https://assets.hisense-usa.com/assets/Energy-Guides/2020/HA/Refrigerator/New/ac5f3ba5a4/HRB208N6BSE.pdf
MicroFridge by Danby with SAFE PLUG,(13A.) Compact all-refrigerators - automatic defrost,3.2MF4R,3.2MF4R,3.2,258.0,3.2,No,No,https://www.microfridge.com/en-us/product-resources/
IGLOO,(11A.) Compact all-refrigerators - manual defrost,IRF32BK,IRF32BK,3.2,218.0,3.2,No,No,By annual report date
ARCTIC KING,(16.) Compact upright freezers with manual defrost,HS-109FN(S2NZ),ARU030S1ARSS,5.3,240.0,3.0,No,No,By annual report date
SUMMIT,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,CTR22**#,CTR22**#,25.2,437.0,20.8,No,No,By annual report date
COMMERCIAL COOL,(12.) Compact refrigerator-freezers - partial automatic defrost,CCRR4LB,"CCRR4LW, CCRR4LR",4.3,324.0,4.0,No,No,By annual report date
BLACK+DECKER,(11A.) Compact all-refrigerators - manual defrost,BCRR4ALB,"BCRR4ALR, BCRR4ALW",4.4,227.0,4.4,No,No,By annual report date
