Brand_Name_s__s,Product_Group_Code_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Capacity__Cubic_Feet__d,Integrated_Modified_Energy_Factor__cubic_feet_per_kilowatt_hour_per_cycle__d,Integrated_Water_Factor__gallons_per_cycle_per_cubic_foot__d,Corrected_Remaining_Moisture_Content_____d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s,Link_to_FTC_EnergyGuide_Label_s,individual_model_number_modified
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vA751(3B),WFW560CH**,4.3,2.76,3.2,27.8,No,No,http://www.whirlpool.com/manuals,WFW560CH..
LG,"Front-loading, standard (1.6 ft3 or greater capacity)",WM9500H*A,WM9500H*A,5.8,3.1,2.7,27.5,No,No,http://www.lg.com/global/support/ftclabel,WM9500H.A
LG,"Top-loading, standard (1.6 ft3 or greater capacity)",WT7300C*,WT7250C*,5.0,2.76,3.2,30.9,No,No,http://www.lg.com/global/support/ftclabel,WT7250C.
LG,"Front-loading, standard (1.6 ft3 or greater capacity)",WM1388H*,WM1399H*A,2.3,2.07,4.2,33.0,No,No,http://www.lg.com/global/support/ftclabel,WM1399H.A
LG,"Front-loading, standard (1.6 ft3 or greater capacity)",WM3500C*,WM3095C*,4.5,2.92,2.9,28.7,No,No,http://www.lg.com/global/support/ftclabel,WM3095C.
LG,"Top-loading, standard (1.6 ft3 or greater capacity)",WT7850H*A,WT7850H*A,5.2,2.38,3.7,30.6,No,No,http://www.lg.com/global/support/ftclabel,WT7850H.A
LG,"Front-loading, standard (1.6 ft3 or greater capacity)",WM8100H*A+,WM9000H*A,5.2,2.92,3.2,25.9,No,No,http://www.lg.com/global/support/ftclabel,WM9000H.A
LG,"Front-loading, standard (1.6 ft3 or greater capacity)",WKEX200H*A,WKEX200H*A,4.5,2.92,2.9,28.6,No,No,http://www.lg.com/global/support/ftclabel,WKEX200H.A
LG,"Front-loading, standard (1.6 ft3 or greater capacity)",WKEX200H*A,WKGX201H*A,4.5,2.92,2.9,28.6,No,No,http://www.lg.com/global/support/ftclabel,WKGX201H.A
LG,"Front-loading, standard (1.6 ft3 or greater capacity)",WM4500H*A,WSEX200H*A,5.0,3.1,2.9,26.5,No,No,http://www.lg.com/global/support/ftclabel,WSEX200H.A
LG,"Front-loading, standard (1.6 ft3 or greater capacity)",WM4500H*A,WSGX201H*A,5.0,3.1,2.9,26.5,No,No,http://www.lg.com/global/support/ftclabel,WSGX201H.A
LG,"Front-loading, standard (1.6 ft3 or greater capacity)",WM3500C*,WM3450C*,4.5,2.92,2.9,28.7,No,No,http://www.lg.com/global/support/ftclabel,WM3450C.
LG,"Front-loading, standard (1.6 ft3 or greater capacity)",WM3700H*A,WM3605H*A,4.5,2.92,2.9,29.0,No,No,http://www.lg.com/global/support/ftclabel,WM3605H.A
LG,"Front-loading, standard (1.6 ft3 or greater capacity)",WM3700H*A,WKE100H*A,4.5,2.92,2.9,29.0,No,No,http://www.lg.com/global/support/ftclabel,WKE100H.A
LG,"Top-loading, standard (1.6 ft3 or greater capacity)",WT7800H*A,WT7800H*A,5.0,2.38,3.7,32.8,No,No,http://www.lg.com/global/support/ftclabel,WT7800H.A
Kenmore,"Front-loading, standard (1.6 ft3 or greater capacity)",4196#,4196#,5.2,2.92,3.2,27.6,No,No,https://www.kenmore.com/energyguides,4196.
Kenmore,"Front-loading, standard (1.6 ft3 or greater capacity)",WM3270C*,4126#,4.5,2.92,3.2,29.5,No,No,https://www.kenmore.com/energyguides,4126.
LG,"Top-loading, standard (1.6 ft3 or greater capacity)",WT7405C*,WT7485C*,5.3,2.06,4.3,34.7,No,No,http://www.lg.com/global/support/ftclabel,WT7485C.
LG,"Front-loading, standard (1.6 ft3 or greater capacity)",WM6700H*A,WM6700H*A,5.0,3.1,3.0,27.8,No,No,http://www.lg.com/global/support/ftclabel,WM6700H.A
LG,"Top-loading, standard (1.6 ft3 or greater capacity)",WT1501C*,WT1501C*,4.5,2.38,3.7,36.0,No,No,http://www.lg.com/global/support/ftclabel,WT1501C.
LG,"Top-loading, standard (1.6 ft3 or greater capacity)",WT5680H*A,WT5680H*A,5.0,2.38,3.7,29.0,No,No,http://www.lg.com/global/support/ftclabel,WT5680H.A
LG,"Top-loading, standard (1.6 ft3 or greater capacity)",WT7600H*A,WT7600H*A,5.2,2.38,3.7,29.9,No,No,http://www.lg.com/global/support/ftclabel,WT7600H.A
LG,"Top-loading, standard (1.6 ft3 or greater capacity)",WT1501C*,WT1150C*,4.5,2.38,3.7,36.0,No,No,http://www.lg.com/global/support/ftclabel,WT1150C.
LG,"Front-loading, standard (1.6 ft3 or greater capacity)",WM1388H*,WM1388H*,2.3,2.07,4.2,33.4,No,No,http://www.lg.com/global/support/ftclabel,WM1388H.
LG,"Top-loading, standard (1.6 ft3 or greater capacity)",WT7200C*,WT1901C*,5.0,2.38,3.7,31.4,No,No,http://www.lg.com/global/support/ftclabel,WT1901C.
LG,"Front-loading, standard (1.6 ft3 or greater capacity)",WM3500C*,WM3400C*,4.5,2.92,2.9,28.7,No,No,http://www.lg.com/global/support/ftclabel,WM3400C.
LG,"Front-loading, standard (1.6 ft3 or greater capacity)",WM3700H*A,WM3600H*A,4.5,2.92,2.9,29.0,No,No,http://www.lg.com/global/support/ftclabel,WM3600H.A
LG,"Front-loading, standard (1.6 ft3 or greater capacity)",WM3900H*A,WM3900H*A,4.5,2.92,2.9,28.8,No,No,http://www.lg.com/global/support/ftclabel,WM3900H.A
LG,"Top-loading, standard (1.6 ft3 or greater capacity)",WT7100C*,WT7100C*,4.5,2.06,4.3,33.1,No,No,http://www.lg.com/global/support/ftclabel,WT7100C.
LG,"Top-loading, standard (1.6 ft3 or greater capacity)",WT7300C*,WT7300C*,5.0,2.76,3.2,30.9,No,No,http://www.lg.com/global/support/ftclabel,WT7300C.
LG,"Top-loading, standard (1.6 ft3 or greater capacity)",WT7800C*,WT7800C*,5.5,2.76,3.2,31.3,No,No,http://www.lg.com/global/support/ftclabel,WT7800C.
Kenmore,"Top-loading, standard (1.6 ft3 or greater capacity)",WT7900H*A,3177#,5.5,2.76,3.2,30.6,No,No,http://www.lg.com/global/support/ftclabel,3177.
Electrolux,"Front-loading, standard (1.6 ft3 or greater capacity)",EFLW317****,EFLW317****,4.3,2.76,3.2,29.8,No,No,https://energyguide.electrolux-na.com/,EFLW317....
Electrolux,"Front-loading, standard (1.6 ft3 or greater capacity)",ELFW7637***,ELFW7537***,4.5,2.92,3.2,28.3,No,No,https://energyguide.electrolux-na.com/,ELFW7537...
Electrolux,"Front-loading, standard (1.6 ft3 or greater capacity)",ELFW7637***,ELFW7437***,4.5,2.92,3.2,28.3,No,No,https://energyguide.electrolux-na.com/,ELFW7437...
Electrolux,"Front-loading, standard (1.6 ft3 or greater capacity)",EIFLS20****,ELFW4222***,2.4,2.13,3.8,32.7,No,No,https://energyguide.electrolux-na.com/,ELFW4222...
Frigidaire,"Front-loading, standard (1.6 ft3 or greater capacity)",ELFW7337***,FWFX22D4EW,4.4,2.76,3.2,31.3,No,No,https://energyguide.electrolux-na.com/,FWFX22D4EW
INSIGNIA,"Front-loading, standard (1.6 ft3 or greater capacity)",MFC120-U1321DS/C14E-US,NS-FWM27W1,2.8,1.84,4.7,26.0,No,No,https://www.bestbuy.com,NS-FWM27W1
INSIGNIA,"Front-loading, standard (1.6 ft3 or greater capacity)",MFH180-G1302DS/F01E-BBY,NS-FWM45W3,4.5,2.76,3.2,26.3,No,No,https://www.bestbuy.com,NS-FWM45W3
Hamilton Beach,"Front-loading, standard (1.6 ft3 or greater capacity)",WM1462,HBFW3205,2.2,2.07,4.2,30.0,No,No,https://www.curtis-hamilton.com/,HBFW3205
Insignia,"Front-loading, standard (1.6 ft3 or greater capacity)",MFH180-G1302DS/F01E-BBY,NS-FWM45W3,4.5,2.76,3.2,26.3,No,No,By annual report date,NS-FWM45W3
GE,"Front-loading, standard (1.6 ft3 or greater capacity)",H46F_4_V,GFW510S*V***,4.6,2.76,3.0,26.3,No,No,By annual report date,GFW510S.V...
Danby,"Front-loading, standard (1.6 ft3 or greater capacity)",DWM022D1WDB,DWM022D1WDB,2.2,2.07,4.2,29.0,No,No,https://www.danby.com/en-us/product-resources/,DWM022D1WDB
Crosley,"Top-loading, standard (1.6 ft3 or greater capacity)",G45A_2_L,YTW4514*N***,4.5,2.06,4.3,36.2,No,No,https://products-salsify.geappliances.com/image/upload/s--qDwxX-BP--/u15wppiukf6mxsztmupb.pdf,YTW4514.N...
Samsung,"Top-loading, standard (1.6 ft3 or greater capacity)",WA54CG715*A*,WA54CG715*A*,5.4,2.3,3.8,36.9,No,No,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-WA54CG7150AD-us-energylabel.pdf,WA54CG715.A.
Samsung,"Top-loading, standard (1.6 ft3 or greater capacity)",WA53CG7155A*,WA53CG7155A*,5.3,2.3,3.8,37.0,No,No,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-WA53CG7155AD-us-energylabel.pdf,WA53CG7155A.
Samsung,"Top-loading, standard (1.6 ft3 or greater capacity)",WA54CG7105A*,WA54CG7105A*,5.4,2.3,3.8,37.0,No,No,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-WA54CG7105AD-us-energylabel.pdf,WA54CG7105A.
Criterion,"Front-loading, standard (1.6 ft3 or greater capacity)",MFH180-G1304DS/F01E-US,CFW45N1AW,4.5,2.76,3.2,28.0,No,No,By annual report date,CFW45N1AW
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V21zAe57(3B),WTW8127L**,5.2,2.06,4.3,34.1,No,No,http://www.whirlpool.com/manuals,WTW8127L..
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V19zBE60(3B),MVW7230H**,5.2,2.06,4.3,33.9,No,No,http://www.whirlpool.com/manuals,MVW7230H..
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V19zBG61(3B),MVW7232H**,5.3,2.06,4.3,33.9,No,No,http://www.whirlpool.com/manuals,MVW7232H..
ELEMENT,"Front-loading, standard (1.6 ft3 or greater capacity)",MFH180-G1302DS/F01E-US,EFL4527BW,4.6,2.76,3.2,26.9,No,No,By annual report date,EFL4527BW
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V22aAf50(3B),WTW6150P**,5.3,2.06,4.3,34.0,No,No,http://www.whirlpool.com/manuals,WTW6150P..
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V23aAf50(3B),WTW6157P**,5.3,2.06,4.3,33.1,No,No,http://www.whirlpool.com/manuals,WTW6157P..
GE,"Top-loading, standard (1.6 ft3 or greater capacity)",M39I_2_V,GUD27EE*V***,3.9,2.06,4.3,36.7,No,No,By annual report date,GUD27EE.V...
Magic Chef,"Front-loading, standard (1.6 ft3 or greater capacity)",MCSFLW24W1,MCSFLW24W1,2.2,2.07,4.2,30.0,No,No,By annual report date,MCSFLW24W1
Equator Advanced Appliances,"Front-loading, standard (1.6 ft3 or greater capacity)",CW 2240 W,CW 2240 W,2.2,2.07,4.2,30.0,No,No,By annual report date,CW 2240 W
Equator Advanced Appliances,"Front-loading, standard (1.6 ft3 or greater capacity)",CW 2240 B,CW 2240 B,2.2,2.07,4.2,30.0,No,No,By annual report date,CW 2240 B
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V21zAe56(3B),WTW8127L**,5.2,2.06,4.3,34.1,No,No,http://www.whirlpool.com/manuals,WTW8127L..
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vA754(3B),WFW560CH**,4.3,2.76,3.2,27.8,No,No,http://www.whirlpool.com/manuals,WFW560CH..
Maytag,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vB854(3B),MHW5630H**,4.5,2.76,3.2,27.5,No,No,http://www.whirlpool.com/manuals,MHW5630H..
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H22gA852(3B),WFW5605M**,4.5,2.76,3.2,28.7,No,No,http://www.whirlpool.com/manuals,WFW5605M..
Maytag,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vB950(3B),MHW6630H**,4.8,2.76,3.2,27.1,No,No,http://www.whirlpool.com/manuals,MHW6630H..
KOOLMORE,"Front-loading, standard (1.6 ft3 or greater capacity)",MFH180-G1302DS/F01E-US,FLW-5CWH,4.6,2.76,3.2,26.9,No,No,By annual report date,FLW-5CWH
MAGIC CHEF,"Front-loading, standard (1.6 ft3 or greater capacity)",MFC120-U1421BS/C14E-US,MCSFLW27W,2.7,2.76,3.2,23.9,No,No,By annual report date,MCSFLW27W
LG,"Front-loading, standard (1.6 ft3 or greater capacity)",WKEX300H*A,SWWE50*3,5.0,2.92,2.9,28.0,No,No,http://www.lg.com/global/support/ftclabel,SWWE50.3
LG,"Front-loading, standard (1.6 ft3 or greater capacity)",WKEX300H*A,WKGX301H*A,5.0,2.92,2.9,28.0,No,No,http://www.lg.com/global/support/ftclabel,WKGX301H.A
ASKO,"Front-loading, standard (1.6 ft3 or greater capacity)",W2084.W.U,W2084.W.U,2.0,2.31,2.9,31.9,No,No,https://us.asko.com/laundry,W2084.W.U
LG,"Front-loading, standard (1.6 ft3 or greater capacity)",WM3470C*,WM3470C*,5.0,2.92,2.9,27.8,No,No,http://www.lg.com/global/support/ftclabel,WM3470C.
Midea,"Front-loading, standard (1.6 ft3 or greater capacity)",MFC100-U1407BS/C14E-US,MLH25N7BWW,2.5,2.76,3.2,25.2,No,No,https://www.midea.com/us/laundry/front-load-washers/24--front-load-washer,MLH25N7BWW
LG,"Front-loading, standard (1.6 ft3 or greater capacity)",WM5500H*A,WM5500H*A,4.5,2.92,3.0,27.8,No,No,http://www.lg.com/global/support/ftclabel,WM5500H.A
Fisher & Paykel,"Front-loading, standard (1.6 ft3 or greater capacity)",WH2424F1,WH2424**,2.4,2.09,2.8,32.2,No,No,By annual report date,WH2424..
LG,"Front-loading, standard (1.6 ft3 or greater capacity)",WM6500H*A,WM6500H*A,5.0,2.92,3.0,28.2,No,No,http://www.lg.com/global/support/ftclabel,WM6500H.A
Midea,"Front-loading, standard (1.6 ft3 or greater capacity)",MFH210-G1301DS/F01E-US13,MLH52S7AWW,5.2,2.92,3.2,26.0,No,No,https://us.midea.com/category/Laundry/Washers,MLH52S7AWW
Midea,"Front-loading, standard (1.6 ft3 or greater capacity)",MFH210-G1301DS/F01E-US13,MLH52S7AGS,5.2,2.92,3.2,26.0,No,No,https://us.midea.com/category/Laundry/Washers,MLH52S7AGS
WINIA,"Top-loading, standard (1.6 ft3 or greater capacity)",WTP4521W,WTP45***,4.4,2.44,3.6,34.6,No,No,http://daewooelecusa.com/energy-guide,WTP45...
Kenmore,"Top-loading, standard (1.6 ft3 or greater capacity)",29142,2914*,4.4,2.44,3.6,34.6,No,No,http://daewooelecusa.com/energy-guide,2914.
GE Profile,"Top-loading, standard (1.6 ft3 or greater capacity)",G53A_2_T,PTW905B*T***,5.3,2.06,4.3,37.7,No,No,https://www.geappliances.com/ge/service-and-support/literature.htm,PTW905B.T...
GE Profile,"Top-loading, standard (1.6 ft3 or greater capacity)",G53A_2_T,PTW705B*T***,5.3,2.06,4.3,37.7,No,No,https://www.geappliances.com/ge/service-and-support/literature.htm,PTW705B.T...
GE Profile,"Front-loading, standard (1.6 ft3 or greater capacity)",H53F_4_T,PFW950S*T***,5.3,2.76,3.0,29.0,No,No,https://www.geappliances.com/ge/service-and-support/literature.htm,PFW950S.T...
GE,"Top-loading, standard (1.6 ft3 or greater capacity)",M39I_2_N,GUD27GE*N***,3.9,2.06,4.3,35.3,No,No,https://www.geappliances.com/ge/service-and-support/literature.htm,GUD27GE.N...
GE,"Top-loading, standard (1.6 ft3 or greater capacity)",M39I_2_N,GUD27EE*N***,3.9,2.06,4.3,35.3,No,No,https://www.geappliances.com/ge/service-and-support/literature.htm,GUD27EE.N...
GE,"Top-loading, standard (1.6 ft3 or greater capacity)",G52I_2_N,GTW840C*N***,5.2,2.06,4.3,37.0,No,No,https://www.geappliances.com/ge/service-and-support/literature.htm,GTW840C.N...
GE,"Top-loading, standard (1.6 ft3 or greater capacity)",G46A_2_N,GTW725B*N***,4.6,2.06,4.3,35.6,No,No,https://www.geappliances.com/ge/service-and-support/literature.htm,GTW725B.N...
GE,"Top-loading, standard (1.6 ft3 or greater capacity)",G48I_2_N,GTW720B*N***,4.8,2.06,4.3,36.4,No,No,https://www.geappliances.com/ge/service-and-support/literature.htm,GTW720B.N...
GE,"Top-loading, standard (1.6 ft3 or greater capacity)",G46I_2_P,GTW500A*N***,4.6,2.06,4.3,36.2,No,No,https://www.geappliances.com/ge/service-and-support/literature.htm,GTW500A.N...
GE,"Top-loading, standard (1.6 ft3 or greater capacity)",G46I_2_N,GTW500A*N***,4.6,2.06,4.3,36.5,No,No,https://www.geappliances.com/ge/service-and-support/literature.htm,GTW500A.N...
GE,"Top-loading, standard (1.6 ft3 or greater capacity)",G44I_2_J,GTW490ACJ7WW,4.4,2.07,4.1,37.7,No,No,https://www.geappliances.com/ge/service-and-support/literature.htm,GTW490ACJ7WW
GE,"Top-loading, standard (1.6 ft3 or greater capacity)",G44I_2_J,GTW490ACJ7WS,4.4,2.07,4.1,37.7,No,No,https://www.geappliances.com/ge/service-and-support/literature.htm,GTW490ACJ7WS
GE,"Top-loading, standard (1.6 ft3 or greater capacity)",G44I_2_J,GTW490ACJ6WS,4.4,2.07,4.1,37.7,No,No,https://www.geappliances.com/ge/service-and-support/literature.htm,GTW490ACJ6WS
GE,"Top-loading, standard (1.6 ft3 or greater capacity)",G44I_2_J,GTW490ACJ5WW,4.4,2.07,4.1,37.7,No,No,https://www.geappliances.com/ge/service-and-support/literature.htm,GTW490ACJ5WW
GE,"Top-loading, standard (1.6 ft3 or greater capacity)",G44I_2_J,GTW490ACJ4WS,4.4,2.07,4.1,37.7,No,No,https://www.geappliances.com/ge/service-and-support/literature.htm,GTW490ACJ4WS
GE,"Top-loading, standard (1.6 ft3 or greater capacity)",G44I_2_J,GTW490ACJ3WS,4.4,2.07,4.1,37.7,No,No,https://www.geappliances.com/ge/service-and-support/literature.htm,GTW490ACJ3WS
GE,"Top-loading, standard (1.6 ft3 or greater capacity)",G44I_2_J,GTW490ACJ2WS,4.4,2.07,4.1,37.7,No,No,https://www.geappliances.com/ge/service-and-support/literature.htm,GTW490ACJ2WS
GE,"Front-loading, standard (1.6 ft3 or greater capacity)",H48F_4_NB,GFW550S*R***,4.8,2.76,3.0,27.0,No,No,https://www.geappliances.com/ge/service-and-support/literature.htm,GFW550S.R...
GE,"Front-loading, standard (1.6 ft3 or greater capacity)",H48F_4_NB,GFW550S*N***,4.8,2.76,3.0,27.0,No,No,https://www.geappliances.com/ge/service-and-support/literature.htm,GFW550S.N...
GE,"Front-loading, standard (1.6 ft3 or greater capacity)",H45F_4_N,GFW510S*N***,4.5,2.76,3.0,27.0,No,No,https://www.geappliances.com/ge/service-and-support/literature.htm,GFW510S.N...
GE,"Front-loading, standard (1.6 ft3 or greater capacity)",L45F_4_M,GFW450S*M***,4.5,2.76,3.2,28.8,No,No,https://www.geappliances.com/ge/service-and-support/literature.htm,GFW450S.M...
GE,"Front-loading, standard (1.6 ft3 or greater capacity)",H24F_4_M,GFW148S*M***,2.4,2.07,4.2,30.2,No,No,https://www.geappliances.com/ge/service-and-support/literature.htm,GFW148S.M...
Bosch,"Front-loading, standard (1.6 ft3 or greater capacity)",WAW285H2UC,WAW285H2UC,2.2,2.2,3.7,31.0,No,No,http://media3.bosch-home.com/Documents/16150785_8001203800_Washer_Energy_label.pdf,WAW285H2UC
Beko,"Front-loading, standard (1.6 ft3 or greater capacity)",WFTV10733XC,WFTV10733XC*,2.3,2.1,3.8,32.0,No,No,By annual report date,WFTV10733XC.
SAMSUNG,"Front-loading, standard (1.6 ft3 or greater capacity)",WF56H91**C*,WF56H91**C*,5.6,2.8,2.8,27.3,No,No,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-wf56h9100ag-a2-energylabel-v1.pdf,WF56H91..C.
SAMSUNG,"Front-loading, standard (1.6 ft3 or greater capacity)",WF45M55**A*,WF45M55**A*,4.5,2.92,2.9,29.0,No,No,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-wf45m5500ap-a5-energylabel-v4.pdf,WF45M55..A.
SAMSUNG,"Top-loading, standard (1.6 ft3 or greater capacity)",WA50M74**A*,WA50M74**A*,5.0,2.06,4.3,42.1,No,No,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-wa50m7450aw-a4-energylabel-v4.pdf,WA50M74..A.
SAMSUNG,"Top-loading, standard (1.6 ft3 or greater capacity)",WA52M77**A*,WA52M77**A*,5.2,2.06,4.3,40.1,No,No,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-wa52m7750av-a4-energylabel-v2.pdf,WA52M77..A.
SAMSUNG,"Front-loading, standard (1.6 ft3 or greater capacity)",WF50R85**A*,WF50R85**A*,5.0,2.92,2.9,29.9,No,No,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-wf50r8500aw-us-energylabel.pdf,WF50R85..A.
SAMSUNG,"Top-loading, standard (1.6 ft3 or greater capacity)",WA54R76**A*,WA54R76**A*,5.4,2.06,4.3,37.1,No,No,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-wa54r7600aw-us-energylabel.pdf,WA54R76..A.
SAMSUNG,"Top-loading, standard (1.6 ft3 or greater capacity)",WA54R72**A*,WA54R72**A*,5.4,2.06,4.3,36.3,No,No,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-wa54r7200aw-us-energylabel.pdf,WA54R72..A.
Samsung,"Top-loading, standard (1.6 ft3 or greater capacity)",WA50R52**A*,WA50R52**A*,5.0,2.06,4.3,36.5,No,No,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-wa50r5200aw-us-energylabel.pdf,WA50R52..A.
Samsung,"Front-loading, standard (1.6 ft3 or greater capacity)",WF45R61**A*,WF45R61**A*,4.5,2.92,2.9,30.7,No,No,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-wf45r6100aw-us-energylabel.pdf,WF45R61..A.
Samsung,"Front-loading, standard (1.6 ft3 or greater capacity)",WF45R63**A*,WF45R63**A*,4.5,2.92,2.9,30.7,No,No,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-wf45r6300aw-us-energylabel.pdf,WF45R63..A.
Samsung,"Front-loading, standard (1.6 ft3 or greater capacity)",WF45T60**A*,WF45T60**A*,4.5,2.95,2.9,28.9,No,No,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-wf45t6000aw-us-energylabel.pdf,WF45T60..A.
Crosley,"Front-loading, standard (1.6 ft3 or greater capacity)",L45F_4_M,YFW450S*M***,4.5,2.76,3.2,27.1,No,No,https://products-salsify.geappliances.com/image/upload/s--3Sw7cUHV--/umz0ixhtnyhdfandi3tu.pdf,YFW450S.M...
GE,"Front-loading, standard (1.6 ft3 or greater capacity)",H50F_4_V,GFW655S*V***,5.0,2.76,3.0,29.4,No,No,By annual report date,GFW655S.V...
Samsung,"Top-loading, standard (1.6 ft3 or greater capacity)",WA55CG71**A*,WA55CG71**A*,5.5,2.3,3.8,36.9,No,No,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-WA55CG7100AD-us-energylabel.pdf,WA55CG71..A.
Samsung,"Top-loading, standard (1.6 ft3 or greater capacity)",WA54CG755*A*,WA54CG755*A*,5.4,2.3,3.8,36.9,No,No,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-WA54CG7550AV-us-energylabel.pdf,WA54CG755.A.
LG,"Front-loading, standard (1.6 ft3 or greater capacity)",WM5500H*A,WM5700H*A,4.5,2.92,3.0,27.8,No,No,http://www.lg.com/global/support/ftclabel,WM5700H.A
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vA755(3B),WFW560CH**,4.3,2.76,3.2,27.8,No,No,http://www.whirlpool.com/manuals,WFW560CH..
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H22gA853(3B),WFW5605M**,4.5,2.76,3.2,28.7,No,No,http://www.whirlpool.com/manuals,WFW5605M..
Criterion,"Front-loading, standard (1.6 ft3 or greater capacity)",MFH180-G1304DS/F01E-US,CFW45N1AW,4.5,2.76,3.2,24.9,No,No,By annual report date,CFW45N1AW
ELEMENT,"Front-loading, standard (1.6 ft3 or greater capacity)",MFC120-U1421BS/C14E-US,EFL2724BW,2.7,2.76,3.2,23.9,No,No,By annual report date,EFL2724BW
GE Profile,"Front-loading, standard (1.6 ft3 or greater capacity)",H48F_4_V,PFQ97HS*V***,4.8,2.76,3.0,27.3,No,No,By annual report date,PFQ97HS.V...
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H22gAA52(3B),WFW6605M**,5.0,2.76,3.2,28.4,No,No,http://www.whirlpool.com/manuals,WFW6605M..
KOOLMORE,"Front-loading, standard (1.6 ft3 or greater capacity)",MFC120-U1421BS/C14E-US,FLW-3CWH,2.7,2.76,3.2,23.9,No,No,By annual report date,FLW-3CWH
Black Decker,"Front-loading, standard (1.6 ft3 or greater capacity)",MFC120-U1421BS/C14E-US,BFLW27MW,2.7,2.76,3.2,23.9,No,No,By annual report date,BFLW27MW
LG,"Front-loading, standard (1.6 ft3 or greater capacity)",WKEX300H*A,SWWG50*3,5.0,2.92,2.9,28.0,No,No,http://www.lg.com/global/support/ftclabel,SWWG50.3
LG,"Front-loading, standard (1.6 ft3 or greater capacity)",WKEX300H*A,WKEX300H*A,5.0,2.92,2.9,28.0,No,No,http://www.lg.com/global/support/ftclabel,WKEX300H.A
Midea,"Front-loading, standard (1.6 ft3 or greater capacity)",MFH180-G1304DS/F01E-US,MLH45N1AWW,4.5,2.76,3.2,28.0,No,No,https://us.midea.com/category/Laundry/Washers,MLH45N1AWW
Speed Queen,"Top-loading, standard (1.6 ft3 or greater capacity)",R21,LWN6ZR**116T***,3.2,2.06,4.3,39.0,No,No,https://speedqueen.com/wp-content/uploads/2021/09/205219R1-art.pdf,LWN6ZR..116T...
Haier,"Front-loading, standard (1.6 ft3 or greater capacity)",H24F_4_N,QFW150S*N***,2.4,2.07,4.2,29.3,No,No,https://www.haieramerica.com/find-products//,QFW150S.N...
GE Profile,"Top-loading, standard (1.6 ft3 or greater capacity)",G54I_2_T,PTW900B*T***,5.4,2.06,4.3,37.9,No,No,https://www.geappliances.com/ge/service-and-support/literature.htm,PTW900B.T...
GE Profile,"Top-loading, standard (1.6 ft3 or greater capacity)",G54I_2_T,PTW700B*T***,5.4,2.06,4.3,37.9,No,No,https://www.geappliances.com/ge/service-and-support/literature.htm,PTW700B.T...
GE Profile,"Top-loading, standard (1.6 ft3 or greater capacity)",G49A_2_R,PTW605B*R***,4.9,2.06,4.3,37.8,No,No,https://www.geappliances.com/ge/service-and-support/literature.htm,PTW605B.R...
GE Profile,"Top-loading, standard (1.6 ft3 or greater capacity)",G50I_2_R,PTW600B*R***,5.0,2.06,4.3,37.5,No,No,https://www.geappliances.com/ge/service-and-support/literature.htm,PTW600B.R...
GE,"Top-loading, standard (1.6 ft3 or greater capacity)",G50A_2_N,GTW845C*N***,5.0,2.06,4.3,36.0,No,No,https://www.geappliances.com/ge/service-and-support/literature.htm,GTW845C.N...
