Brand_Name_s__s,Product_Group_Code_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Annual_Energy_Use__Kilowatt_Hours_Year__d,Water_Consumption__Gallons_Cycle__d,Capacity__Number_of_Place_Settings__d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s,Link_to_FTC_EnergyGuide_Label_s,individual_model_number_modified
Whirlpool,Standard size dishwasher,WDT540HAM**,WDP540HAM**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html,WDP540HAM..
Whirlpool,Standard size dishwasher,WDT710PAH**-02,WDT710PAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html,WDT710PAH..
Whirlpool,Standard size dishwasher,WDT710PAH**-03,WDT710PAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html,WDT710PAH..
Whirlpool,Standard size dishwasher,WDT710PAH**-04,WDT710PAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html,WDT710PAH..
Whirlpool,Standard size dishwasher,WDT710PAH**-05,WDT710PAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html,WDT710PAH..
Whirlpool,Standard size dishwasher,WDT710PAH**-06,WDT710PAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html,WDT710PAH..
Whirlpool,Standard size dishwasher,WDT710PAH**-07,WDT710PAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html,WDT710PAH..
Whirlpool,Standard size dishwasher,WDT710PAY**,WDT710PAY**,258.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html,WDT710PAY..
Whirlpool,Standard size dishwasher,WDT730PAH**-02,WDT730PAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html,WDT730PAH..
Whirlpool,Standard size dishwasher,WDT730PAH**-03,WDT730PAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html,WDT730PAH..
Whirlpool,Standard size dishwasher,WDT730PAH**-04,WDT730PAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html,WDT730PAH..
Whirlpool,Standard size dishwasher,WDT730PAH**-05,WDT730PAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html,WDT730PAH..
Whirlpool,Standard size dishwasher,WDT730PAH**-06,WDT730PAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html,WDT730PAH..
Whirlpool,Standard size dishwasher,WDT730PAH**-07,WDT730PAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html,WDT730PAH..
Whirlpool,Standard size dishwasher,WDT730PAH**-11,WDT730PAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html,WDT730PAH..
Whirlpool,Standard size dishwasher,WDT970SAH**-02,WDT750SAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html,WDT750SAH..
