ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,UPC,Type,Width (inches),Depth (inches),Capacity - Maximum Number of Place Settings,Soil-Sensing Capability,Tub Material,Drying Method,Additional Product Features,Annual Energy Use (kWh/yr),US Federal Standard (kWh/yr),% Better than US Federal Standard (kWh/yr),Water Use (gallons/cycle),US Federal Standard (gallons/cycle),% Better than US Federal Standard (gallons/cycle),Connected Capable,Connects Using,Communication Hardware Architecture,DR Protocol,Direct on-premises Open-standard Based Interconnection,Date Available On Market, Date Certified,Markets,CB Model Identifier,Meets ENERGY STAR Most Efficient 2023 Criteria,model_number_modified
2508302,Midea,MDF24P2B**,",,* could be A-Z, a-z, 0-9, - or blank",840296506813,Standard,23.6,22.7,8.0,Yes,Hybrid (Plastic & Steel),Heated Dry,Top Controls,240,307.0,22.0,3.2,5.0,36.0,No,,,,,05/18/2023,06/14/2023,"United States, Canada",ES_1030337_MDF24P2B**_061420230222783_2100811,Yes,MDF24P2B..
2362570,Midea,MDT24H3A***,",,* could be from 0 to 9 or from A to Z or blank.",687636002204,Standard,,,,,,,,260,307.0,15.0,3.5,5.0,30.0,No,,,,,05/01/2022,07/09/2020,Canada,ES_1030337_MDT24H3A***_07092020111210_3130841,No,MDT24H3A...
2508268,Midea,MDT24H3A***,",,Remark: * could be A-Z, a-z, 0-9, - or blank.",687636002204;817986026784,Standard,23.9,24.5,14.0,Yes,Stainless Steel,Heated Dry,None,240,307.0,22.0,3.2,5.0,36.0,No,,,,,05/18/2023,06/13/2023,"United States, Canada",ES_1030337_MDT24H3A***_061320230227101_7220054,Yes,MDT24H3A...
2255012,Miele,G 4227 SCU,,4002515546161;4002515689004;4002515688991;4002515688977;4002515546178;4002515546185,Standard,,,,,,,,270,307.0,12.0,3.5,5.0,30.0,No,,,,,03/01/2015,12/10/2015,"United States, Canada",ES_0031629_G 4227 SCU_12162015020838_70057049,No,G 4227 SCU
2255011,Miele,G 4227 U,,4002515547038;4002515546147;4002515546154;4002515546130;4002515547052;4002515547045,Standard,,,,,,,,270,307.0,12.0,3.5,5.0,30.0,No,,,,,03/01/2015,12/10/2015,"United States, Canada",ES_0031629_G 4227 U_12162015020838_70057049,No,G 4227 U
2278988,Miele,G 4228 SCU,,4002515722879;4002515722855;4002515723005;4002515722862;4002515723012;4002515722992,Standard,,,,,,,,230,307.0,25.0,3.5,5.0,30.0,No,,,,,03/20/2017,09/07/2016,"United States, Canada",ES_0031629_G 4228 SCU_09122016020545_70097737,No,G 4228 SCU
2278989,Miele,G 4228 U,,4002515722824;4002515722930;4002515722985;4002515722848;4002515722978;4002515722831,Standard,,,,,,,,230,307.0,25.0,3.5,5.0,30.0,No,,,,,03/20/2017,09/07/2016,"United States, Canada",ES_0031629_G 4228 U_09122016020545_70097737,No,G 4228 U
2255013,Miele,G 4700 SCi,,4002515546239,Standard,,,,,,,,270,307.0,12.0,3.0,5.0,40.0,No,,,,,03/01/2015,12/10/2015,United States,ES_0031629_G 4700 SCi_12162015020838_70057049,No,G 4700 SCi
2278990,Miele,G 4720 SCi,,4002515723197;4002515716915,Standard,,,,,,,,210,307.0,32.0,3.2,5.0,36.0,No,,,,,03/20/2017,09/07/2016,"United States, Canada",ES_0031629_G 4720 SCi_09122016020545_70097737,Yes,G 4720 SCi
2255014,Miele,G 4760 SCVi,,4002515546376;4002515546246,Standard,,,,,,,,270,307.0,12.0,3.0,5.0,40.0,No,,,,,03/01/2015,12/10/2015,"United States, Canada",ES_0031629_G 4760 SCVi_12162015020838_70057049,No,G 4760 SCVi
2278991,Miele,G 4780 SCVi,,4002515723203;4002515716939,Standard,,,,,,,,210,307.0,32.0,3.2,5.0,36.0,No,,,,,03/20/2017,09/07/2016,"United States, Canada",ES_0031629_G 4780 SCVi_09122016020545_70097737,Yes,G 4780 SCVi
2255016,Miele,G 4925 SCU,,4002515546321;4002515547083;4002515547069;4002515547076;4002515546345;4002515546338,Standard,,,,,,,,270,307.0,12.0,3.2,5.0,36.0,No,,,,,03/01/2015,12/10/2015,"United States, Canada",ES_0031629_G 4925 SCU_12162015020838_70057049,No,G 4925 SCU
2255015,Miele,G 4925 U,,4002515546208;4002515547106;4002515547090;4002515546192;4002515547212;4002515546314,Standard,,,,,,,,270,307.0,12.0,3.2,5.0,36.0,No,,,,,03/01/2015,12/10/2015,"United States, Canada",ES_0031629_G 4925 U_12162015020838_70057049,No,G 4925 U
2278992,Miele,G 4926 SCU,,4002515723111;4002515723128;4002515723135;4002515722466;4002515722473;4002515722459,Standard,,,,,,,,230,307.0,25.0,3.2,5.0,36.0,No,,,,,03/20/2017,09/07/2016,"United States, Canada",ES_0031629_G 4926 SCU_09122016020545_70097737,Yes,G 4926 SCU
2278993,Miele,G 4926 U,,4002515722442;4002515722886;4002515722893;4002515723036;4002515723043;4002515723029,Standard,,,,,,,,230,307.0,25.0,3.2,5.0,36.0,No,,,,,03/20/2017,09/07/2016,"United States, Canada",ES_0031629_G 4926 U_09122016020545_70097737,Yes,G 4926 U
2384341,Miele,G 5058 SCVi SFP,,4002516523628,Standard,,,,,,,,230,307.0,25.0,3.2,5.0,36.0,No,,,,,02/01/2022,09/15/2021,United States,ES_0031629_G 5058 SCVi SFP_09162021102247_80097444,Yes,G 5058 SCVi SFP
2508396,Miele,G 5058 SCVi SFP,,4002516523628,Standard,23.6,21.8,16.0,Yes,Stainless Steel,Condensation Dry,"Top Controls,Cycle Status Lights,Third Rack",230,307.0,25.0,3.2,5.0,36.0,No,,,,,10/09/2022,06/15/2023,United States,ES_0031629_G 5058 SCVi SFP_06152023121128_80173476,Yes,G 5058 SCVi SFP
2384339,Miele,G 5268 SCVi SF,,4002516523635,Standard,,,,,,,,230,307.0,25.0,3.2,5.0,36.0,No,,,,,02/01/2022,09/15/2021,United States,ES_0031629_G 5268 SCVi SF_09162021102247_80097444,Yes,G 5268 SCVi SF
2508388,Miele,G 5268 SCVi SF,,4002516523635,Standard,23.6,21.8,16.0,Yes,Stainless Steel,"Automatic Door Release,Condensation Dry,Fan-Assisted Dry","Top Controls,Cycle Status Lights,Third Rack",230,307.0,25.0,3.2,5.0,36.0,No,,,,,01/01/2022,06/15/2023,United States,ES_0031629_G 5268 SCVi SF_06152023121128_80173476,Yes,G 5268 SCVi SF
2255023,Miele,G 6105 SCU,,4002515546260;4002515546390,Standard,,,,,,,,270,307.0,12.0,3.2,5.0,36.0,No,,,,,03/01/2015,12/10/2015,"United States, Canada",ES_0031629_G 6105 SCU_12162015020838_70057049,No,G 6105 SCU
2255022,Miele,G 6105 U,,4002515546253;4002515546383,Standard,,,,,,,,270,307.0,12.0,3.2,5.0,36.0,No,,,,,03/01/2015,12/10/2015,"United States, Canada",ES_0031629_G 6105 U_12162015020838_70057049,No,G 6105 U
2255024,Miele,G 6165 SCVi,,4002515546277;4002515546406,Standard,,,,,,,,270,307.0,12.0,3.2,5.0,36.0,No,,,,,03/01/2015,12/10/2015,"United States, Canada",ES_0031629_G 6165 SCVi_12162015020838_70057049,No,G 6165 SCVi
2255025,Miele,G 6165 SCVi SF,,4002515546291,Standard,,,,,,,,270,307.0,12.0,3.2,5.0,36.0,No,,,,,03/01/2015,12/10/2015,United States,ES_0031629_G 6165 SCVi SF_12162015020838_70057049,No,G 6165 SCVi SF
2255027,Miele,G 6305 SCU,,4002515546840;4002515546437;4002515546413;4002515546420,Standard,,,,,,,,260,307.0,15.0,3.2,5.0,36.0,No,,,,,03/01/2015,12/10/2015,"United States, Canada",ES_0031629_G 6305 SCU_12162015020838_70057049,No,G 6305 SCU
2255026,Miele,G 6305 U,,4002515546833;4002515546819;4002515546826,Standard,,,,,,,,260,307.0,15.0,3.2,5.0,36.0,No,,,,,03/01/2015,12/10/2015,Canada,ES_0031629_G 6305 U_12162015020838_70057049,No,G 6305 U
2255028,Miele,G 6365 SCVi,,4002515546857;4002515546444,Standard,,,,,,,,260,307.0,15.0,3.2,5.0,36.0,No,,,,,03/01/2015,12/10/2015,"United States, Canada",ES_0031629_G 6365 SCVi_12162015020838_70057049,No,G 6365 SCVi
2255029,Miele,G 6365 SCVi SF,,4002515546451,Standard,,,,,,,,260,307.0,15.0,3.2,5.0,36.0,No,,,,,03/01/2015,12/10/2015,United States,ES_0031629_G 6365 SCVi SF_12162015020838_70057049,No,G 6365 SCVi SF
