Brand_Name_s__s,Product_Group_Code_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Capacity__Cubic_Feet__d,Integrated_Modified_Energy_Factor__cubic_feet_per_kilowatt_hour_per_cycle__d,Integrated_Water_Factor__gallons_per_cycle_per_cubic_foot__d,Corrected_Remaining_Moisture_Content_____d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s,Link_to_FTC_EnergyGuide_Label_s
Maytag,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vB949(3B),MHW6630H**,4.8,2.76,3.2,27.1,No,No,http://www.whirlpool.com/manuals
Maytag,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vB852(3B),MHW5630H**,4.5,2.76,3.2,27.5,No,No,http://www.whirlpool.com/manuals
Amana,"Top-loading, standard (1.6 ft3 or greater capacity)",V17nDh519(3B),NTW4516F**,3.5,1.57,6.5,44.5,No,No,http://www.whirlpool.com/manuals
Amana,"Top-loading, standard (1.6 ft3 or greater capacity)",V17nDh519(3B),NTW4665G**,3.5,1.57,6.5,44.5,No,No,http://www.whirlpool.com/manuals
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17nAh519(3B),WTW4816F**,3.5,1.57,6.5,45.1,No,No,http://www.whirlpool.com/manuals
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V20aAX54(3B),WTW5057L**,4.7,1.57,6.5,40.0,No,No,http://www.whirlpool.com/manuals
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V19zBG59(3B),MVW7232H**,5.3,2.06,4.3,33.9,No,No,http://www.whirlpool.com/manuals
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V17sBx516(3B),MVWC465H**,3.8,1.57,6.5,39.9,No,No,http://www.whirlpool.com/manuals
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17sAx517(3B),WTW4955H**,3.8,1.57,6.5,30.9,No,No,http://www.whirlpool.com/manuals
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V19zAG55(3B),WTW7120H**,5.3,2.06,4.3,34.3,No,No,http://www.whirlpool.com/manuals
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H16NAZ52(3B),WFW8540F*,4.5,2.92,3.2,29.5,No,No,http://www.whirlpool.com/manuals
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17mA4518(3B),WGTLV27H**,3.5,1.57,6.5,44.8,No,No,http://www.whirlpool.com/manuals
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H15NAX52(3B),WFW9290F**,4.2,2.92,3.2,28.9,No,No,http://www.whirlpool.com/manuals
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vA865(3B),WFW6620H**,4.5,2.76,3.2,27.4,No,No,http://www.whirlpool.com/manuals
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H15NAX51(3B),WFW9290F**,4.2,2.92,3.2,28.9,No,No,http://www.whirlpool.com/manuals
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vA752(3B),WFW560CH**,4.3,2.76,3.2,27.8,No,No,http://www.whirlpool.com/manuals
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H22gA851(3B),WFW5605M**,4.5,2.76,3.2,28.7,No,No,http://www.whirlpool.com/manuals
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H22GAA851(3B),WFW6605M**,5.0,2.76,3.2,28.4,No,No,http://www.whirlpool.com/manuals
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17sAx518(3B),WTW4955H**,3.8,1.57,6.5,30.9,No,No,http://www.whirlpool.com/manuals
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V20aAX55(3B),WTW5057L**,4.7,1.57,6.5,40.0,No,No,http://www.whirlpool.com/manuals
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vA753(3B),WFW560CH**,4.3,2.76,3.2,27.8,No,No,http://www.whirlpool.com/manuals
Conservator,"Top-loading, standard (1.6 ft3 or greater capacity)",V17nNu60(3B),VAW3584G**,3.5,1.57,6.5,45.4,No,No,http://www.whirlpool.com/manuals
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V17uB657(3B),MVWP575G**,3.5,1.57,6.5,46.6,No,No,http://www.whirlpool.com/manuals
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V17uB657(3B),MVWP576G**,3.5,1.57,6.5,46.6,No,No,http://www.whirlpool.com/manuals
Amana,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vD745(3B),NFW5800H**,4.3,2.76,3.2,27.5,No,No,http://www.whirlpool.com/manuals
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H15NAX45(3B),WFW7590F**,4.2,2.92,3.2,29.1,No,No,http://www.whirlpool.com/manuals
Maytag,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vBA55(3B),MHW8630H**,5.0,2.76,3.2,27.0,No,No,http://www.whirlpool.com/manuals
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V19zAD59(3B),WTW5105H**,4.7,1.57,6.5,41.4,No,No,http://www.whirlpool.com/manuals
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V19zAF60(3B),WTW5100H**,4.8,1.57,6.5,41.1,No,No,http://www.whirlpool.com/manuals
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V21aBV51(3B),MVW5035M**,4.5,1.57,6.5,39.7,No,No,http://www.whirlpool.com/manuals
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V21aBV51(3B),MVW4505M**,4.5,1.57,6.5,39.7,No,No,http://www.whirlpool.com/manuals
Maytag,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vBA51(3B),MHW8630H**,5.0,2.76,3.2,27.0,No,No,http://www.whirlpool.com/manuals
Maytag,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vBA52(3B),MHW8630H**,5.0,2.76,3.2,27.0,No,No,http://www.whirlpool.com/manuals
Maytag,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vBA54(3B),MHW8630H**,5.0,2.76,3.2,27.0,No,No,http://www.whirlpool.com/manuals
Inglis,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vM741(3B),IFW5900H**,4.3,2.76,3.2,28.0,No,No,http://www.whirlpool.com/manuals
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V22aBh50(3B),MVW6500M**,4.7,1.57,6.5,41.0,No,No,http://www.whirlpool.com/manuals
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H22hAg60(3B),WFW4090N**,2.0,2.07,4.2,32.0,No,No,http://www.whirlpool.com/manuals
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V22uB650(3B),MVWP585G**,3.5,1.57,6.5,48.2,No,No,http://www.whirlpool.com/manuals
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H15NAZ410(3B),WFW7540F**,4.5,2.92,3.2,29.3,No,No,http://www.whirlpool.com/manuals
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",H21bA850(3B),WFC682CL**,4.5,2.76,3.2,29.2,No,No,http://www.whirlpool.com/manuals
Roper,"Top-loading, standard (1.6 ft3 or greater capacity)",V17nGh53(3B),RTW4516F**,3.5,1.57,6.5,44.3,No,No,http://www.whirlpool.com/manuals
Roper,"Top-loading, standard (1.6 ft3 or greater capacity)",V17nGh54(3B),RTW4516F**,3.5,1.57,6.5,44.3,No,No,http://www.whirlpool.com/manuals
Roper,"Top-loading, standard (1.6 ft3 or greater capacity)",V17nGh58(3B),RTW4516F**,3.5,1.57,6.5,44.3,No,No,http://www.whirlpool.com/manuals
Kenmore,"Top-loading, standard (1.6 ft3 or greater capacity)",V17wCy51(3B),2512*81*,3.9,1.57,6.5,40.9,No,No,http://www.kenmore.com/energyguide
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V17pBj58(3B),MVWC565F**,4.2,1.57,6.5,46.1,No,No,http://www.whirlpool.com/manuals
Amana,"Top-loading, standard (1.6 ft3 or greater capacity)",V17nDh55(3B),NTW4665G**,3.5,1.57,6.5,44.5,No,No,http://www.whirlpool.com/manuals
Amana,"Top-loading, standard (1.6 ft3 or greater capacity)",V17nDh56(3B),NTW4516F**,3.5,1.57,6.5,44.5,No,No,http://www.whirlpool.com/manuals
Amana,"Top-loading, standard (1.6 ft3 or greater capacity)",V17nDh56(3B),NTW4665G**,3.5,1.57,6.5,44.5,No,No,http://www.whirlpool.com/manuals
Amana,"Top-loading, standard (1.6 ft3 or greater capacity)",V17nDh57(3B),NTW4516F**,3.5,1.57,6.5,44.5,No,No,http://www.whirlpool.com/manuals
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V14CBK515(3B),MVWB835D*+,5.3,2.06,4.3,36.5,No,No,http://www.whirlpool.com/manuals
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V14CBK514(3B),MVWB835D*+,5.3,2.06,4.3,36.5,No,No,http://www.whirlpool.com/manuals
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17mA451(3B),WET4027H**,3.5,1.57,6.5,44.8,No,No,http://www.whirlpool.com/manuals
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17mA451(3B),WGT4027H**,3.5,1.57,6.5,44.8,No,No,http://www.whirlpool.com/manuals
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17mA451(3B),WETLV27H**,3.5,1.57,6.5,44.8,No,No,http://www.whirlpool.com/manuals
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17mA452(3B),WGT4027H**,3.5,1.57,6.5,44.8,No,No,http://www.whirlpool.com/manuals
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17mA452(3B),WETLV27H**,3.5,1.57,6.5,44.8,No,No,http://www.whirlpool.com/manuals
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17mA453(3B),WET4027H**,3.5,1.57,6.5,44.8,No,No,http://www.whirlpool.com/manuals
