Brand_Name_s__s,Individual_Model_Number_m,Screen_Size__diagonal_in_inches__d,Power_Consumed_in_On_Mode__watts__d,Power_Consumed_in_Standby_Passive_Mode__watts__d,Power_Consumed_in_Standby_Active__Low_Mode__watts___if_applicable__d,Power_Consumed_in_Off_Mode__watts___if_applicable__d,Annual_Energy_Consumption__kWh_per_year__d,Link_to_FTC_EnergyGuide_Label_s,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s
Hisense,75U78H,75.0,178.0,0.3,0.4,,327.0,https://www.hisense-usa.com/support/models,No
Hisense,75U7H+(+=0-9 or A-Z or Blank),75.0,178.0,0.3,0.4,,327.0,https://www.hisense-usa.com/support/models,No
Hisense,75U7+H+(+=0-9 or A-Z or Blank),75.0,178.0,0.3,0.4,,327.0,https://www.hisense-usa.com/support/models,No
Hisense,85A6+H++(+=0-9 or A-Z or Blank),85.0,241.0,0.3,0.3,,441.0,https://www.hisense-usa.com/support/models,No
Hisense,85A7G+(+=0-9 or A-Z or Blank),85.0,241.0,0.3,0.3,,441.0,https://www.hisense-usa.com/support/models,No
Hisense,85A7+H+(+=0-9 or A-Z or Blank),85.0,241.0,0.3,0.3,,441.0,https://www.hisense-usa.com/support/models,No
Hisense,85A7H+(+=0-9 or A-Z or Blank),85.0,241.0,0.3,0.3,,441.0,https://www.hisense-usa.com/support/models,No
Hisense,85A6+H+(+=0-9 or A-Z or Blank),85.0,241.0,0.3,0.3,,441.0,https://www.hisense-usa.com/support/models,No
Hisense,85A6H+(+=0-9 or A-Z or Blank),85.0,241.0,0.3,0.3,,441.0,https://www.hisense-usa.com/support/models,No
Pioneer,PN43651-23U,42.5,65.5,0.49,0.6,,124.0,https://www.usca.pioneer-tv.com/,No
Pioneer,PN43651-23C,42.5,65.5,0.49,0.6,,124.0,https://www.usca.pioneer-tv.com/,No
Hisense,50U6G1,50.0,63.0,0.36,0.47,,118.0,https://www.hisense-usa.com/support/models,No
Hisense,50U65H,50.0,63.0,0.36,0.47,,118.0,https://www.hisense-usa.com/support/models,No
Hisense,50U68H,50.0,63.0,0.36,0.47,,118.0,https://www.hisense-usa.com/support/models,No
Hisense,"50U6+G+(+can be replaced by any number 0-9, A-Z or Blank)",50.0,63.0,0.36,0.47,,118.0,https://www.hisense-usa.com/support/models,No
Onn.,100012589-CA,31.4,19.9,0.25,,,48.0,https://www.elementelectronics.com/support/,No
Onn.,100012589,31.4,19.9,0.25,,,48.0,https://www.elementelectronics.com/support/,No
RCA,RHOR325,31.4,19.9,0.25,,,48.0,https://www.elementelectronics.com/support/,No
connexx,CX22A19DCDVD,21.5,16.8,0.33,,,32.9,http://www.riverparkinc.com,No
VIZIO,D40fM-K09,39.5,36.3,0.34,0.36,,68.7,By annual report date,No
SANYO,FW50D48F,49.5,52.0,0.2,,,120.0,https://www.sanyo-av.com/us/product/product.php?id=728,No
onn.,100058007,39.5,38.3,0.45,,,73.0,https://www.onntvsupport.com/energy-guides/,No
Hisense,"43A5+H+(+can be replaced by any number 0-9,A-Z,blank or - )",43.0,41.5,0.24,0.37,,78.3,https://www.hisense-usa.com/support/models,No
Hisense,"43A5+G+(+can be replaced by any number 0-9,A-Z,blank or - )",43.0,41.5,0.24,0.37,,78.3,https://www.hisense-usa.com/support/models,No
HITACHI,50C61,50.0,96.0,0.45,,,178.0,https://www.hitachi-america.us,No
HITACHI,40C311,40.0,53.0,0.3,,,98.8,https://www.hitachi-america.us,No
ONN,100012590-CA,24.0,25.0,0.45,0.45,,48.7,http://www.onntvsupport.com/energy-guides,No
Hisense,"65R60+0G+(+can be replaced by any number 0-9, A-Z, blank or - )",65.0,95.1,0.39,0.4,,176.0,https://www.hisense-usa.com/support/models,No
Hisense,"65R6E+(+can be replaced by any number 0-9, A-Z, blank or - )",65.0,95.1,0.39,0.4,,176.0,https://www.hisense-usa.com/support/models,No
TOSHIBA,50C350LU,50.0,74.7,0.38,0.86,,142.0,https://www.hisense-usa.com/support/models,No
TOSHIBA,50C350LC,50.0,74.7,0.38,0.86,,142.0,https://www.hisense-usa.com/support/models,No
Hisense,65A6GR,65.0,106.0,0.33,0.34,,196.0,https://www.hisense-usa.com/support/models,No
Hisense,65R63G,65.0,106.0,0.33,0.34,,196.0,https://www.hisense-usa.com/support/models,No
Hisense,"65R6+H+(+can be  replaced by any number 0-9, A-Z, blank or - )",65.0,106.0,0.33,0.34,,196.0,https://www.hisense-usa.com/support/models,No
Hisense,"65A6+GR+(+can be  replaced by any number 0-9, A-Z, blank or - )",65.0,106.0,0.33,0.34,,196.0,https://www.hisense-usa.com/support/models,No
Hisense,"65R6H+(+can be  replaced by any number 0-9, A-Z, blank or - )",65.0,106.0,0.33,0.34,,196.0,https://www.hisense-usa.com/support/models,No
Hisense,"65R6G+(+can be  replaced by any number 0-9, A-Z, blank or - )",65.0,106.0,0.33,0.34,,196.0,https://www.hisense-usa.com/support/models,No
Hisense,"65R60+0G+(+can be  replaced by any number 0-9, A-Z, blank or - )",65.0,106.0,0.33,0.34,,196.0,https://www.hisense-usa.com/support/models,No
TOSHIBA,43C350LU,43.0,60.0,0.35,0.36,,112.0,https://www.hisense-usa.com/support/models,No
SILO,SL3221VN,32.0,23.6,0.28,0.41,,52.0,By annual report date,No
PROSCAN,PLDED3273A-C,32.0,23.6,0.28,0.41,,52.0,By annual report date,No
SYLVANIA,SLED3215A-C,32.0,23.6,0.28,0.41,,52.0,By annual report date,No
RCA,RNSM3203-B,32.0,23.6,0.28,0.41,,52.0,By annual report date,No
SANSUI,S32V3HN,32.0,23.6,0.28,0.41,,52.0,By annual report date,No
SANSUI,S32V2HN,32.0,23.6,0.28,0.41,,52.0,By annual report date,No
SANSUI,S32V3HA,32.0,23.6,0.28,0.41,,52.0,By annual report date,No
SANSUI,S32V2HA,32.0,23.6,0.28,0.41,,52.0,By annual report date,No
SANSUI,S32T2H,32.0,23.6,0.28,0.41,,52.0,By annual report date,No
SANSUI,S32T1H,32.0,23.6,0.28,0.41,,52.0,By annual report date,No
SANSUI,ES32V3HN,32.0,23.6,0.28,0.41,,52.0,By annual report date,No
SANSUI,ES32V1HN,32.0,23.6,0.28,0.41,,52.0,By annual report date,No
SANSUI,ES32V3HA,32.0,23.6,0.28,0.41,,52.0,By annual report date,No
SANSUI,ES32V2HA,32.0,23.6,0.28,0.41,,52.0,By annual report date,No
SANSUI,ES32V1HA,32.0,23.6,0.28,0.41,,52.0,By annual report date,No
SANSUI,ES32T3HN,32.0,23.6,0.28,0.41,,52.0,By annual report date,No
SANSUI,ES32T2HN,32.0,23.6,0.28,0.41,,52.0,By annual report date,No
SANSUI,ES32T1HN,32.0,23.6,0.28,0.41,,52.0,By annual report date,No
SANSUI,ES32T3HA,32.0,23.6,0.28,0.41,,52.0,By annual report date,No
SANSUI,ES32T1HA,32.0,23.6,0.28,0.41,,52.0,By annual report date,No
SANSUI,ES32T2H,32.0,23.6,0.28,0.41,,52.0,By annual report date,No
SANSUI,ES32T1H,32.0,23.6,0.28,0.41,,52.0,By annual report date,No
SANSUI,EC32V3HN,32.0,23.6,0.28,0.41,,52.0,By annual report date,No
SANSUI,EC32V2HN,32.0,23.6,0.28,0.41,,52.0,By annual report date,No
SANSUI,EC32V1HN,32.0,23.6,0.28,0.41,,52.0,By annual report date,No
SANSUI,C32V2HA,32.0,23.6,0.28,0.41,,52.0,By annual report date,No
SANSUI,EC32V3HA,32.0,23.6,0.28,0.41,,52.0,By annual report date,No
SANSUI,EC32V1HA,32.0,23.6,0.28,0.41,,52.0,By annual report date,No
SANSUI,EC32T2HA,32.0,23.6,0.28,0.41,,52.0,By annual report date,No
SANSUI,EC32T2H,32.0,23.6,0.28,0.41,,52.0,By annual report date,No
Caixun,LE-32V3,32.0,23.6,0.28,0.41,,52.0,By annual report date,No
Caixun,LE-32T3,32.0,23.6,0.28,0.41,,52.0,By annual report date,No
Caixun,LE-32T2,32.0,23.6,0.28,0.41,,52.0,By annual report date,No
Caixun,LE-32T1,32.0,23.6,0.28,0.41,,52.0,By annual report date,No
RCA,RNSM4003-B,40.0,33.4,0.28,0.4,,71.0,By annual report date,No
SUPERSONIC,SC-4016STV,40.0,33.4,0.28,0.4,,71.0,By annual report date,No
QUASAR,Q40XXXX,40.0,33.4,0.28,0.4,,71.0,By annual report date,No
SILO,SL40XXXX,40.0,33.4,0.28,0.4,,71.0,By annual report date,No
SANSUI,ES40V1FA,40.0,33.4,0.28,0.4,,71.0,By annual report date,No
SANSUI,EC40V2FA,40.0,33.4,0.28,0.4,,71.0,By annual report date,No
SANSUI,ES40V3FA,40.0,33.4,0.28,0.4,,71.0,By annual report date,No
"HUIZHOU KTC TECHNOLOGY CO.,LTD.",LED-50,50.0,112.0,0.5,1.0,,211.0,https://intertech.tv/wp-content/uploads/2017/12/Energy-Label-for-50.pdf,No
connexx,CX32B24,21.5,32.8,0.28,,,61.8,http://www.riverparkinc.com,No
connexx,CX32B23,21.5,32.8,0.28,,,61.8,http://www.riverparkinc.com,No
connexx,CX32B22,21.5,32.8,0.28,,,61.8,http://www.riverparkinc.com,No
connexx,CX32B21,21.5,32.8,0.28,,,61.8,http://www.riverparkinc.com,No
connexx,CX24B22DC,23.6,15.1,0.31,,,34.0,https://share.weiyun.com/69DLdEBg,No
connexx,CX32B21DC,31.5,19.3,0.35,,,50.8,https://share.weiyun.com/WTWYTeHN,No
TOSHIBA,65C350LC,65.0,107.0,0.35,0.4,,198.0,https://www.hisense-usa.com/support/models,No
RCA,RTA4304-F,43.0,66.0,0.5,0.6,,125.0,https://www.curtisint.com,No
RCA,RTA4304-E,43.0,66.0,0.5,0.6,,125.0,https://www.curtisint.com,No
RCA,RTA4304-D,43.0,66.0,0.5,0.6,,125.0,https://www.curtisint.com,No
RCA,RTA4304-C,43.0,66.0,0.5,0.6,,125.0,https://www.curtisint.com,No
RCA,RTA4304-B,43.0,66.0,0.5,0.6,,125.0,https://www.curtisint.com,No
RCA,RTA4303-F,43.0,66.0,0.5,0.6,,125.0,https://www.curtisint.com,No
RCA,RTA4303-E,43.0,66.0,0.5,0.6,,125.0,https://www.curtisint.com,No
RCA,RTA4303-D,43.0,66.0,0.5,0.6,,125.0,https://www.curtisint.com,No
RCA,RTA4303-C,43.0,66.0,0.5,0.6,,125.0,https://www.curtisint.com,No
RCA,RTA4302-E,43.0,66.0,0.5,0.6,,125.0,https://www.curtisint.com,No
RCA,RTA4302-D,43.0,66.0,0.5,0.6,,125.0,https://www.curtisint.com,No
RCA,RTA4302-B,43.0,66.0,0.5,0.6,,125.0,https://www.curtisint.com/,No
RCA,RTA3201-B,32.0,43.0,0.5,0.5,,81.9,https://www.curtisint.com/,No
RCA,RTA3201-E,32.0,43.0,0.5,0.5,,81.9,https://www.curtisint.com,No
RCA,RTA3202-D,32.0,43.0,0.5,0.5,,81.9,https://www.curtisint.com,No
RCA,RTA3203-F,32.0,43.0,0.5,0.5,,81.9,https://www.curtisint.com,No
RCA,RTR2460-US,23.5,17.0,0.3,,,33.1,https://onntvsupport/energy-guides,No
TCL,65S451-CA,64.5,59.8,0.3,,,111.0,By annual report date,No
TCL,32S350R,31.5,26.4,0.3,,,50.3,By annual report date,No
TCL,32S310R-CA,31.5,26.4,0.3,,,50.3,By annual report date,No
TCL,32S310R,31.5,26.4,0.3,,,50.3,By annual report date,No
TCL,32S31R-CA,31.5,26.4,0.3,,,50.3,By annual report date,No
TCL,32S359-CA,31.5,26.4,0.3,,,50.3,By annual report date,No
TCL,32S357-CA,31.5,26.4,0.3,,,50.3,By annual report date,No
TCL,32S355-CA,31.5,26.4,0.3,,,50.3,By annual report date,No
TCL,32S353-CA,31.5,26.4,0.3,,,50.3,By annual report date,No
TCL,32S355,31.5,26.2,0.3,,,50.3,By annual report date,No
DuraPro,DRPTV430BC,43.0,43.7,0.36,,0.36,82.0,https://www.coreinnovationsinc.com/certifications/,No
DuraPro,DRPTV430SM,43.0,44.0,0.37,,0.37,83.0,https://www.coreinnovationsinc.com/certifications/,No
LG,43UN782V0UC,42.5,61.0,0.4,,,114.0,http://www.lg.com/global/support/ftclabel,No
connexx,CX39B21,38.5,27.4,0.33,,,52.3,http://www.riverparkinc.com,No
connexx,CX39B22,38.5,27.4,0.33,,,52.3,http://www.riverparkinc.com,No
connexx,CX39B23,38.5,27.4,0.33,,,52.3,http://www.riverparkinc.com,No
connexx,CX39B24,38.5,27.4,0.33,,,52.3,http://www.riverparkinc.com,No
connexx,CX50B23,50.0,42.8,0.34,,,80.5,http://www.riverparkinc.com,No
connexx,CX50B22,50.0,42.8,0.34,,,80.5,http://www.riverparkinc.com,No
connexx,CX50B21,50.0,42.8,0.34,,,80.5,http://www.riverparkinc.com,No
Hisense,43A4*KV,43.0,46.8,0.24,0.43,,85.4,By annual report date,No
Hisense,32A4****V,32.0,27.5,0.21,0.38,,50.2,By annual report date,No
Hisense,32A4*KV,32.0,27.5,0.21,0.38,,50.2,By annual report date,No
Hisense,32A45KV,32.0,27.5,0.21,0.38,,50.2,By annual report date,No
Hisense,40A4*KV,40.0,39.3,0.22,0.38,,71.7,By annual report date,No
Hisense,40A45KV,40.0,39.3,0.22,0.38,,71.7,By annual report date,No
Hisense,40A40*0KV,40.0,39.3,0.22,0.38,,71.7,By annual report date,No
Hisense,40A4KV,40.0,39.3,0.22,0.38,,71.7,By annual report date,No
Hisense,43H4030F*,43.0,38.9,0.4,,,71.0,By annual report date,No
Hisense,43A4GR,43.0,38.9,0.4,,,71.0,By annual report date,No
Hisense,43H41G,43.0,38.9,0.4,,,71.0,By annual report date,No
Hisense,43A4*KR*,43.0,38.9,0.4,,,71.0,By annual report date,No
Hisense,43A4*HR*,43.0,38.9,0.4,,,71.0,By annual report date,No
Hisense,43H4030G*,43.0,38.9,0.4,,,71.0,By annual report date,No
Hisense,43A4*GR*,43.0,38.9,0.4,,,71.0,By annual report date,No
Hisense,43H4*G*,43.0,38.9,0.4,,,71.0,By annual report date,No
Westinghouse,8502812,23.6,24.3,0.2,,,45.8,https://share.weiyun.com/C1NwplZE,No
Westinghouse,WD24HAE1001,23.6,24.3,0.2,,,45.8,https://share.weiyun.com/C1NwplZE,No
Westinghouse,WD24HX1201,23.6,24.3,0.2,,,45.8,https://share.weiyun.com/C1NwplZE,No
Westinghouse,WR24HE2210,23.6,24.3,0.2,,,45.8,https://share.weiyun.com/C1NwplZE,No
Westinghouse,WR24HC2210,23.6,24.3,0.2,,,45.8,https://share.weiyun.com/C1NwplZE,No
Westinghouse,WR24HX2212,23.6,24.3,0.2,,,45.8,https://share.weiyun.com/C1NwplZE,No
Westinghouse,WD24HX5201,23.6,24.3,0.2,,,45.8,https://share.weiyun.com/C1NwplZE,No
Westinghouse,WR24HT2210,23.6,24.3,0.2,,,45.8,https://share.weiyun.com/C1NwplZE,No
Westinghouse,WR24HX2210,23.6,24.3,0.2,,,45.8,https://share.weiyun.com/C1NwplZE,No
Westinghouse,WR65UX4210V,65.0,94.9,0.4,,,176.0,https://share.weiyun.com/2FYwL4Jb,No
Westinghouse,WR65UT4212,65.0,94.9,0.4,,,176.0,https://share.weiyun.com/2FYwL4Jb,No
Westinghouse,WR55UX4212,55.0,67.2,0.37,,,125.0,https://share.weiyun.com/lQcQRcLW,No
Westinghouse,WR55UE4210,55.0,67.2,0.37,,,125.0,https://share.weiyun.com/lQcQRcLW,No
Westinghouse,WR55UC4210,55.0,67.2,0.37,,,125.0,https://share.weiyun.com/lQcQRcLW,No
Westinghouse,WR50UX4212,50.0,58.8,0.36,,,110.0,https://share.weiyun.com/g2NGwdhv,No
Westinghouse,WR50UE4210,50.0,58.8,0.36,,,110.0,https://share.weiyun.com/g2NGwdhv,No
Westinghouse,WR75UT4212,75.0,166.0,0.45,0.45,,306.0,By annual report date,No
Westinghouse,WR75UX4212,75.0,166.0,0.45,0.45,,306.0,By annual report date,No
Westinghouse,WR75UE4210,75.0,166.0,0.45,0.45,,306.0,By annual report date,No
ROKU,75R6A5CA,74.5,113.0,0.6,,,211.0,https://support.roku.com/article/10625174337047,No
ROKU,75R6A5**,74.5,113.0,0.6,,,211.0,https://support.roku.com/article/10625174337047,No
ROKU,43R4A5CA,42.5,64.6,0.6,,,122.0,https://support.roku.com/article/10625174337047,No
ROKU,43R4A5**,42.5,64.6,0.6,,,122.0,https://support.roku.com/article/10625174337047,No
ROKU,65R4A5CA,64.5,109.0,0.6,,,203.0,https://support.roku.com/article/10625174337047,No
ROKU,65R4A5R,64.5,109.0,0.6,,,203.0,https://support.roku.com/article/10625174337047,No
onn.,100122566,31.4,19.9,0.25,,,48.0,https://onntvsupport/energy-guides,No
ROKU,40R2A5R,39.5,54.5,0.5,,,103.0,https://support.roku.com/article/10625174337047,No
ROKU,40R2A5CA,39.5,54.5,0.5,,,103.0,https://support.roku.com/article/10625174337047,No
ROKU,40R2A5**,39.5,54.5,0.5,,,103.0,https://support.roku.com/article/10625174337047,No
ROKU,24R2A5R,23.5,25.0,0.5,,,49.0,https://support.roku.com/article/10625174337047,No
ROKU,65R6A5**,64.5,112.0,0.9,,,210.0,https://support.roku.com/article/10625174337047,No
ROKU,55R4A5**,54.6,86.3,0.5,,,161.0,https://support.roku.com/article/10625174337047,No
ROKU,55R4A5CA,54.6,86.3,0.5,,,161.0,https://support.roku.com/article/10625174337047,No
ROKU,55R4A5R,54.6,86.3,0.5,,,161.0,https://support.roku.com/article/10625174337047,No
ROKU,75R4A5CA,74.5,128.0,0.9,,,240.0,https://support.roku.com/article/10625174337047,No
ROKU,75R4A5**,74.5,128.0,0.9,,,240.0,https://support.roku.com/article/10625174337047,No
SUPERSONIC,SC-3216STV,32.0,24.4,0.28,,,46.0,By annual report date,No
SUPERSONIC,SC-3210,32.0,24.4,0.28,,,46.0,By annual report date,No
SUPERSONIC,SC-4350GTV,40.0,38.5,0.31,,,72.0,By annual report date,No
SUPERSONIC,SC-43XXXX,40.0,38.5,0.31,,,72.0,By annual report date,No
SUPERSONIC,SC-4316STV,40.0,38.5,0.31,,,72.0,By annual report date,No
SILO,SL5020VF,50.0,73.0,0.5,1.0,,140.0,http://silotv.net/,No
ASANO,KC2411H1,23.8,22.7,0.23,,,43.0,http://m.qpic.cn/psc?/V121cOCr4OSegS/ruAMsa53pVQWN7FLK88i5vlWrERAJEIEftbqNKMtMdK5rsTbTsT7I.GHKIMDE1msYx*ySpy5XNRDsYuGlcH0ZRjN4B0eggYmrcj0.GGczaw!/mnull&bo=iQI6CQAAAAABB5g!&rf=photolist&t=5,No
KitCatch,KC2411H1,23.8,22.7,0.23,,,43.0,http://m.qpic.cn/psc?/V121cOCr4OSegS/ruAMsa53pVQWN7FLK88i5vlWrERAJEIEftbqNKMtMdK5rsTbTsT7I.GHKIMDE1msYx*ySpy5XNRDsYuGlcH0ZRjN4B0eggYmrcj0.GGczaw!/mnull&bo=iQI6CQAAAAABB5g!&rf=photolist&t=5,No
ASANO,KC2711L1,27.0,23.9,0.2,,,44.7,http://m.qpic.cn/psc?/V121cOCr4OSegS/ruAMsa53pVQWN7FLK88i5vlWrERAJEIEftbqNKMtMdJiQ3cOHRzyNE4ntG2EwxW757.UpewgpWmvMuc*clI8.uUcg9FCH80YFhWTp3wGz9E!/mnull&bo=iQI6CQAAAAABB5g!&rf=photolist&t=5,No
TCL,50S454,49.5,46.3,0.3,,,191.0,By annual report date,No
TCL,50S452,49.5,46.3,0.3,,,191.0,By annual report date,No
TCL,50S450,49.5,46.3,0.3,,,191.0,By annual report date,No
TCL,50S41-CA,49.5,46.3,0.3,,,191.0,By annual report date,No
TCL,50S453,49.5,46.3,0.3,,,191.0,By annual report date,No
TCL,50S45R,49.5,46.3,0.3,,,191.0,By annual report date,No
TCL,50S41R,49.5,46.3,0.3,,,191.0,By annual report date,No
PHILIPS,75BFL2214/27,74.5,116.0,0.42,0.76,,217.0,By annual report date,No
PHILIPS,55BFL2214/27,54.5,77.2,0.4,0.79,,147.0,By annual report date,No
PHILIPS,50HFL5214U/27,49.5,68.0,0.42,0.83,,130.0,By annual report date,No
PHILIPS,65BFL2214/27,64.5,93.5,0.43,0.83,,177.0,By annual report date,No
PHILIPS,50HFL6214U/27,49.5,73.7,0.45,0.83,,141.0,By annual report date,No
PHILIPS,43HFL5214U/27,42.5,55.9,0.44,0.68,,107.0,By annual report date,No
PHILIPS,43BFL2214/27,42.5,56.4,0.46,0.79,,109.0,By annual report date,No
TCL,32S352,32.0,30.4,0.3,,,57.6,https://share.weiyun.com/WlGlMPsF,No
TCL,32S355,32.0,30.4,0.3,,,57.6,https://share.weiyun.com/WlGlMPsF,No
TCL,32S356,32.0,30.4,0.3,,,57.6,https://share.weiyun.com/WlGlMPsF,No
TCL,32S357,32.0,30.4,0.3,,,57.6,https://share.weiyun.com/WlGlMPsF,No
TCL,32S351-CA,32.0,30.4,0.3,,,57.6,https://share.weiyun.com/WlGlMPsF,No
TCL,32S352-CA,32.0,30.4,0.3,,,57.6,https://share.weiyun.com/WlGlMPsF,No
TCL,32S353-CA,32.0,30.4,0.3,,,57.6,https://share.weiyun.com/WlGlMPsF,No
TCL,32S355-CA,32.0,30.4,0.3,,,57.6,https://share.weiyun.com/WlGlMPsF,No
TCL,32S356-CA,32.0,30.4,0.3,,,57.6,https://share.weiyun.com/WlGlMPsF,No
TCL,32S350G,32.0,30.4,0.3,,,57.6,https://share.weiyun.com/WlGlMPsF,No
TCL,32S350R,32.0,30.4,0.3,,,57.6,https://share.weiyun.com/WlGlMPsF,No
TCL,32S350R-CA,32.0,30.4,0.3,,,57.6,https://share.weiyun.com/WlGlMPsF,No
TCL,32S330G-CA,32.0,30.4,0.3,,,57.6,https://share.weiyun.com/WlGlMPsF,No
TCL,32S330R-CA,32.0,30.4,0.3,,,57.6,https://share.weiyun.com/WlGlMPsF,No
TCL,32S310R,32.0,30.4,0.3,,,57.6,https://share.weiyun.com/WlGlMPsF,No
TCL,32S310G,32.0,30.4,0.3,,,57.6,https://share.weiyun.com/WlGlMPsF,No
TCL,32S310G-CA,32.0,30.4,0.3,,,57.6,https://share.weiyun.com/WlGlMPsF,No
TCL,32S250R,32.0,30.4,0.3,,,57.6,https://share.weiyun.com/WlGlMPsF,No
TCL,32S250R-CA,32.0,30.4,0.3,,,57.6,https://share.weiyun.com/WlGlMPsF,No
TCL,32S230R,32.0,30.4,0.3,,,57.6,https://share.weiyun.com/WlGlMPsF,No
TCL,32S230R-CA,32.0,30.4,0.3,,,57.6,https://share.weiyun.com/WlGlMPsF,No
TCL,40S351-CA,40.0,32.7,0.3,,,61.8,https://share.weiyun.com/vVjimQWz,No
TCL,40S353-CA,40.0,32.7,0.3,,,61.8,https://share.weiyun.com/vVjimQWz,No
TCL,40S355-CA,40.0,32.7,0.3,,,61.8,https://share.weiyun.com/vVjimQWz,No
TCL,43S350G-CA,43.0,43.2,0.3,,,80.9,https://share.weiyun.com/8mfuifNN,No
TCL,43S330G-CA,43.0,43.2,0.3,,,80.9,https://share.weiyun.com/8mfuifNN,No
TCL,43S310G-CA,43.0,43.2,0.3,,,80.9,https://share.weiyun.com/8mfuifNN,No
TCL,43S350R-CA,43.0,43.2,0.3,,,80.9,https://share.weiyun.com/8mfuifNN,No
TCL,43S350G,43.0,43.2,0.3,,,80.9,https://share.weiyun.com/8mfuifNN,No
TCL,40S350G-CA,40.0,32.7,0.3,,,61.8,https://share.weiyun.com/vVjimQWz,No
TCL,40S330G-CA,40.0,32.7,0.3,,,61.8,https://share.weiyun.com/vVjimQWz,No
TCL,40S310R-CA,40.0,32.7,0.3,,,61.8,https://share.weiyun.com/vVjimQWz,No
TCL,40S31R-CA,40.0,32.7,0.3,,,61.8,https://share.weiyun.com/vVjimQWz,No
TCL,40S350G,40.0,32.7,0.3,,,61.8,https://share.weiyun.com/vVjimQWz,No
TCL,40S330G,40.0,32.7,0.3,,,61.8,https://share.weiyun.com/vVjimQWz,No
TCL,40S310G,40.0,32.7,0.3,,,61.8,https://share.weiyun.com/vVjimQWz,No
TCL,40S350R,40.0,32.7,0.3,,,61.8,https://share.weiyun.com/vVjimQWz,No
TCL,50S450G,49.5,49.7,0.6,,,93.8,https://www.tcl.com/usca/content/dam/tcl/product/home-theater/4-series/download/s450g-energy-guides/50S450G-energy-guide.png,No
TCL,43S450G,42.5,40.5,0.55,,,77.0,https://www.tcl.com/usca/content/dam/tcl/product/home-theater/4-series/download/s450g-energy-guides/43S450G-energy-guide.png,No
TCL,40S350G,39.5,37.0,0.3,,,69.0,https://www.tcl.com/usca/content/dam/tcl/product/home-theater/3-series/download/s350g-energy-guides/40S350G-energy-guide.png,No
TCL,32S350G,31.5,28.3,0.3,,,54.0,https://www.tcl.com/usca/content/dam/tcl/product/home-theater/3-series/download/s350g-energy-guides/32S350G-energy-guide.png,No
VIZIO,V755x-K04,75.0,180.0,0.27,,,331.0,http://www.Vizio.com/,No
VIZIO,V755M-K04,75.0,180.0,0.27,,,331.0,http://www.Vizio.com/,No
Westinghouse,WR32HC2210,31.5,33.5,0.3,,,64.0,By annual report date,No
Westinghouse,WR24HT2212,23.6,20.3,0.3,,,40.0,By annual report date,No
JVC,LT-32MAW125,32.0,35.0,0.5,0.5,,67.3,https://jvcproducts.com/us/contact/support.html,No
JVC,LT-43MAW635,43.0,75.3,0.5,0.5,,141.0,https://jvcproducts.com/us/contact/support.html,No
ROKU,50R4A5**,49.5,71.7,0.6,,,135.0,https://support.roku.com/article/10625174337047,No
ROKU,50R4A5CA,49.5,71.7,0.6,,,135.0,https://support.roku.com/article/10625174337047,No
ROKU,50R4A5R,49.5,71.7,0.6,,,135.0,https://support.roku.com/article/10625174337047,No
PHILIPS,55PFL5756/F7 A,55.0,57.5,0.32,,,134.0,By annual report date,No
ONN,100012586-CA,55.0,125.0,0.42,0.42,,231.0,http://www.onntvsupport.com/energy-guides,No
TCL,85S456-CA,85.0,176.0,0.44,,,375.0,By annual report date,No
TCL,85S452-CA,85.0,176.0,0.44,,,375.0,By annual report date,No
TCL,85S451-CA,85.0,176.0,0.44,,,375.0,By annual report date,No
TCL,85S450-CA,85.0,176.0,0.44,,,375.0,By annual report date,No
TCL,85S456,85.0,176.0,0.44,,,375.0,By annual report date,No
TCL,85S455,85.0,176.0,0.44,,,375.0,By annual report date,No
TCL,85S454,85.0,176.0,0.44,,,375.0,By annual report date,No
TCL,85S453,85.0,176.0,0.44,,,375.0,By annual report date,No
TCL,85S452,85.0,176.0,0.44,,,375.0,By annual report date,No
TCL,85S451,85.0,176.0,0.44,,,375.0,By annual report date,No
TCL,85S450,85.0,176.0,0.44,,,375.0,By annual report date,No
RCA,C65VAUG,65.0,101.0,0.31,,,194.0,By annual report date,No
RCA,S65TAUG,65.0,101.0,0.31,,,194.0,By annual report date,No
RCA,S65VAUG,65.0,101.0,0.31,,,194.0,By annual report date,No
RCA,LE-65V3,65.0,101.0,0.31,,,194.0,By annual report date,No
RCA,LE-65V2,65.0,101.0,0.31,,,194.0,By annual report date,No
RCA,LE-65V1,65.0,101.0,0.31,,,194.0,By annual report date,No
RCA,LE-65T3,65.0,101.0,0.31,,,194.0,By annual report date,No
RCA,LE-65T2,65.0,101.0,0.31,,,194.0,By annual report date,No
RCA,LE-65T1,65.0,101.0,0.31,,,194.0,By annual report date,No
CAIXUN,*****65*********,65.0,101.0,0.31,,,194.0,By annual report date,No
CAIXUN,PG65SKA,65.0,101.0,0.31,,,194.0,By annual report date,No
CAIXUN,RTAU6504-B,65.0,101.0,0.31,,,194.0,By annual report date,No
CAIXUN,LE-65TA4,65.0,101.0,0.31,,,194.0,By annual report date,No
CAIXUN,LE-65TA3,65.0,101.0,0.31,,,194.0,By annual report date,No
CAIXUN,LE-65TA2,65.0,101.0,0.31,,,194.0,By annual report date,No
