Brand_Name_s__s,Individual_Model_Number_m,Screen_Size__diagonal_in_inches__d,Power_Consumed_in_On_Mode__watts__d,Power_Consumed_in_Standby_Passive_Mode__watts__d,Power_Consumed_in_Standby_Active__Low_Mode__watts___if_applicable__d,Power_Consumed_in_Off_Mode__watts___if_applicable__d,Annual_Energy_Consumption__kWh_per_year__d,Link_to_FTC_EnergyGuide_Label_s,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s
Samsung,BE32T-B,32.0,33.0,0.5,1.5,,70.6,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-lh32betblgkxzp-energylabel.pdf,No
Samsung,UN60TU700DF,60.0,68.0,0.5,1.5,,135.0,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-un60tu700dfxza-energylabel.pdf,No
Samsung,UN60TU7000F,60.0,68.0,0.5,1.5,,135.0,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-un60tu7000fxza-energylabel.pdf,No
Samsung,QN70Q62AAV,70.0,80.0,0.5,1.5,,156.0,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-qn70q62aavxza-energylabel.pdf,No
Samsung,QN70Q6DAAV,70.0,80.0,0.5,1.5,,156.0,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-qn70q6daavxza-energylabel.pdf,No
Samsung,QN70Q60AAV,70.0,80.0,0.5,1.5,,156.0,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-qn70q60aavxza-energylabel.pdf,No
Samsung,QN75LST9TAF,75.0,180.0,0.5,1.5,,339.0,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-qn75lst9tafxza-energylabel.pdf,No
Samsung,QN32Q62AAF,32.0,49.0,0.5,1.5,,99.8,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-qn32q62aafxza-energylabel.pdf,No
Samsung,QN50Q8DAAF,50.0,82.0,0.5,1.5,,160.0,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-qn50q8daafxza-energylabel.pdf,No
Samsung,QN50Q80AAF,50.0,82.0,0.5,1.5,,160.0,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-qn50q80aafxza-energylabel.pdf,No
Samsung,UN75AU8000B,75.0,122.0,0.5,1.5,,233.0,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-un75au8000bxza-energylabel.pdf,No
Samsung,UN75TU7000B,75.0,94.0,0.5,1.5,,182.0,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-un75tu7000bxza-energylabel.pdf,No
Samsung,UN65TU7000B,65.0,73.0,0.5,1.5,,144.0,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-un65tu7000bxza-energylabel.pdf,No
Samsung,UN55TU7000B,55.0,60.0,0.5,1.5,,120.0,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-un55tu7000bxza-energylabel.pdf,No
Samsung,UN50TU7000B,50.0,66.0,0.5,1.5,,131.0,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-un50tu7000bxza-energylabel.pdf,No
