Brand_Name_s__s,Product_Group_Code_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Cooling_Capacity__BTU_Hour__d,Electrical_Power_Input__Watts__d,Combined_Energy_Efficiency_Ratio_d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s,Link_to_FTC_EnergyGuide_Label_s,individual_model_number_modified
DENALI AIRE,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",TWAC-10CRA1/L0U(ES),1DAC10K,10000.0,830.0,12.0,No,No,https://perfectaire.us/resource_category/specs/.,1DAC10K
DENALI AIRE,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",TWC-08CRD1/L0U(ES),1DAC8K,8000.0,640.0,12.0,No,No,https://perfectaire.us/resource_category/specs/.,1DAC8K
DENALI AIRE,"(2) Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",TWC-06CRD1/L1U(ES),1DAC6K,6000.0,490.0,12.1,No,No,https://perfectaire.us/resource_category/specs/.,1DAC6K
Perfect aire,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",1PACU8000,1PACU8000,8000.0,690.0,15.0,No,No,https://perfectaire.us/resource_category/specs/,1PACU8000
Homepointe,"(2) Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",MWHUK-06CRN8-BCL1,MWHUK-06CRN8-BCL1,6000.0,490.0,12.1,No,No,https://www.truevalue.com/air-conditioner-6-000-btu-hour,MWHUK-06CRN8-BCL1
Homepointe,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",MWHUK-08CRN8-BCL0,MWHUK-08CRN8-BCL0,8000.0,650.0,12.0,No,No,https://www.truevalue.com/window-air-conditioner-8-000-btu-hour,MWHUK-08CRN8-BCL0
Homepointe,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",MWHUK-10CRN8-BCL0,MWHUK-10CRN8-BCL0,10000.0,830.0,12.0,No,No,https://www.truevalue.com/air-conditioner-10-000-btu-hour,MWHUK-10CRN8-BCL0
Soleusair,"(2) Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",NCA-06C,WS3-06E-201,6000.0,500.0,12.1,No,No,https://soleusairwest.com/energy-guides/,WS3-06E-201
MOBILCOMFORT,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",NCA-08C,MCSD-08,8000.0,670.0,12.0,No,No,https://acsaddle.com/index.php/energy-guides/,MCSD-08
OSLO,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",NCA-08C,OSHB-08,8000.0,670.0,12.0,No,No,https://oslousa.com/products/6-000-btu-micro-split-air-conditioner-inverter?variant=,OSHB-08
Element,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",EWR10BE,EWR10BE,10000.0,810.0,12.0,No,No,https://elementelectronics.com/energy-guides,EWR10BE
Impecca,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",ITAC08-KS21,ITAC08-KS21,8000.0,750.0,10.6,No,No,https://impecca.boxcn.net/s/wfrsrkgdohr0rn8y8ovv1ktk67902n7t,ITAC08-KS21
Impecca,"(2) Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",IWA06-KS30,IWA06-KS30,6000.0,490.0,12.1,No,No,https://impecca.box.com/s/uzqr6n83ofutnavbphmzxsl4livsd9gm,IWA06-KS30
