Brand_Name_s__s,Product_Group_Code_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Annual_Energy_Use__Kilowatt_Hours_Year__d,Water_Consumption__Gallons_Cycle__d,Capacity__Number_of_Place_Settings__d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s,Link_to_FTC_EnergyGuide_Label_s
Maytag,Standard size dishwasher,MDB9979SK**,MDB9959SK**,270.0,3.5,12.0,No,No,https://www.maytag.com/owners.html
Maytag,Standard size dishwasher,MDB9979SK**,MDB9979SK**,270.0,3.5,12.0,No,No,https://www.maytag.com/owners.html
Maytag,Standard size dishwasher,MDB9979SK**-01,MDB9979SK**,270.0,3.5,12.0,No,No,https://www.maytag.com/owners.html
Maytag,Standard size dishwasher,MDB9979SK**-01,MDB9959SK**,270.0,3.5,12.0,No,No,https://www.maytag.com/owners.html
Maytag,Standard size dishwasher,MDB9979SK**-02,MDB9979SK**,270.0,3.5,12.0,No,No,https://www.maytag.com/owners.html
Maytag,Standard size dishwasher,MDB9979SK**-02,MDB9959SK**,270.0,3.5,12.0,No,No,https://www.maytag.com/owners.html
Maytag,Standard size dishwasher,MDB9979SK**-03,MDB9979SK**,270.0,3.5,12.0,No,No,https://www.maytag.com/owners.html
Maytag,Standard size dishwasher,MDB9979SK**-03,MDB9959SK**,270.0,3.5,12.0,No,No,https://www.maytag.com/owners.html
Whirlpool,Standard size dishwasher,ADB1100AW**-02,WDF110PAB**,270.0,3.1,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Whirlpool,Standard size dishwasher,ADB1300AF**-05,WDF130PAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Whirlpool,Standard size dishwasher,ADB1300AF**-06,WDF130PAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Whirlpool,Standard size dishwasher,ADB1300AF**-07,WDF120PAF**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Whirlpool,Standard size dishwasher,ADB1300AF**-07,WDF121PAF**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html
KitchenAid,Standard size dishwasher,KDTE334G***-02,KDTE334G***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
KitchenAid,Standard size dishwasher,KDTE334G***-03,KDTE334G***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
KitchenAid,Standard size dishwasher,KDTE334G***-03,KDPE334G***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
KitchenAid,Standard size dishwasher,KDTE554C++#,KDTE554C***,260.0,2.0,12.0,Yes,No,https://www.kitchenaid.com/service-and-support/manuals.html
Whirlpool,Standard size dishwasher,ADB1300AF**-09,WDF121PAF**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Whirlpool,Standard size dishwasher,ADB1300AF**-09,WDF130PAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Whirlpool,Standard size dishwasher,ADB1300AF**-10,WDF130PAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
Whirlpool,Standard size dishwasher,ADB1300AF**-11,WDF120PAF**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
Whirlpool,Standard size dishwasher,ADB1300AF**-11,WDF121PAF**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
Whirlpool,Standard size dishwasher,ADB1300AF**-11,WDF130PAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
Whirlpool,Standard size dishwasher,ADB1300AF**-13,WDF120PAF**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
KitchenAid,Standard size dishwasher,KDTM354D***-04,KDTM354D***,260.0,3.0,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
Whirlpool,Standard size dishwasher,ADB1300AF**-13,WDF121PAF**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
Whirlpool,Standard size dishwasher,ADB1400AM**,WDF331PAM**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Whirlpool,Standard size dishwasher,ADB1500AD**-03,WDT705PAK**,270.0,3.0,12.0,No,No,https://www.whirlpool.com/services/manuals.html
KitchenAid,Standard size dishwasher,KDTM404K***,KDTM404K***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
KitchenAid,Standard size dishwasher,KDTM404K***-01,KDTM404K***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html
Whirlpool,Standard size dishwasher,ADB1500AD**-05,WDT705PAK**,270.0,3.0,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
Whirlpool,Standard size dishwasher,ADB1500AD**-06,WDT705PAK**,270.0,3.0,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
Whirlpool,Standard size dishwasher,WDF330PAH**-02,WDF330PAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Whirlpool,Standard size dishwasher,WDF330PAH**-02,WDF331PAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Whirlpool,Standard size dishwasher,WDF330PAH**-04,WDF330PAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Whirlpool,Standard size dishwasher,WDF330PAH**-04,WDF331PAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Kenmore,Standard size dishwasher,1457*N***-03,1454*N***,270.0,3.5,12.0,No,No,https://www.kenmore.com/energyguide/
Kenmore,Standard size dishwasher,1474*N***-01,1474*N***,270.0,3.5,12.0,No,No,https://www.kenmore.com/energyguide/
Kenmore,Standard size dishwasher,1474*N***-01,1475*N***,270.0,3.5,12.0,No,No,https://www.kenmore.com/energyguide/
Whirlpool,Standard size dishwasher,WDF330PAH**-05,WDF331PAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Kenmore,Standard size dishwasher,1474*N***-01,1479*N***,270.0,3.5,12.0,No,No,https://www.kenmore.com/energyguide/
Whirlpool,Standard size dishwasher,WDF330PAH**-06,WDF330PAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Whirlpool,Standard size dishwasher,WDF330PAH**-06,WDF331PAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Whirlpool,Standard size dishwasher,WDF330PAH**-07,WDF330PAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
Kenmore,Standard size dishwasher,1474*N***-02,1470*N***,270.0,3.5,12.0,No,No,https://www.kenmore.com/energyguide/
Whirlpool,Standard size dishwasher,WDF330PAH**-07,WDF331PAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
KitchenAid,Standard size dishwasher,KDTM404K***-01,KDFM404K***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html
KitchenAid,Standard size dishwasher,KDTM404K***-02,KDFM404K***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html
KitchenAid,Standard size dishwasher,KDTM404K***-03,KDTM404K***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html
KitchenAid,Standard size dishwasher,KDTM404K***-03,KDFM404K***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html
KitchenAid,Standard size dishwasher,KDTM804E***-03,KDTM384E***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
KitchenAid,Standard size dishwasher,KDTM804E***-03,KDTM404E***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
KitchenAid,Standard size dishwasher,KDTM804E***-03,KDTM504E***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
KitchenAid,Standard size dishwasher,KDTM804E***-04,KDTM354E***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
KitchenAid,Standard size dishwasher,KDTM804E***-04,KDTM384E***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
KitchenAid,Standard size dishwasher,KDTM804E***-04,KDTM804E***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
Whirlpool,Standard size dishwasher,WDF330PAH**-08,WDF330PAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
Whirlpool,Standard size dishwasher,WDF330PAH**-09,WDF330PAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
Whirlpool,Standard size dishwasher,WDF330PAH**-09,WDF331PAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
KitchenAid,Standard size dishwasher,KDTM804E***-05,KDTM384E***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
Kenmore,Standard size dishwasher,1474*N***-02,1474*N***,270.0,3.5,12.0,No,No,https://www.kenmore.com/energyguide/
