ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,UPC,Type,Product Class,Defrost Type,Compact,Built-in,Thru the Door Dispenser,Ice Maker,Counter Depth,Height (in),Width (in),Capacity (Total Volume) (ft3),Adjusted Volume (ft3),Annual Energy Use (kWh/yr),US Federal Standard (kWh/yr),Percent Less Energy Use than US Federal Standard,Refrigerant Type,Refrigerant with GWP,Connected Functionality,Connects Using,Connected Functionality Tested,Communication Standard Application Layer,Direct on-premises Open-standard Based Interconnection,Date Available On Market,Date Certified,Markets,CB Model Identifier,Meets ENERGY STAR Most Efficient 2023 Criteria
2288906,Danby OnePlug,3.2SM4*,",3.2SM4RA,",67638999168,Compact Refrigerator,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,No,No,No,32.7,17.7,3.2,3.2,258,289,11,,,No,,,,,01/30/2017,01/03/2017,"United States, Canada",ES_0031682_3.2SM4*_01032017024918_70111997,No
2288907,Danby OnePlug,3.3SM4*,",3.3SM4R,",67638999175,Compact Refrigerator,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,No,No,No,32.7,17.7,3.3,3.3,259,290,11,,,No,,,,,01/30/2017,01/03/2017,"United States, Canada",ES_0031682_3.3SM4*_01032017024918_70111997,No
2212656,Danby or Danby Designer,DAR033A1*,",DAR033A1BDD, DAR033A1BSLDBO,",67638005937;67638999038,Compact Refrigerator,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,No,No,No,33.1,17.7,3.3,3.3,259,290,11,,,No,,,,,06/12/2014,05/27/2014,"United States, Canada",ES_0031682_DAR033A1*_06102014033951_2718267,No
2212651,Danby or Danby Designer,DCR016A3*,",DCR016A3BDB, DCR016A3BSLDD, DCR016A3WDB,",67638998918;67638998925;67638998970,Compact Refrigerator,11A - Compact All-Refrigerator - manual defrost,Manual,Yes,No,No,No,No,19.7,17.7,1.6,1.6,207,232,11,,,No,,,,,06/12/2014,05/27/2014,"United States, Canada",ES_0031682_DCR016A3*_06102014033951_2718267,No
2235169,DCS,RF24BT*1,,,Compact Refrigerator,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,No,No,Yes,33.8,23.9,5.7,5.7,267,312,14,,,No,,No,,,03/14/2015,03/16/2015,"United States, Canada",ES_1100125_RF24BT*1_03192015020551_70027389,No
2235167,DCS,RF24DE3,,,Compact Refrigerator,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,No,No,Yes,33.8,23.9,5,5,202,305,34,,,No,,No,,,03/02/2015,03/16/2015,"United States, Canada",ES_1100125_Rf24DE3_03192015020551_70027389,Yes
2380763,DCS,RF24DE4,,,Compact Refrigerator,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,No,No,Yes,34,24,5,5,199,305,35,R-600a,R-600a (GWP:3 | Lower GWP),No,,,,,03/22/2021,06/23/2021,"United States, Canada",ES_Marvel Refrigeration_RF24DE4_06112021141703_9727396,Yes
2380719,DCS,RF24*E4,,,Compact Refrigerator,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,No,No,Yes,34,24,5.1,5.1,219,306,28,R-600a,R-600a (GWP:3 | Lower GWP),No,,,,,03/22/2021,06/23/2021,"United States, Canada",ES_Marvel Refrigeration_RF24*E4_061120211417569_9240590,No
2235166,DCS,RF24LE3,,,Compact Refrigerator,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,No,No,Yes,33.8,23.9,5.1,5.1,186,306,39,,,No,,No,,,03/02/2015,03/16/2015,"United States, Canada",ES_1100125_RF24LE3_03192015020551_70027389,Yes
2235165,DCS,RF24RE3,,,Compact Refrigerator,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,No,No,Yes,33.8,23.9,5.1,5.1,186,306,39,,,No,,No,,,03/02/2015,03/16/2015,"United States, Canada",ES_1100125_RF24RE3_03192015020551_70027389,Yes
