ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,UPC,Type,Product Class,Defrost Type,Compact,Built-in,Thru the Door Dispenser,Ice Maker,Counter Depth,Height (in),Width (in),Capacity (Total Volume) (ft3),Adjusted Volume (ft3),Annual Energy Use (kWh/yr),US Federal Standard (kWh/yr),Percent Less Energy Use than US Federal Standard,Refrigerant Type,Refrigerant with GWP,Connected Functionality,Connects Using,Connected Functionality Tested,Communication Standard Application Layer,Direct on-premises Open-standard Based Interconnection,Date Available On Market,Date Certified,Markets,CB Model Identifier,Meets ENERGY STAR Most Efficient 2023 Criteria
2369304,Arctic Wind,2ATMW212E,,,Top Freezer,3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,Automatic,No,No,No,No,No,67,33,21,25.6,396,440,10,,,No,,,,,10/30/2020,11/09/2020,"United States, Canada",ES_1121980_2ATMW212E_11102020012636_1596636,Yes
2397747,Arctic Wind,2AW1BF26A,",2AW1SLF26A,",850012484240;850012484370,Compact Refrigerator,11A - Compact All-Refrigerator - manual defrost,Manual,Yes,No,No,No,No,27.4,17.5,2.6,2.6,215,239,10,,,No,,,,,08/15/2022,06/23/2022,"United States, Canada",ES_1121980_2AW1BF26A_06202022134236_2692056,No
2393669,Arctic Wind,2AW1SLF44A,,850012484400,Compact Refrigerator,11A - Compact All-Refrigerator - manual defrost,Manual,Yes,No,No,No,No,33.1,18.7,4.4,4.4,228,254,10,,,No,,,,,04/15/2022,03/08/2022,"United States, Canada",ES_1121980_2AW1SLF44A_03012022142251_5311380,No
2370277,Arctic Wind,ABM*171E,",,The symbol *, maybe replaced by A-Z, means different control panel or color of enclosure.",,Bottom Freezer,5 - Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic ice maker,Automatic,No,No,No,No,No,69.1,31.3,17.1,20.9,451,502,10,R-600a,R-600a (GWP:3 | Lower GWP),No,,,,,11/23/2020,11/25/2020,"United States, Canada",ES_1121980_ABM*171E_112520200126738_9572853,No
2370276,Arctic Wind,ABM*171E*,",,The symbol *, maybe replaced by A-Z, means different control panel or color of enclosure.",,Bottom Freezer,5 - Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic ice maker,Automatic,No,No,No,No,No,69.1,31.3,17.1,20.9,451,502,10,R-600a,R-600a (GWP:3 | Lower GWP),No,,,,,11/23/2020,11/25/2020,"United States, Canada",ES_1121980_ABM*171E*_11252020012627_7795251,No
2329929,Arctic Wind,ATMB212E,,,Top Freezer,3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,Automatic,No,No,No,No,No,67,33,21,25.6,396,440,10,,,No,,,,,11/10/2018,11/14/2018,"United States, Canada",ES_1121980_ATMB212E_11142018075857_2337900,Yes
2329930,Arctic Wind,ATMSL212E,,,Top Freezer,3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,Automatic,No,No,No,No,No,67,33,21,25.6,396,440,10,,,No,,,,,11/10/2018,11/14/2018,"United States, Canada",ES_1121980_ATMSL212E_11142018075847_2327351,Yes
2329932,Arctic Wind,ATMW212E,,,Top Freezer,3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,Automatic,No,No,No,No,No,67,33,21,25.6,396,440,10,,,No,,,,,11/10/2018,11/14/2018,"United States, Canada",ES_1121980_ATMW212E_11142018075907_2347387,Yes
2408259,Asko,VCS5297TPGVCS5297TPG,,,,4 - Freestanding Cooler,Manual,No,No,No,No,No,75.6,27.6,19.1,19.1,159,,,,,No,,,,,01/10/2023,03/22/2023,United States,ES_31672_VCS5297TPG_021720231901193_5190775,No
2472278,Asko,WCN311942G,,,,4 - Freestanding Cooler,Manual,No,No,No,No,No,75.6,27.6,18.3,18.3,199,,,R-600a,R-600a (GWP:3 | Lower GWP),No,,,,,09/01/2022,09/06/2022,United States,ES_1123023_WCN311942G_050320232036101_6470724,No
2395173,AVALLON,AWC152DPRGLH,",AWC152DBLSS,; ,AWC152DPRGRH,; ,AWC152DZLH,; ,AWC152DZRH,",846844013307;852017005697;852017005703;852017005901;852017005918,Compact Cooler,3 - Freestanding Compact Cooler,,Yes,No,No,No,No,34.1,15,3.1,3.1,143,180,21,,,No,,,,,05/13/2022,04/28/2022,"United States, Canada",ES_1074063_AWC152DPRGLH_04242022130728_354883,No
2395269,AVALLON,AWC152SPRGLH,",AWC152SBLSS,; ,AWC152SPRGRH,; ,AWC152SZLH,; ,AWC152SZRH,",852017005499;852017005710;852017005727;852017005925;852017005932,Compact Cooler,3 - Freestanding Compact Cooler,,Yes,No,No,No,No,34.1,15,3.4,3.4,144,183,21,,,No,,,,,05/13/2022,04/27/2022,"United States, Canada",ES_1074063_AWC152SPRGLH_04222022163758_7143060,No
2395172,AVALLON,AWC242DPRSLH,",AWC242DBLSS,; ,AWC242DPRGLH,; ,AWC242DPRGRH,; ,AWC242DPRSRH,; ,AWC242DZLH,; ,AWC242DZRH,",846844013284;846844013291;846844013314;852017005659;852017005666;852017005864;852017005871,Compact Cooler,3 - Freestanding Compact Cooler,,Yes,No,No,No,No,34.1,23.8,5.4,5.4,157,198,21,,,No,,,,,05/13/2022,04/28/2022,"United States, Canada",ES_1074063_AWC242DPRSLH_04242022131352_147821,No
2395418,AVALLON,AWC242FDPRG,",AWC242FD,; ,AWC242FDBLSS,",852017005529;852017005734;852017005956,Compact Cooler,3 - Freestanding Compact Cooler,,Yes,No,No,No,No,34.1,23.8,5.2,5.2,156,197,21,,,No,,,,,05/13/2022,05/04/2022,"United States, Canada",ES_1074063_AWC242FDPRG_04242022131836_3826715,No
2395267,AVALLON,AWC242SPRGLH,",AWC242SBLSS,; ,AWC242SPRGRH,; ,AWC242SZLH,; ,AWC242SZRH,",852017005512;852017005673;852017005680;852017005888;852017005895,Compact Cooler,3 - Freestanding Compact Cooler,,Yes,No,No,No,No,34.1,23.8,5.8,5.8,160,202,21,,,No,,,,,05/13/2022,04/27/2022,"United States, Canada",ES_1074063_AWC242SPRGLH_04222022164839_1829492,No
2395419,AVALLON,AWC243TDZLHA,",AWC243TDZRHA,",846844013338;846844013345,,4 - Freestanding Cooler,Manual,No,No,No,No,No,69.8,23.4,14.7,14.7,242,,,,,No,,,,,05/13/2022,05/04/2022,"United States, Canada",ES_1074063_AWC243TDZLH_04242022132520_8215906,No
2395268,AVALLON,AWC243TSZLH,",AWC243TSZRH,",852017005789;852017005796,,4 - Freestanding Cooler,Manual,No,No,No,No,No,69.8,23.4,15.3,15.3,247,,,,,No,,,,,05/13/2022,04/27/2022,"United States, Canada",ES_1074063_AWC243TSZLH_04242022113110_8558923,No
2263341,Avalon,A1-3.1CFDDBLK,,,Compact Refrigerator,12 - Compact Refrigerator-Freezer - partial automatic defrost,Automatic,Yes,No,No,No,No,33,18.5,3.1,3.8,270,358,25,,,No,,No,,,03/20/2016,03/23/2016,United States,ES_1132323_A1-3.1CFDDBLK_03252016091442_7282050,No
2263342,Avalon,A1-3.1CFDDSS,,,Compact Refrigerator,12 - Compact Refrigerator-Freezer - partial automatic defrost,Automatic,Yes,No,No,No,No,33,18.5,3.1,3.8,270,358,25,,,No,,No,,,03/20/2016,03/23/2016,United States,ES_1132323_A1-3.1CFDDSS_03252016091453_7293810,No
2354266,Avanti,AR17T0W,",AR17T1B,; ,AR17T3S,",,Compact Refrigerator,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,No,No,No,20.2,17.7,1.7,1.7,233,275,15,,,No,,,,,01/01/2020,01/30/2020,United States,ES_92257_AR17T1B_01102020102044_8042261,No
2309224,Avanti,AR17T1B,",AR17T0W,; ,AR17T3S,",,Compact Refrigerator,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,No,No,No,20.1,17.7,1.7,1.7,238,275,13,,,No,,,,,11/15/2017,01/16/2018,"United States, Canada",ES_92257_AR17T1B_11232017092331_4355584,No
2216363,Avanti,AR2406W,",AR2416B,",,Compact Refrigerator,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,No,No,No,25,18.5,2.2,2.2,230,279,18,,,No,,,,,07/21/2014,07/22/2014,United States,ES_92257_AR2406W_07212014164849_4965174,No
2303594,Avanti,AR24T3S,,,Compact Refrigerator,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,No,No,No,24.9,18.5,2.4,2.4,238,281,15,,,No,,,,,09/01/2017,09/14/2017,United States,ES_92257_AR24T3S_09122017132724_1491662,No
2353672,Avanti,AR24T3S,,,Compact Refrigerator,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,No,No,No,24.8,17.7,2.4,2.4,238,281,15,,,No,,,,,01/01/2020,01/16/2020,United States,ES_92257_AR24T3S_01102020153313_9034234,No
2215460,Avanti,AR321BB,",AR323SB,",,Compact Refrigerator,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,No,No,No,33.5,18.7,3.2,3.2,259,289,10,,,No,,,,,07/09/2014,07/10/2014,"United States, Canada",ES_92257_AR321BB_07092014154345_4110223,No
2315136,Avanti,AR321BB,,,Compact Refrigerator,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,No,No,No,33.5,18.7,3.2,3.2,259,289,10,,,No,,,,,01/22/2018,11/28/2017,"United States, Canada",ES_0092257_AR321BB_03012018110822_70170417,No
2398140,Avanti,AR32J0W,,079841103249,Compact Refrigerator,11A - Compact All-Refrigerator - manual defrost,Manual,Yes,No,No,No,Yes,33,19,3.2,3.2,192,244,21,,,No,,,,,08/29/2021,12/04/2021,United States,ES_92257_AR32J0W_01142022145001_1991018,Yes
2398141,Avanti,AR32J1B,,079841103249,Compact Refrigerator,11A - Compact All-Refrigerator - manual defrost,Manual,Yes,No,No,No,Yes,33,19,3.2,3.2,192,244,21,,,No,,,,,08/29/2021,12/04/2021,United States,ES_92257_AR32J1B_01142022145001_1066973,Yes
2398142,Avanti,AR32J3S,,079841103249,Compact Refrigerator,11A - Compact All-Refrigerator - manual defrost,Manual,Yes,No,No,No,Yes,33,19,3.2,3.2,192,244,21,,,No,,,,,08/29/2021,12/04/2021,United States,ES_92257_AR32J3S_01142022145001_4872742,Yes
2215426,Avanti,AR4446B,",AR4456SS,",,Compact Refrigerator,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,No,No,No,32.7,19.7,4.4,4.4,269,300,10,,,No,,,,,07/09/2014,07/10/2014,"United States, Canada",ES_92257_AR4446B_07092014155859_6016198,No
2369715,Avanti,AR4446B,,,Compact Refrigerator,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,No,No,No,33.1,19.5,4.4,4.4,269,300,10,,,No,,,,,11/17/2020,11/16/2020,"United States, Canada",ES_92257_AR4446B_11192020061719_80063185,No
2369714,Avanti,AR4456SS,,,Compact Refrigerator,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,No,No,No,33.1,19.5,4.4,4.4,269,300,10,,,No,,,,,11/17/2020,11/16/2020,"United States, Canada",ES_92257_AR4456SS_11192020061719_80063185,No
2394529,Avanti,AR46J0W,,,Compact Refrigerator,11A - Compact All-Refrigerator - manual defrost,Manual,Yes,No,No,No,Yes,32.1,20.3,4.5,4.5,198,254,22,,,No,,,,,03/02/2022,03/13/2022,United States,ES_92257_AR46J0W_04082022145005_4376373,Yes
2394530,Avanti,AR46J1B,,,Compact Refrigerator,11A - Compact All-Refrigerator - manual defrost,Manual,Yes,No,No,No,Yes,32.1,20.3,4.5,4.5,198,254,22,,,No,,,,,03/02/2022,03/13/2022,United States,ES_92257_AR46J1B_04082022145005_5960687,Yes
2394531,Avanti,AR46J3S,,,Compact Refrigerator,11A - Compact All-Refrigerator - manual defrost,Manual,Yes,No,No,No,Yes,32.1,20.3,4.5,4.5,198,254,22,,,No,,,,,03/02/2022,03/13/2022,United States,ES_92257_AR46J3S_04082022145005_4352199,Yes
2349175,Avanti,AR52T3SB,,,Compact Refrigerator,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,No,No,No,33.3,23.4,5.2,5.2,256,307,17,,,No,,,,,11/01/2019,10/31/2019,United States,ES_92257_AR52T3SB_10292019154303_1166040,No
2395811,Avanti,FF10B***,,,Top Freezer,3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,Automatic,No,No,No,No,No,59.6,23.7,10.1,12.2,297,332,11,,,No,,,,,04/22/2022,04/22/2022,"United States, Canada",ES_0092257_FF10B***_05122022033138_5550001_,Yes
2389195,Avanti,FF14V0W,,79841211401,Top Freezer,3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,Automatic,No,No,No,No,No,68,27.6,14.3,17,332,371,11,,,No,,,,,12/15/2021,12/13/2021,United States,ES_92257_FF14V0W_102020212247527_7644327,Yes
2389196,Avanti,FF14V1B,,79841211418,Top Freezer,3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,Automatic,No,No,No,No,No,68,27.6,14.3,17,332,371,11,,,No,,,,,12/15/2021,12/13/2021,United States,ES_92257_FF14V1B_102020212247391_3555338,Yes
2389194,Avanti,FF14V3S,,79841211432,Top Freezer,3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,Automatic,No,No,No,No,No,68,27.6,14.3,17,332,371,11,,,No,,,,,12/15/2021,12/13/2021,United States,ES_92257_FF14V3S_102020212247204_8702264,Yes
2366016,Avanti,FF18H**,,,Top Freezer,3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,Automatic,No,No,No,No,No,66.2,29.5,18.3,21.8,358,410,13,,,No,,,,,09/16/2020,09/21/2020,"United States, Canada",ES_92257_FF18H**_09212020093152_0712893,Yes
2366017,Avanti,FF18H0W,,,Top Freezer,3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,Automatic,No,No,No,No,No,66.2,29.5,18.3,21.8,358,410,13,,,No,,,,,09/16/2020,09/21/2020,"United States, Canada",ES_92257_FF18H0W_09212020093112_0672224,Yes
2366018,Avanti,FF18H3S,,,Top Freezer,3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,Automatic,No,No,No,No,No,66.2,29.5,18.3,21.8,358,410,13,,,No,,,,,09/16/2020,09/21/2020,"United States, Canada",ES_92257_FF18H3S_09212020093128_0688729,Yes
2315127,Avanti,FF7B0W,,,Compact Refrigerator,13 - Compact refrigerator-freezers - automatic defrost with top-mounted freezer,Automatic,Yes,No,No,No,No,55.8,23.4,7,8.4,393,438,10,,,No,,No,,,01/20/2018,01/04/2018,"United States, Canada",ES_0092257_FF7B0W_03012018110927_70171466,No
2315129,Avanti,FF7B3S,,,Compact Refrigerator,13 - Compact refrigerator-freezers - automatic defrost with top-mounted freezer,Automatic,Yes,No,No,No,No,55.8,23.4,7,8.4,393,438,10,,,No,,No,,,01/20/2018,01/04/2018,"United States, Canada",ES_0092257_FF7B3S_03012018110927_70171466,No
2384733,Avanti,FFFDD18L3S,,079841120185,Bottom Freezer,5 - Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic ice maker,Automatic,No,No,No,No,No,72.1,32.9,17.9,22.7,442,518,15,,,No,,,,,09/30/2021,09/28/2021,"United States, Canada",ES_92257_FFFDD18L3S_09282021032440_2065818,No
2384736,Avanti,FFFDS175L3S,,079841121755,Bottom Freezer,5 - Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic ice maker,Automatic,No,No,No,No,No,70.1,29.9,17.7,21.7,435,509,15,,,No,,,,,06/01/2022,09/29/2021,"United States, Canada",ES_92257_FFFDS175L3S_09282021203052_4273167,No
2378190,Avanti,MCR74V**,"MCR74V0W,MCR74V0W,; MCR74V1B,MCR74V1B,; MCR74V3S,MCR74V3S,",,Compact Refrigerator,12 - Compact Refrigerator-Freezer - partial automatic defrost,Automatic,Yes,No,No,No,No,56,21.3,7.4,8.5,345,386,11,,,No,,,,,05/20/2021,05/21/2021,"United States, Canada",ES_92257_MCR74V**_051920211117151_2009039,No
2396578,Avanti,OR1533U3S,,079841201532,Compact Refrigerator,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,No,No,No,33.5,14.6,3.1,3.1,225,288,22,R-600a,R-600a (GWP:3 | Lower GWP),No,,,,,05/11/2022,05/19/2022,"United States, Canada",ES_1131312_OR1533U3S_05162022150729_6040307,No
2229666,Absocold,ARD1033F*14R/L,,,Top Freezer,3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,Automatic,No,No,No,No,No,59,24,10.3,12.1,297,331,10,,,No,,No,,,12/08/2014,12/04/2014,United States,ES_0092255_ARD1033F*14R/L_12042014111045_70017616,Yes
2403036,Absocold,ARD1033FB21R/L,,,Top Freezer,3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,Automatic,No,No,No,No,No,58.8,23.8,10,12,263,331,21,,,No,,,,,10/30/2022,10/13/2022,United States,ES_0092255_ARD1033FB21R/L_10142022105159_80144506,Yes
2403038,Absocold,ARD1033FS21R/L,,,Top Freezer,3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,Automatic,No,No,No,No,No,58.8,23.8,10,12,263,331,21,,,No,,,,,10/30/2022,10/13/2022,United States,ES_0092255_ARD1033FS21R/L_10142022105137_80144506,Yes
2403037,Absocold,ARD1033FW21R/L,,,Top Freezer,3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,Automatic,No,No,No,No,No,58.8,23.8,10,12,263,331,21,,,No,,,,,10/30/2022,10/13/2022,United States,ES_0092255_ARD1033FW21R/L_1014202210127_80144506,Yes
2221127,Absocold,ARD104AB14R/L,,,Compact Refrigerator,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,No,No,No,20,15,1.1,1.1,242,269,10,,,No,,No,,,09/30/2014,09/29/2014,United States,ES_0092255_ARD104AB14R/L_10022014111547_2767635,No
2374881,Absocold,ARD104AB21R/L,,,Compact Refrigerator,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,No,No,No,20.6,15.2,1.1,1.1,242,269,10,Other,,No,,No,,,03/05/2021,03/03/2021,United States,ES_0092255_ARD104AB21R/L_03052021010906_5550000_,No
2221128,Absocold,ARD204AB14R/L,,,Compact Refrigerator,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,No,No,No,22,19,2,2,249,278,10,,,No,,No,,,09/30/2014,09/24/2014,United States,ES_0092255_ARD204AB14R/L_10022014111547_2767635,No
2374882,Absocold,ARD204AB21R/L,,,Compact Refrigerator,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,No,No,No,22.4,18.8,2,2,249,278,10,Other,,No,,No,,,03/05/2021,03/03/2021,United States,ES_0092255_ARD204AB21R/L_03052021010906_5550000_,No
2221129,Absocold,ARD204ABS14R/L,,,Compact Refrigerator,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,No,No,No,22,19,2,2,249,278,10,,,No,,No,,,09/30/2014,09/29/2014,United States,ES_0092255_ ARD204ABS14R/L _10022014111547_2767635,No
2374883,Absocold,ARD204ABS21R/L,,,Compact Refrigerator,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,No,No,No,22.4,18.8,2,2,249,278,10,Other,,No,,No,,,03/05/2021,03/03/2021,United States,ES_0092255_ARD204ABS21R/L_03052021010906_5550000_,No
2374006,Absocold,ARD244A*21R/L,,,Compact Refrigerator,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,No,No,No,24.8,18.5,2.3,2.3,223,280,20,,,No,,,,,02/14/2021,02/09/2021,United States,CER_0092255_ARD244A*21R/L_02112021105445_80072181,No
2218005,Absocold,ARD298C*14R/L,,,Compact Refrigerator,12 - Compact Refrigerator-Freezer - partial automatic defrost,Automatic,Yes,No,No,No,No,33.3,18.6,3,3.6,319,357,11,,,No,,No,,,08/01/2014,08/27/2014,United States,ES_0092255_ ARD298C*14R _08272014021903_2752402,No
2218013,Absocold,ARD369A*14R/L,,,Compact Refrigerator,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,No,No,No,33.3,18.6,3.6,3.6,262,292,10,,,No,,No,,,08/18/2014,08/27/2014,United States,ES_0092255_ARD369A*14R/L_08272014021903_2752402,No
2218024,Absocold,ARD484F*10R/L,,,Compact Refrigerator,13 - Compact refrigerator-freezers - automatic defrost with top-mounted freezer,Automatic,Yes,No,No,No,No,46,18.6,4.8,5.8,346,408,15,,,No,,No,,,09/05/2014,08/27/2014,United States,ES_0092255_ARD484F*10R/L_08272014021903_2752402,No
2374007,Absocold,ARD484F*21R/L,,,Compact Refrigerator,13 - Compact refrigerator-freezers - automatic defrost with top-mounted freezer,Automatic,Yes,No,No,No,No,45.8,18.5,4.8,5.8,346,408,15,,,No,,,,,02/14/2021,02/09/2021,United States,CER_0092255_ARD484F*21R/L_02112021105445_80072181,No
2388871,Alpha PAR RD,RDBM191**,,,Bottom Freezer,5 - Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic ice maker,Automatic,No,No,No,No,No,66.4,29.5,18.7,23,466,521,11,,,No,,,,,12/01/2021,11/18/2021,Canada,ES_1125680_RDBM191**_12072021011649_ 80106135,No
2401052,Alpha PAR RD,RDTM116WE,,0632726207533,Top Freezer,3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,Automatic,No,No,No,No,No,59.8,25,11.5,13.9,311,346,10,,,No,,,,,08/26/2022,08/19/2022,Canada,ES_1125680_RDTM116WE_09012022103133_80137611,Yes
2370521,Amana,AMA31**E,,,Compact Refrigerator,12 - Compact Refrigerator-Freezer - partial automatic defrost,Automatic,Yes,No,No,No,No,32.8,19.1,3,3.8,320,358,11,,,No,,,,,11/25/2020,04/20/2020,United States,ES_1108549_AMA31**E_12032020070711_80062974,No
2311054,Amana,AMA31S5E,,,Compact Refrigerator,12 - Compact Refrigerator-Freezer - partial automatic defrost,Automatic,Yes,No,No,No,No,32.8,19.1,3.2,3.1,320,354,10,,,No,,,,,02/28/2018,02/08/2018,"United States, Canada",ES_1108549_FR786-SS_02122018100556_70172329,No
2206035,Amana,AMA43BKE,,,Compact Refrigerator,11 - Compact Refrigerator and Refrigerator-Freezer other than All-Refrigerator - manual defrost,Manual,Yes,No,No,No,No,33.1,19.9,4.3,4.3,228,291,22,,,No,,,,,12/28/2022,11/29/2022,"United States, Canada",ES_1108549_AMA43BKE_03122014054518_2688030,No
2298477,Amana,AMA43R**E,,,Compact Refrigerator,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,No,No,No,31.7,19.9,4.3,4.3,268,299,10,,,No,,,,,10/23/2017,05/24/2017,"United States, Canada",ES_22856_AMA43R**E_05172017115223_70134709,No
2370514,Amana,AMAR27S1E,,,Compact Refrigerator,11A - Compact All-Refrigerator - manual defrost,Manual,Yes,No,No,No,No,24.7,19.1,2.6,2.6,214,239,10,,,No,,,,,11/25/2020,02/08/2018,United States,ES_1108549_AMAR27S1E_12032020065046_80062974,No
2370519,Amana,AMAR31T**E,,,Compact Refrigerator,12 - Compact Refrigerator-Freezer - partial automatic defrost,Automatic,Yes,No,No,No,No,32.8,19.1,3,3.8,320,358,11,,,No,,,,,11/25/2020,04/20/2020,United States,ES_1108549_AMAR31T**E_12032020070711_80062974,No
2370516,Amana,AMAR35S1E,,,Compact Refrigerator,11A - Compact All-Refrigerator - manual defrost,Manual,Yes,No,No,No,No,32.8,19.1,3.4,3.4,220,246,11,,,No,,,,,11/25/2020,02/08/2018,United States,ES_1108549_AMAR35S1E_12032020065046_80062974,No
2370523,Amana,AMAR43**E,,,Compact Refrigerator,11A - Compact All-Refrigerator - manual defrost,Manual,Yes,No,No,No,No,33.1,19.9,4.3,4.3,228,253,10,,,No,,,,,11/25/2020,06/03/2020,United States,ES_1108549_AMAR43**E_12032020071549_8004243,No
2370517,Amana,AMAR46TS1E,,,Compact Refrigerator,12 - Compact Refrigerator-Freezer - partial automatic defrost,Automatic,Yes,No,No,No,No,48.1,19.1,4.6,5.6,325,369,12,,,No,,,,,11/25/2020,02/08/2018,United States,ES_1108549_AMAR46TS1E_12032020065046_80062974,No
2253717,Amana,ART348FFF***,,883049409634;883049409641;883049409658;883049412344,Top Freezer,3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,Automatic,No,No,No,No,No,65.4,29.8,18.3,22.1,370,412,10,,,No,,,,,12/14/2015,11/19/2015,"United States, Canada",ES_0022856_ART348FFF***_11222015014057_70054450,Yes
2272160,Amana,ART348FFF***,,883049409634;883049409641;883049409658;883049412344,Top Freezer,3I - Refrigerator-freezer - automatic defrost with op-mounted freezer with automatic icemaker without through-the-door ice,Automatic,No,No,No,Yes,No,65.4,29.8,18.3,22.1,455,496,10,,,No,,,,,12/14/2015,06/14/2016,"United States, Canada",ES_0022856_ART348FFF***_07112016115240_70084302,Yes
2394267,Antarctic Star,KS-48RHL,,6976100502024;6976100502031;6976100502048;722772933156,Compact Refrigerator,11A - Compact All-Refrigerator - manual defrost,Manual,Yes,No,No,No,No,21.4,17.6,1.6,1.6,208,232,10,,,No,,,,,03/30/2022,03/28/2022,"United States, Canada",ES_1145427_KS-48RHL_03312022163412_1932569,No
2394268,Antarctic Star,KS-91RHL,,722772933163,Compact Refrigerator,11A - Compact All-Refrigerator - manual defrost,Manual,Yes,No,No,No,No,19.7,19.7,3.2,3.2,219,244,10,,,No,,,,,03/30/2022,03/28/2022,"United States, Canada",ES_1145427_KS-91RHL_03312022163434_1724456,No
2373382,APEX FORGE,MPBFR401A,,,Compact Refrigerator,12 - Compact Refrigerator-Freezer - partial automatic defrost,Automatic,Yes,No,No,No,Yes,45,19,4,4.7,291,364,20,,,No,,,,,10/26/2020,02/03/2021,United States,ES_1144488_MPBFR401A_02042021102648_6866724,No
2373384,APEX FORGE,MPWFR401A,,,Compact Refrigerator,12 - Compact Refrigerator-Freezer - partial automatic defrost,Automatic,Yes,No,No,No,Yes,45,19,4,4.7,291,364,20,,,No,,,,,10/26/2020,02/03/2021,United States,ES_1144488_MPWFR401A_02042021102648_7004153,No
2373386,APEX FORGE,MVSFR401A,,,Compact Refrigerator,12 - Compact Refrigerator-Freezer - partial automatic defrost,Automatic,Yes,No,No,No,Yes,45,19,4,4.7,291,364,20,,,No,,,,,10/26/2020,02/03/2021,United States,ES_1144488_MVSFR401A_02042021102648_6822595,No
2453054,APPLIANCE BASICS,CR31TABDDSS,,,Compact Refrigerator,12 - Compact Refrigerator-Freezer - partial automatic defrost,Automatic,Yes,No,No,No,No,33,18.5,3.1,3.8,270,358,25,R-600a,R-600a (GWP:3 | Lower GWP),No,,,,,04/06/2023,04/07/2023,United States,ES_1127347_CR31TABDDSS_040720230222972_5663021,No
2395381,APPLIANCE BASICS,CR44CABSDSS,,,Compact Refrigerator,11A - Compact All-Refrigerator - manual defrost,Manual,Yes,No,No,No,No,33.9,19.7,4.4,4.4,226,254,11,R-600a,R-600a (GWP:3 | Lower GWP),No,,,,,04/28/2022,05/03/2022,"United States, Canada",ES_1127347_CR44CABSDSS_050320220814569_4504721,No
2394256,APPLIANCE BASICS,HD676REWNSS,,2022019133942,Bottom Freezer,5 - Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic ice maker,Automatic,No,No,No,No,No,66.6,29.5,18.7,23,466,521,11,,,No,,,,,03/22/2022,03/25/2022,"United States, Canada",ES_1127347_HD676REWNSS_03312022025576_7355993,No
2394274,APPLIANCE BASICS,HD774FWSS,,2022019133850,Top Freezer,3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,Automatic,No,No,No,No,No,67,33,21,25.6,396,440,10,,,No,,,,,03/25/2022,03/25/2022,"United States, Canada",ES_1127347_HD774FWSS_033120222237781_8985472,Yes
